发文时间,发帖数量,情感类别,主题数量,转发,点赞,评论,熵值
2022-03-06,9,"{'pos': 5, 'neg': 4}","{'Topic_2': 2, 'Topic_4': 2, 'Topic_3': 2, 'Topic_1': 2, 'Topic_0': 1}",10.0,866.0,113.0,2.947798996486457
2022-03-07,13,"{'pos': 8, 'neg': 3, 'neu': 2}","{'Topic_0': 4, 'Topic_4': 4, 'Topic_2': 3, 'Topic_5': 1, 'Topic_1': 1}",19.0,671.0,201.0,3.3371136614106214
2022-03-08,16,"{'pos': 10, 'neu': 4, 'neg': 2}","{'Topic_2': 4, 'Topic_3': 3, 'Topic_1': 3, 'Topic_4': 3, 'Topic_0': 2, 'Topic_5': 1}",16.0,610.0,196.0,3.424187369541563
2022-03-09,17,"{'pos': 13, 'neu': 2, 'neg': 2}","{'Topic_2': 5, 'Topic_4': 4, 'Topic_3': 3, 'Topic_0': 2, 'Topic_5': 2, 'Topic_1': 1}",19.0,1378.0,327.0,3.2507342299422355
2022-03-10,11,"{'pos': 6, 'neu': 3, 'neg': 2}","{'Topic_2': 5, 'Topic_4': 2, 'Topic_0': 2, 'Topic_3': 1, 'Topic_1': 1}",7.0,1030.0,97.0,2.845159830973991
2022-03-11,7,"{'pos': 4, 'neu': 3}","{'Topic_4': 4, 'Topic_3': 2, 'Topic_2': 1}",1.0,216.0,56.0,2.280522659010835
2022-03-12,10,"{'pos': 4, 'neg': 4, 'neu': 2}","{'Topic_2': 3, 'Topic_5': 2, 'Topic_4': 2, 'Topic_0': 2, 'Topic_1': 1}",13.0,1689.0,267.0,2.6660441990987813
2022-03-13,9,"{'pos': 5, 'neg': 3, 'neu': 1}","{'Topic_1': 3, 'Topic_4': 2, 'Topic_0': 2, 'Topic_2': 1, 'Topic_5': 1}",29.0,2460.0,1244.0,3.371940617849493
2022-03-14,11,"{'pos': 6, 'neu': 4, 'neg': 1}","{'Topic_4': 3, 'Topic_5': 3, 'Topic_2': 2, 'Topic_0': 1, 'Topic_3': 1, 'Topic_1': 1}",513.0,3630.0,787.0,2.961166153571362
2022-03-15,18,"{'pos': 12, 'neg': 4, 'neu': 2}","{'Topic_2': 5, 'Topic_0': 4, 'Topic_3': 3, 'Topic_1': 2, 'Topic_5': 2, 'Topic_4': 2}",19.0,1119.0,414.0,3.3145272221999207
2022-03-16,17,"{'pos': 11, 'neu': 4, 'neg': 2}","{'Topic_2': 6, 'Topic_1': 4, 'Topic_4': 4, 'Topic_3': 2, 'Topic_0': 1}",16.0,1223.0,193.0,2.9767782617157157
2022-03-17,25,"{'pos': 20, 'neg': 3, 'neu': 2}","{'Topic_0': 8, 'Topic_1': 5, 'Topic_2': 5, 'Topic_4': 3, 'Topic_3': 3, 'Topic_5': 1}",17.0,1567.0,221.0,2.894480942700674
2022-03-18,45,"{'pos': 30, 'neu': 11, 'neg': 4}","{'Topic_0': 15, 'Topic_3': 12, 'Topic_4': 6, 'Topic_1': 5, 'Topic_5': 5, 'Topic_2': 2}",318.0,13965.0,2540.0,2.6820711318424086
2022-03-19,16,"{'pos': 10, 'neu': 3, 'neg': 3}","{'Topic_4': 5, 'Topic_1': 3, 'Topic_2': 3, 'Topic_0': 3, 'Topic_5': 2}",33.0,3321.0,375.0,3.394350677748515
2022-03-20,18,"{'pos': 12, 'neu': 6}","{'Topic_2': 7, 'Topic_3': 5, 'Topic_1': 3, 'Topic_0': 1, 'Topic_5': 1, 'Topic_4': 1}",21.0,1013.0,331.0,2.5762887619445722
2022-03-21,18,"{'pos': 7, 'neg': 6, 'neu': 5}","{'Topic_4': 6, 'Topic_3': 5, 'Topic_1': 3, 'Topic_2': 2, 'Topic_0': 2}",33.0,1462.0,254.0,3.077091154224012
2022-03-22,23,"{'pos': 13, 'neu': 6, 'neg': 4}","{'Topic_1': 6, 'Topic_4': 6, 'Topic_2': 6, 'Topic_3': 2, 'Topic_5': 2, 'Topic_0': 1}",74.0,4682.0,2155.0,3.2508814268007735
2022-03-23,13,"{'pos': 8, 'neg': 4, 'neu': 1}","{'Topic_4': 3, 'Topic_3': 3, 'Topic_5': 2, 'Topic_1': 2, 'Topic_2': 2, 'Topic_0': 1}",6.0,691.0,168.0,3.0634777960834003
2022-03-24,19,"{'pos': 10, 'neu': 6, 'neg': 3}","{'Topic_4': 7, 'Topic_5': 4, 'Topic_2': 3, 'Topic_0': 3, 'Topic_3': 2}",67.0,5293.0,1033.0,3.100700565867964
2022-03-25,15,"{'pos': 12, 'neu': 3}","{'Topic_1': 6, 'Topic_5': 4, 'Topic_4': 3, 'Topic_0': 1, 'Topic_2': 1}",15.0,1013.0,292.0,3.447519003492846
2022-03-26,15,"{'pos': 9, 'neu': 4, 'neg': 2}","{'Topic_4': 5, 'Topic_0': 3, 'Topic_1': 3, 'Topic_3': 2, 'Topic_2': 1, 'Topic_5': 1}",78.0,5444.0,483.0,2.6109304730823895
2022-03-27,10,"{'neu': 4, 'pos': 4, 'neg': 2}","{'Topic_1': 4, 'Topic_2': 3, 'Topic_3': 2, 'Topic_4': 1}",3.0,401.0,133.0,2.576268800051772
2022-03-28,10,"{'pos': 7, 'neg': 3}","{'Topic_0': 4, 'Topic_5': 3, 'Topic_4': 2, 'Topic_2': 1}",8.0,311.0,205.0,3.49266072609002
2022-03-29,20,"{'pos': 12, 'neu': 6, 'neg': 2}","{'Topic_4': 7, 'Topic_2': 4, 'Topic_0': 4, 'Topic_5': 3, 'Topic_1': 1, 'Topic_3': 1}",90.0,4116.0,961.0,3.414512206239857
2022-03-30,17,"{'pos': 10, 'neu': 5, 'neg': 1}","{'Topic_5': 4, 'Topic_3': 3, 'Topic_1': 3, 'Topic_4': 3, 'Topic_0': 2, 'Topic_2': 2}",24.0,663.0,343.0,2.9871192802987148
2022-03-31,24,"{'pos': 17, 'neu': 4, 'neg': 3}","{'Topic_2': 7, 'Topic_5': 5, 'Topic_0': 4, 'Topic_3': 3, 'Topic_4': 3, 'Topic_1': 2}",220.0,4682.0,768.0,2.85080541468623
2022-04-01,12,"{'pos': 4, 'neg': 4, 'neu': 4}","{'Topic_4': 4, 'Topic_2': 3, 'Topic_5': 2, 'Topic_3': 2, 'Topic_1': 1}",9.0,686.0,193.0,3.131884821975081
2022-04-02,10,"{'pos': 6, 'neu': 2, 'neg': 2}","{'Topic_2': 4, 'Topic_0': 2, 'Topic_3': 2, 'Topic_5': 1, 'Topic_4': 1}",20.0,1929.0,116.0,2.9608025409060392
2022-04-03,8,"{'neg': 4, 'pos': 3, 'neu': 1}","{'Topic_3': 3, 'Topic_4': 3, 'Topic_2': 2}",34.0,775.0,286.0,2.999723823574037
