content,主题概率,主题类型,情感类型,情感得分
america ,"[(0, 0.08337123), (1, 0.08336778), (2, 0.08380183), (3, 0.5824909), (4, 0.08355821), (5, 0.08341)]",3,POSITIVE,0.9951459765434265
america china iran fight sincerely country destroy understand ,"[(0, 0.0185903), (1, 0.018594189), (2, 0.018671954), (3, 0.018693062), (4, 0.9068362), (5, 0.018614307)]",4,NEGATIVE,0.8691951632499695
america father dude nuke china ,"[(0, 0.7149996), (1, 0.027952854), (2, 0.028131293), (3, 0.1726795), (4, 0.028255675), (5, 0.027981054)]",0,NEGATIVE,0.9856308102607727
america h1n1 china covid19 ,"[(0, 0.03347843), (1, 0.033381123), (2, 0.033706278), (3, 0.4776483), (4, 0.38819638), (5, 0.03358948)]",3,NEGATIVE,0.9423726201057434
america invades ,"[(0, 0.055669755), (1, 0.39433205), (2, 0.055956453), (3, 0.38255158), (4, 0.05579304), (5, 0.055697124)]",1,NEGATIVE,0.9761472344398499
america report guatanamo ,"[(0, 0.04168998), (1, 0.041689444), (2, 0.04219261), (3, 0.79100484), (4, 0.04172766), (5, 0.04169543)]",3,NEGATIVE,0.9671285152435303
america send china shang dynasty involved ,"[(0, 0.02393823), (1, 0.023827638), (2, 0.88055086), (3, 0.023962896), (4, 0.023878247), (5, 0.023842148)]",2,NEGATIVE,0.7975939512252808
america virus brainwash western medium respect science ,"[(0, 0.021032179), (1, 0.020956151), (2, 0.021053866), (3, 0.89491886), (4, 0.021095464), (5, 0.020943472)]",3,NEGATIVE,0.9989047050476074
america virus china provide vaccine ,"[(0, 0.027871715), (1, 0.02780172), (2, 0.028096456), (3, 0.028191043), (4, 0.8602294), (5, 0.027809681)]",4,NEGATIVE,0.8420022130012512
america wipe china earth fight wwiii military strong ,"[(0, 0.018573727), (1, 0.01861018), (2, 0.90694255), (3, 0.018620875), (4, 0.018608619), (5, 0.018644119)]",2,POSITIVE,0.9740280508995056
american america continue provide weapon ukraine prevent reach peaceful outcome citizen influence political public opinion onesided comment english language speak ,"[(2, 0.9600034)]",2,NEGATIVE,0.9488692879676819
american attack iran kill iranian iranianterrorist ,"[(0, 0.024708413), (1, 0.024622813), (2, 0.024395805), (3, 0.024024932), (4, 0.024069564), (5, 0.8781785)]",5,NEGATIVE,0.9841001033782959
american black plague ebola bring native spanish ,"[(0, 0.02089941), (1, 0.8944324), (2, 0.021034969), (3, 0.020857131), (4, 0.021409579), (5, 0.02136654)]",1,NEUTRAL,0.5905725955963135
american china busy ,"[(0, 0.042054698), (1, 0.041939966), (2, 0.7892689), (3, 0.042029403), (4, 0.042064354), (5, 0.04264268)]",2,NEGATIVE,0.9974531531333923
american china development mess hong kong ,"[(0, 0.023927528), (1, 0.023878014), (2, 0.88045466), (3, 0.024052482), (4, 0.023867283), (5, 0.023820024)]",2,NEGATIVE,0.9977458119392395
american kill iranian chinese iran fight united china ,"[(0, 0.018760074), (1, 0.018809266), (2, 0.018732114), (3, 0.018612238), (4, 0.9064089), (5, 0.01867741)]",4,NEGATIVE,0.9749038815498352
american love chinese cute sweet goodbye ,"[(0, 0.024064966), (1, 0.024115087), (2, 0.02397114), (3, 0.879951), (4, 0.023899619), (5, 0.023998218)]",3,POSITIVE,0.9994168281555176
american sell weapon turkey attack jungle protest government country ,"[(0, 0.5738521), (1, 0.016743794), (2, 0.2473395), (3, 0.016768312), (4, 0.016892893), (5, 0.1284034)]",0,NEGATIVE,0.9952293634414673
american soldier ,"[(0, 0.7201776), (1, 0.055873316), (2, 0.05588357), (3, 0.05682759), (4, 0.055651333), (5, 0.055586584)]",0,POSITIVE,0.7233593463897705
american transit code study mandatory grow rule norm stone ,"[(0, 0.016750243), (1, 0.01671961), (2, 0.91646206), (3, 0.016688794), (4, 0.016696911), (5, 0.016682303)]",2,NEGATIVE,0.9600312113761902
