标题,评分,年份,国家,主演
快乐星球 第一部,8.6,2004 , 中国大陆 , 李瑞 邢凯轩
火蓝刀锋,8.6,2012 , 中国大陆 , 杨志刚 郑凯
重案六组3,8.6,2009 , 中国大陆 , 王茜 丁志城
案发现场,8.6,2004 , 中国大陆 , 王志飞 颜世魁
长征,8.6,2001 , 中国大陆 , 唐国强 刘劲
熊出没之秋日团团转,8.6,2016 , 中国大陆 , 张伟 谭笑
十月围城,8.6,2014 , 中国大陆 , 钟汉良 张晓龙
熊出没之夏日连连看,8.6,2016 , 中国大陆 , 张伟 张秉君
大盛魁,8.6,2017 , 中国大陆 , 于震 乔振宇
营盘镇警事,8.6,2012 , 中国大陆 , 张嘉益 丁海峰
聊斋,8.6,1988 , 中国大陆 , 张力 楚宏伟
历史的天空,8.6,2004 , 中国大陆 , 张丰毅 李雪健
刑警本色,8.6,1999 , 中国大陆 , 王志文 李幼斌
永不回头,8.6,2010 , 中国大陆 , 李保田 姜武
长沙保卫战,8.6,2014 , 中国大陆 , 张丰毅 郑昊
米小圈上学记,8.6,2022 , 中国大陆 , 郭赫轩 吴彦坤
都市男女,8.6,2002 , 中国大陆 , 黄芳翎 王景春
搭错车,8.6,2005 , 中国大陆 , 李雪健 李琳
誓言无声,8.6,2002 , 中国大陆 , 高明 赵峥
情有千千劫,8.6,2002 , 中国大陆 , 李幼斌 于小慧
高纬度战栗,8.6,2007 , 中国大陆 , 李雪健 王志飞
红十字方队,8.6,1997 , 中国大陆 , 罗钢 傅冲
黑白大搏斗,8.6,2001 , 中国大陆 , 丛鹏飞 李强
和你在一起,8.6,2004 , 中国大陆 , 刘佩琦 嘉央桑珠
请你原谅我,8.6,2011 , 中国大陆 , 吴秀波 海清
医者仁心,8.6,2010 , 中国大陆 , 谢君豪 尤勇智
把酒问青天,8.6,2005 , 中国大陆 , 于波 杨俊毅
长河东流,8.6,2008 , 中国大陆 , 谢震伟 李明
二马,8.6,1999 , 中国大陆 , 陈道明 梁冠华
真爱谎言,8.6,2011 , 中国大陆 , 薛凯琪 李易峰
