标题,年份,主演
幻城,(普通话/TV剪辑版/2016),冯绍峰 宋茜 马天宇 张萌 麦迪娜 冯绍峰 张雨绮 马天宇 张萌 徐可 麦迪娜
远大前程,(普通话/原版/2018),陈思诚 袁弘 佟丽娅 郭采洁
卧虎藏龙,(普通话/原版/2000),周润发 杨紫琼 章子怡 张震
大秦帝国之纵横,(普通话/原版/2013),宁静 富大龙 傅淼 喻恩泰
外交风云,(普通话/原版/2019),唐国强 孙维民 郭连文 王伍福 卢奇 董勇 谷伟 罗蓬 陈姗姗 黄薇 王智慧 杨童舒 司晓红
绽放吧，百合,(普通话/原版/2018),姚芊羽 李诚儒 朱晓渔 佟磊
使徒行者,(普通话&粤语/原版/2019),张家辉 古天乐 吴镇宇 姜珮瑶 张亦驰
生死线,(普通话/2009),张译 廖凡 李晨 杨烁 王黎雯 方慧 赵达 刘天佐 罗京民 倪大红 高子沣 任帅 岳旸
权力的游戏,(英语/原版/2023),帕迪·康斯戴恩 马特·史密斯 艾玛·达西 奥利维亚·库克 米莉·阿尔柯克
龙门镖局,(普通话/原版/2013),袁咏仪 郭京飞 刘冠麟 李倩 佟大为 沙溢 宁财神 陈晓 钱芳 张瑞涵
分手大师,(普通话/原版/2014),邓超 杨幂
机智牢房生活,(韩语/2017),朴海秀 郑敬淏 郑秀晶 林华映 丁海寅 郑雄仁 李奎炯 朴浩山 姜昇润 金景南 崔武成 崔胜元 成东日 姜基栋 廉惠兰 刘在明 申隣雅 李太善
搜索,(普通话/原版/2012),高圆圆 姚晨 赵又廷 陈红 王学圻
双城故事,(普通话/原版/1991),谭咏麟 张曼玉 曾志伟
建军大业,(普通话/原版/2017),刘烨 朱亚文 黄志忠 欧豪 王景春 杨大鹏 霍建华 关晓彤
锁清秋,(普通话/原版/2009),冯绍峰 李彩桦 安以轩 何晟铭 米雪
都挺好,(普通话/原版/2019),姚晨 倪大红 郭京飞 杨祐宁 李念 高鑫 高露 陈瑾 张晨光 王东 彭昱畅
急诊科医生,(普通话/原版/2017),王珞丹 江珊 柯蓝 苏小明 巩峥 谭洋 许文广 王策 周笑莉 高晓菲 徐乐同 张博宇 孙艺宁 丁洋 郑逸桐 刘衍辰 张皓然 岳以恩 蔡佩池 王天泽 李悦溪 范琳琳 赵秦 杨云溪 吕途 刘荫 李亚天 宋元甫 姜析源 孙渤洋 贾妮 黄毅 高鑫 王晴 夏力薪 张墨锡 丁嘉丽 李文波 胡彩虹 庞皓文 张喜前 金顺子 王丽涵 陈维涵 杨涛 郭慧 任洛敏 张艺心 田岷 翟小兴 张丹彤 魏鹏 金铁峰 唐菱 赵亮 常荻 李萌洋 徐源 孙率航 林雪飘 王艺禅 周波 安笑歌 陈菲 马光泽 董姝 李亚楠 袁宇龙 赵蕴卓 朱元浩 张青 张宝雯 王超北 郭中友 文祈 李佳蔚 麻骏 闫微儿 曾红生 钱占刚 葛玉 赵彦乔 苗青 魏凯 陈朵怡 彭京粉 贾依诺 孙博豪 马跃
精英律师,(普通话/原版/2019),靳东 蓝盈莹 孙淳 田雨 刘敏涛 朱珠 代旭
步步惊情,(普通话/TV剪辑版/2014),吴奇隆 刘诗诗 孙艺洲 蒋劲夫 刘松仁 刘心悠 叶祖新 叶青 陈翔 曾轶可
宫心计2深宫计,(普通话/原版/2018),马浚伟 胡定欣 刘心悠 马国明 陈炜 萧正楠 黄心颖
坏家伙们,(原版/2019),马东锡 金相中 金雅中 张基龙 姜艺媛
北京爱情故事,(普通话/原版/2014),陈思诚 佟丽娅 梁家辉 刘嘉玲 王学兵 余男
香蜜沉沉烬如霜,(普通话/TV剪辑版/2018),杨紫 陈钰琪 罗云熙 王一菲 邹廷威 夏志远
劫后余生,(英语/原版/2006),安德里娅·奥斯瓦特 娜塔莎·亚罗温科 赛琳娜·戈麦斯 伊莱·罗斯
老酒馆,(普通话/原版/2019),陈宝国 秦海璐 冯雷 刘桦 程煜 冯恩鹤 王晓晨
深海利剑,(普通话/原版/2017),高旻睿 王阳 徐洋 刘璐
平凡的世界,(普通话/原版/2015),佟丽娅 袁弘 王雷 李小萌
火蓝刀锋,(普通话/原版/2012),杨志刚 郑凯 白威 赫子铭 刘思言 王强 樊昊仑 刘硕 李依玲
最美的青春,(普通话/原版/2018),刘智扬 何雨虹 赵恒煊 贾宏伟 张子文 奚望 鲁佳妮 马赫 张胤哲 张思乐 孙仲秋 华娇 高明 王奎荣 张光北 陈炜 黑子 李光复
少林寺传奇之大漠英豪,(普通话/原版/2011),洪金宝 鲍国安 元华 谢苗 孙颖歆 李渊 计春华 许明虎 曹骏
远去的飞鹰,(普通话/原版/2011),朱亚文 姚笛 刘劲 贾延鹏
悬崖,(普通话/原版/2021),王迅 李易祥 张磊 王佳佳 刘洋
湄公河大案,(普通话/原版/2014),陈宝国 王千源 杜志国 于越 张兆辉
大军师司马懿之军师联盟,(普通话/原版/2017),吴秀波 刘涛 李晨 于和伟 张钧甯 唐艺昕 翟天临 张芷溪 王劲松 王东 肖顺尧 檀健次 章贺 刘欢 杜奕衡 曹磊 来喜 陆思宇 王仁君 陆妍淇 黄俊鹏 王伯昭 许还山 褚栓忠 张志忠 李佑伟
芈月传,(普通话/原版/2015),孙俪 刘涛 马苏 方中信 黄轩 高云翔 蒋欣 孙茜
天下粮田,(普通话/原版/2017),吴京安 宗峰岩 郝平 侯岩松 徐僧 孙宁
彭德怀元帅,(普通话/原版/2015),董勇 宋禹 杨童舒 唐国强
那年花开月正圆,(普通话/原版/2017),孙俪 陈晓 何润东 任重 胡杏儿 俞灏明
江姐,(普通话/原版/2010),丁柳元 胡亚捷
右玉和她的县委书记们,(普通话/原版/2018),黄品沅 王婉娟 印小天 谭凯 杨铮
妈祖,(普通话/原版/1975),嘉凌 岳阳 孙嘉琳 陈佩玲 房勉
永不磨灭的番号,(普通话/2011),黄海波 王雷 白雨 李健 姚芊羽 倪大红 高昌昊 陈兵 刘彦卿 大冢匡将
初心,(普通话/原版/2018),吴京安 丁柳元
漂亮的李慧珍,(普通话/TV剪辑版/2017),迪丽热巴 盛一伦 李溪芮 张彬彬
杨善洲,(普通话/原版/2012),李雪健 奚美娟 陶虹 李晨 胡明 艾丽娅 黄素影 房子斌
辛亥革命,(普通话&粤语/原版/2011),赵文瑄 成龙 李冰冰 胡歌 孙淳 姜武
破阵,(普通话/原版/2015),富大龙 陈昭荣 王珂 吴谨西
情满四合院,(普通话/原版/2015),何冰 郝蕾 海一天 方子哥
五星红旗迎风飘扬2,(普通话/原版/2012),唐国强 孙维民 卢奇 马晓伟
东方,(普通话/原版/2011),唐国强 马晓伟 王伍福 卢奇
春天里,(普通话/原版/2017),谷智鑫 王力可 管轩 郝平 唐夏娃
岁岁年年柿柿红,(普通话/原版/2018),王茜华 荆浩 于震 王挺 沈行
鸡毛飞上天,(普通话/2017),张译 殷桃 陶泽如 张佳宁 高姝瑶 吴其江 花昆 程实 林一霆 杨洪武 闫龙飞 张兆辉 朱元浩 张雅涵 涂嘉娜 崔璨 周佳楠 叶禾 郑子寒 陈果 张哲 邓郁立 郑奇 买政尧 李虎城 刘忠虎 王长林 张莉 卢卓婕 柳玉林 于子宽 张恪维 侍宣如 刘硕 黄以娜 张海峰 吴晶 涂玉芳
木府风云,(普通话/2012),秋瓷炫 于荣光 朱晓渔 潘虹 吕良伟 于娜 宋运成 多布杰 孙玮
于无声处,(普通话/原版/2015),胡军 左小青 赵立新
热血军旗,(普通话/原版/2017),黄海冰 郭广平 周惠林 曹磊 黄俊鹏 毕彦君 刘晓洁
三八线,(普通话/原版/2016),张国强 王挺 王学圻 曹曦文
后宫·甄嬛传,(普通话/原版/2011),孙俪 陈建斌 蔡少芬 李东学 蒋欣 陶昕然 斓曦 孙茜 张晓龙 刘雪华 李天柱 蓝盈莹 张雅萌 杨紫嫣 陈思斯 万美汐 热依扎 李宜娟 战菁一 唐艺昕 谭松韵 徐璐 毛晓彤 康福震 杨凯淳 刘钇彤 赵秦 王文杰 颖儿 郭萱 邬立朋 沈保平 梁艺馨 杨淇 何亚男
安居,(普通话/原版/2016),王志飞 程煜 来喜 李晓峰
全家福,(普通话&粤语/原版/1984),小彬彬 许冠杰 郑文雅 甄妮 石天
小欢喜,(普通话/原版/2019),黄磊 海清 陶虹 王砚辉 咏梅 沙溢
欢乐颂,(普通话/原版/2023),江疏影 杨采钰 张佳宁 张慧雯 李浩菲
历史转折中的邓小平,(普通话/原版/2014),马少骅 萨日娜 张云立
我们的法兰西岁月,(普通话/原版/2012),朱亚文 李泓良 钟秋 张念骅 袁文康
换了人间,(普通话/原版/2018),唐国强 刘劲 王伍福 郭连文 卢奇 马晓伟 罗忆楠
雪豹,(藏语/原版/2023),金巴 熊梓淇 旺卓措 才丁扎西 更旦
厂花,(普通话/原版/2011),马苏 姜武 涂松岩 刘敏 潘泰名 刘欢 沈丹萍 张丹妤
共产党人刘少奇,(普通话/原版/2019),赵波 徐百慧 侯京健 宋佳玲 夏德俊
太行山上,(普通话/TV剪辑版/2015),唐国强 刘劲 王伍福 姚居德 罗忆楠 王伍福 卢奇 梁家辉
抬头见喜,(普通话/原版/2023),王鹤棣 潘斌龙 龚蓓苾 黄小蕾 王迅 蒋易 罗京民 李胤维 张雅钦 付航 姜宏波 傅迦 韩彦博 罗辑 大成 小鹏 代古拉K 李会长 魏翔 刘亚津 蒋诗萌 陈哈琳 关博仁 高赞赞 崔宸懿 王戈 小爱 何昕霖 叶浏 李宗恒 满舒克 张百乔 张同学
北平无战事, 中国大陆 , 刘烨 陈宝国
过把瘾, 中国大陆 , 王志文 江珊
暗算, 中国大陆 , 柳云龙 高明
炊事班的故事2, 中国大陆 , 洪剑涛 周小斌
爱情宝典, 中国大陆 , 乐珈彤 范冰冰
法门寺猜想, 中国大陆 , 袁立 周里京
王阳明, 中国大陆 , 陆剑民 周海媚
九九归一, 中国大陆 , 陈刚 王同辉
听见凉山, 中国大陆 , 樊韵儿 李连正
汉刘邦, 中国大陆 , 刘文治 张林
情债, 中国大陆 , 李幼斌 周丽华
西安虎家, 中国大陆 , 李琦 郭达
乘龙怪婿第三季, 中国大陆 , 张颂文 潘洁
儒林外史, 中国大陆 , 巢萍 司徒钟宝
上海沧桑, 中国大陆 , 巍子 严晓频
我本英雄, 中国大陆 , 陈逸恒 尹铸胜
一家老小向前冲, 中国大陆 , 王永光 李晓嘉
闪闪的红星, 中国大陆 , 陈星旭 冯恩鹤
中国轨道, 中国大陆 , 李雪健 高兰村
百家讲坛：诗圣杜甫, 中国大陆 , 康震
孟丽君, 中国大陆 , 韩再芬 侯长荣
越野路书 第四季, 中国大陆 , 陈震 李益斌
爬坡上坎, 中国大陆 , 赵亮 庞祖云
20世纪中国女性史, 中国大陆 , 冯雪松
百家讲坛 唐玄宗与杨贵妃, 中国大陆 , 蒙曼
雾都夜话, 中国大陆 , 马及人
咱老百姓, 中国大陆 , 吕启凤 郑坤范
办公室的故事, 中国大陆 , 张楠 张柏鑫
帕米尔医生, 中国大陆 , 张嘉益 王茜华
长大成人, 中国大陆 , 季天赋 王楠
希望不流泪, 中国大陆 , 康晓熙 叶爽
双筒望远镜, 中国大陆 , 曹驰 曹骋
"每日一题,每日一字", 中国大陆 , 田蕴章
木卡姆往事, 中国大陆 , 阿布都克里木·阿不力孜 阿孜古丽·热西提
白夜追凶, 中国大陆 , 潘粤明 王龙正
最好的我们, 中国大陆 , 刘昊然 谭松韵
马大帅, 中国大陆 , 赵本山 范伟
遇见王沥川, 中国大陆 , 高以翔 焦俊艳
一起同过窗 第二季, 中国大陆 , 武雨泽 徐晓璐
炊事班的故事, 中国大陆 , 洪剑涛 周小斌
暖春, 中国大陆 , 田成仁 齐如意
炊事班的故事3, 中国大陆 , 周小斌 毛孩
永不磨灭的番号, 中国大陆 , 黄海波 王雷
家有九凤, 中国大陆 , 李明启 张英
天地粮人, 中国大陆 , 李幼斌 张志忠
孙子兵法与三十六计, 中国大陆 , 仇永力 杨洪武
英雄, 中国大陆 , 张子健 蒋竹青
我主沉浮, 中国大陆 , 陈逸恒 吕凉
这里的黎明静悄悄, 中国大陆 , Tatyana Ostap Aleksandra Teryaeva
离婚, 中国大陆 , 葛优 傅彪
夜深人不静, 中国大陆 , 赵本山 范伟
命运的承诺, 中国大陆 , 傅彪 吴越
人虫, 中国大陆 , 刘威 李丁
高山下的花环, 中国大陆 , 周里京 朱建民
TF家族故事, 中国大陆 , 王俊凯 王源
少年特工, 中国大陆 , 杨溢 张璋
动什么，别动感情, 中国大陆 , 陶虹 张涵予
怪王外传, 剧情 , 李大强
李天腾与赵小宝2, 中国大陆 , 何超 张晨璐
左宗棠, 中国大陆 , 魏启明 奚美娟
幸福家庭的烦恼 第一季, 中国大陆 , 阿布都克里木·阿不力孜 哈斯也提·库尔班
为了新生活前进, 中国大陆 , 陈佩斯 姚二嘎
牵手人生, 中国大陆 , 黄海波 丁丹妮
旗旗号巡洋舰, 中国大陆 , 李蕾 王子斌
孔乙己, 中国大陆 , 茅威涛 李丽
王先生和小陈, 中国大陆 , 严顺开 林锡彪
石榴熟了 第二季, 中国大陆 , 叨叨 白毛毛
成长别烦恼第二部, 中国大陆 , 沈荣海 杨昆
左伟与杜叶的婚姻生活, 中国大陆 , 刘蓓 吴刚
下课了，要雄起, 中国大陆 , 罗德元 陈丽娟
嘿！小海军, 中国大陆 , 杨鸣健 赵智
老坎客栈, 中国大陆 , 庞祖云 媛凤
百家讲坛：春秋五霸, 中国大陆 , 李山
生活麻辣烫, 中国大陆, 中国大陆
松柏巷里万家人, 中国大陆 , 康保民 徐春娣
芝麻开门, 中国大陆 , 林晓凡 乔乔
百家讲坛 唐宋八大家之三苏, 中国大陆 , 康震
静静的艾敏河, 中国大陆 , 娜仁花 褚栓忠
我们的眼睛, 中国大陆 , 王楠 张俊
百家讲坛 战国七雄, 中国大陆 , 李山
隐秘的角落, 中国大陆 , 秦昊 王景春
大江大河, 中国大陆 , 王凯 杨烁
大江大河2, 中国大陆 , 王凯 杨烁
贫嘴张大民的幸福生活, 中国大陆 , 梁冠华 朱媛媛
白鹿原, 中国大陆 , 张嘉益 秦海璐
风筝, 中国大陆 , 柳云龙 罗海琼
平凡的世界, 中国大陆 , 佟丽娅 袁弘
重案六组, 中国大陆 , 李诚儒 王茜
血色浪漫, 中国大陆 , 刘烨 孙俪
沉默的证人, 中国大陆 , 王志飞 林熙越
苍穹之昴, 中国大陆 日本 , 田中裕子 殷桃
成吉思汗, 中国大陆 , 巴森 萨仁高娃
百变马丁, 中国大陆 , 姚培华 游军
一地鸡毛, 中国大陆 , 陈道明 徐帆
孝子, 中国大陆 , 许亚军 咏梅
似水年华, 中国大陆 , 黄磊 刘若英
铁血征途, 中国大陆 , 林江国 王韦智
课间好时光 第一季, 中国大陆 , 刘旭 何超
家宴, 中国大陆 , 王刚 颜丙燕
非常公民, 中国大陆 , 黄子华 蒋雯丽
命案十三宗, 中国大陆 , 刘威葳 李进荣
绝对隐私, 中国大陆 , 周迅 陈坤
十七岁不哭, 中国大陆 , 郝蕾 牛萌萌
百集聊斋之人鬼情缘, 中国大陆 , 刘敏涛 刘奕君
都市笑口组, 中国大陆 , 刘云明 张鹏
犯罪升级, 中国大陆 , 伍强 梁达
说的就是你2, 中国大陆 , 宋卿 杨天琪
儿女情长, 中国大陆 , 奇梦石 王玉梅
校园先锋, 中国大陆 , 陈瑾 张毅
观世音传奇, 中国大陆 , 陶慧敏 王思思
贻笑大方, 中国大陆 , 叶京 张涵予
天真派：西游记, 中国大陆 , 葛奕德 段智文
沂蒙, 中国大陆 , 迟蓬 孟霞
居家男人, 中国大陆 , 傅彪 伍宇娟
八兄弟, 中国大陆 , 倪大红 周小斌
武松, 中国大陆 , 祝延平 王景秋
司马迁, 中国大陆 , 仇永力 王全有
陈景润, 中国大陆 , 刘己 田　玲
百家讲坛：道光与鸦片战争, 中国大陆 , 喻大华
联林珍奇, 中国大陆 , 张弓 周洁
第三军团, 中国大陆 , 吕齐 嵇波
大秦腔, 中国大陆 , 储智博 朱琳
拉萨往事, 中国大陆 , 多布杰 朗杰央宗
远东阴谋, 中国大陆 , 师小红 高兰村
逗吧逗把街, 中国大陆 , 李小嘉 杨珊珊
曹操与杨修, 中国大陆 , 尚长荣 言兴朋
百家讲坛：五百年来王阳明, 中国大陆 , 郦波
领袖, 中国大陆 , 王霙 郭广平
龙珠, 中国大陆 泰国 , 苗乙乙 黄凯
窍哥, 中国大陆 , 宁理 穆丽燕
长天烽火, 中国大陆 , 濮存昕 黄磊
