时间,fenci,主题概率,主题类型
2023-08-24,日本鬼子 排放 废水,"[(0, 0.042106636), (1, 0.04203916), (2, 0.78935194), (3, 0.041851368), (4, 0.0419218), (5, 0.042729072)]",2
2023-08-24,兜兜 好气 生鱼片 小时 不让 废水 超话,"[(0, 0.02088602), (1, 0.020901158), (2, 0.02104028), (3, 0.021060115), (4, 0.8952485), (5, 0.020863928)]",4
2023-08-24,废水 超话,"[(0, 0.05574417), (1, 0.055800542), (2, 0.056361128), (3, 0.7206244), (4, 0.055806827), (5, 0.05566294)]",3
2023-08-24,背景 博物馆 底蕴 深厚 展览馆 生物 化石 标本 最强 医学部 学生 穿着 世纪 部队 博物馆 主馆 描述 内容 走进 全程 切齿 文物 值得 学习 导游 介绍 整死 收起,"[(0, 0.97123575)]",0
2023-08-24,拍摄 视频,"[(0, 0.05560659), (1, 0.055656698), (2, 0.055655066), (3, 0.055946004), (4, 0.05556177), (5, 0.7215739)]",5
2023-08-24,真烦 日料 不吃 肥肝 寿司 鸡皮 芒果 鳗鱼 讨厌,"[(0, 0.016668085), (1, 0.016668053), (2, 0.01666805), (3, 0.016668247), (4, 0.9166596), (5, 0.016668005)]",4
2023-08-24,骑手 下锅 下锅 废水 超话,"[(0, 0.027877705), (1, 0.8598628), (2, 0.028196448), (3, 0.02828707), (4, 0.027928058), (5, 0.027847914)]",1
2023-08-24,问候语 改成 排放 废水 消息 老百姓 保证 食盐 食盐 不行 井盐 渠道 食盐 估计 生产日期 海味 收起,"[(2, 0.95352)]",2
2023-08-24,网易 音乐 头条 推送 日子 硬气,"[(0, 0.02381272), (1, 0.88081735), (2, 0.023857702), (3, 0.023813091), (4, 0.023886574), (5, 0.023812538)]",1
2023-08-24,本质 卑鄙 自私 民族 民族 国家 投放 污水 后果 全世界 承担 选择 忘记 历史 承认 历史 事实 掩盖 选择 舆论 责任 不顾 基因突变 核污染 大气 核辐射 自私 将核 污水 世界 人类 贡献 毁灭 收起,"[(2, 0.97605556)]",2
2023-08-24,脑子 平替 推荐,"[(0, 0.041754514), (1, 0.041671716), (2, 0.7914983), (3, 0.041672476), (4, 0.04167222), (5, 0.041730806)]",2
2023-08-24,可恶 日本鬼子,"[(0, 0.055656992), (1, 0.055561725), (2, 0.05564465), (3, 0.055562705), (4, 0.055562392), (5, 0.7220115)]",5
2023-08-24,消息 电力公司 开启 核电站 核污染 正式 核电站 排入 发布 水产品 公告 医疗 科技 有限公司 总经理 证券日报 记者 介绍 核污染 排放 生态 人体 健康 水源 食物链 人体 摄入 引发 辐射 疾病 癌症 遗传性 疾病 免疫系统 损害 较高 辐射 危害性 摄入 人体 伤害 核污染 排放 事件 回应 水产 公司 做好 核污染 排海 相关 预案 核污染 排海 公司 公司 国际 采购 原料 白对虾 采购 地区 公司 沿岸地区 采购 减少 公司 牛蛙 鱼类 预制 产品 淡水 产品 公司 原料 网页 链接 收起,"[(1, 0.98941576)]",1
2023-08-24,年龄 眼睛 分享 玫瑰 单品 玫瑰 明眸 玫瑰 润泽 明眸 轻松 淡化 眼部 细纹 年轻 同龄人 年轻 眼部 肌肤 衰老 干燥 黑眼圈 眼睛 浮肿 眼部 拥有 明眸 眼霜 功效 营养 含量 大花 提取物 含有 含量 酚类 成分 用作 氧化剂 抗衰老 作用 血液循环 肌肤 红润 光彩照人 修复 受损 肌肤 紧致 肌肤 减少 纹路 不错 对抗 效果 远离 痘痘 肌肤 炎症 小球藻 提取物 活性 因子 肌肤 再生 效果 胶原蛋白 弹力 蛋白 合成 肌肤 表面 变得 光滑 提取物 抑制 皱纹 横生 淡化 眼纹 减少 肌肤 辐射 危害 受损 肌肤 修复 收起,"[(2, 0.9906208)]",2
2023-08-24,时间 时间 核电站 核污染 水排 洋流 海水 带到 全球 海域 排污 海水 浓度 走高 受害 全球 氧气 含量 下降 受害 生物 富集 效应 导致 食用 辐射 海水 提取 食用盐 困难 大气 环流 海水 蒸腾 降落 陆地 全球 陆地 淡水 资源 遭受 辐射 雨水 降水 丰沛 区域 受害 土壤 植被 遭受 核辐射 粮食 家畜 生物 富集 作用 放大 核辐射 危害 人类 环境 饮水 食物 包含 医学 证明 核辐射 改变 冲散 人体 结构 导致 细胞 变异 免疫力 下降 患癌 风险 人类 生存 遭受 毁灭性 打击 事情 村核 事故 核电站 爆炸 污水 财团 道歉 切割 责任 赔偿 操作 事情 发生 道歉 语气 诚恳 悔改 决心 坚定 收起,"[(0, 0.99204046)]",0
2023-08-24,刷成 核辐射 危害 痛骂 专场,"[(0, 0.028511686), (1, 0.027955413), (2, 0.027849292), (3, 0.027855279), (4, 0.8600238), (5, 0.027804557)]",4
2023-08-24,科学 超过 半衰期 丰度 元素 辐射 危害 危害 追踪 元素 防护,"[(0, 0.0140108615), (1, 0.01411055), (2, 0.013939285), (3, 0.9300926), (4, 0.013926241), (5, 0.01392049)]",3
2023-08-24,日方 核污染 置于 被告席,"[(0, 0.033590272), (1, 0.03350463), (2, 0.03364082), (3, 0.033375908), (4, 0.03334782), (5, 0.8325406)]",5
2023-08-24,核辐射 辐射 脑子 症状 治疗 无药 可治,"[(0, 0.89554906), (1, 0.020889962), (2, 0.020918379), (3, 0.020841526), (4, 0.020936668), (5, 0.020864362)]",0
2023-08-24,症状 缺盐 治疗,"[(0, 0.041936796), (1, 0.041670803), (2, 0.041670788), (3, 0.04167143), (4, 0.7913795), (5, 0.041670643)]",4
2023-08-24,脑子 进化,"[(0, 0.055746447), (1, 0.05556163), (2, 0.7218777), (3, 0.055562574), (4, 0.05556227), (5, 0.055689372)]",2
2023-08-24,传统 过学 国家 疾病 吃盐 高血压 成因 比重 吃盐 过量,"[(0, 0.015155815), (1, 0.015235011), (2, 0.015159414), (3, 0.015189373), (4, 0.01516959), (5, 0.9240908)]",5
2023-08-24,新冠 抢药,"[(0, 0.05607956), (1, 0.056021463), (2, 0.055565804), (3, 0.055567443), (4, 0.055566937), (5, 0.7211988)]",5
2023-08-24,降压药,"[(0, 0.083347835), (1, 0.5832589), (2, 0.08334734), (3, 0.083349906), (4, 0.08334915), (5, 0.083346814)]",1
2023-08-24,低血压 高血压,"[(0, 0.055561356), (1, 0.055561204), (2, 0.055561177), (3, 0.05556211), (4, 0.7217048), (5, 0.05604941)]",4
2023-08-24,担心 降雨 担心 食盐 理解,"[(0, 0.027877752), (1, 0.028541937), (2, 0.028491108), (3, 0.8590611), (4, 0.02783411), (5, 0.028193984)]",3
2023-08-24,抢归 涨价,"[(0, 0.05556056), (1, 0.055560436), (2, 0.05556042), (3, 0.7221974), (4, 0.055560946), (5, 0.055560242)]",3
2023-08-24,地球 沙子 无限 拿来,"[(0, 0.0336703), (1, 0.03345979), (2, 0.034296814), (3, 0.03334018), (4, 0.03378804), (5, 0.8314449)]",5
2023-08-24,抢完 大蒜 绿豆 抢完 盐巴,"[(0, 0.027779628), (1, 0.027779583), (2, 0.027779577), (3, 0.8611019), (4, 0.027779758), (5, 0.027779518)]",3
2023-08-24,全市 超市 买不到,"[(0, 0.041673064), (1, 0.041672908), (2, 0.79128325), (3, 0.041673835), (4, 0.041673534), (5, 0.042023405)]",2
2023-08-24,不上,"[(0, 0.08334307), (1, 0.0833428), (2, 0.08334277), (3, 0.08334445), (4, 0.5832845), (5, 0.083342396)]",4
2023-08-24,专家,"[(0, 0.08466024), (1, 0.083393164), (2, 0.084295474), (3, 0.0833405), (4, 0.08415291), (5, 0.5801577)]",5
2023-08-24,专家,"[(0, 0.08468974), (1, 0.083393216), (2, 0.08429674), (3, 0.08334052), (4, 0.08415391), (5, 0.58012587)]",5
2023-08-24,食盐 海盐 海盐,"[(0, 0.04169457), (1, 0.04190833), (2, 0.7907553), (3, 0.041685168), (4, 0.0416827), (5, 0.042273965)]",2
2023-08-24,跟风 造势,"[(0, 0.05556057), (1, 0.055560444), (2, 0.055652793), (3, 0.7215604), (4, 0.055560958), (5, 0.05610485)]",3
2023-08-24,毛病,"[(0, 0.08333692), (1, 0.08333681), (2, 0.08333679), (3, 0.5833156), (4, 0.08333727), (5, 0.083336644)]",3
2023-08-24,不着 海产品,"[(0, 0.72105974), (1, 0.05642151), (2, 0.05556302), (3, 0.055564232), (4, 0.055563826), (5, 0.05582761)]",0
2023-08-24,放心 不用 水循环,"[(0, 0.041674368), (1, 0.04188506), (2, 0.041674156), (3, 0.041675303), (4, 0.042002704), (5, 0.7910884)]",5
2023-08-24,国家 重盐 国家 高血压 国家 抛除 海盐 人类 食物 一定量,"[(0, 0.015194182), (1, 0.015165993), (2, 0.015194799), (3, 0.0151607925), (4, 0.0151779065), (5, 0.9241063)]",5
2023-08-24,专家 不靠,"[(0, 0.056133628), (1, 0.055585872), (2, 0.055987913), (3, 0.055562314), (4, 0.7205589), (5, 0.05617139)]",4
2023-08-24,药品 抢购 新闻,"[(0, 0.041775208), (1, 0.041936234), (2, 0.041759778), (3, 0.041899703), (4, 0.041670702), (5, 0.79095834)]",5
2023-08-24,花椒 脱销,"[(0, 0.05556054), (1, 0.05556042), (2, 0.055560403), (3, 0.7221975), (4, 0.055560924), (5, 0.055560227)]",3
2023-08-24,食盐 证明 屯货 过头,"[(0, 0.033931833), (1, 0.25264525), (2, 0.03367504), (3, 0.03348458), (4, 0.61236364), (5, 0.03389968)]",4
2023-08-24,充足 补货,"[(0, 0.05556055), (1, 0.056436643), (2, 0.056348685), (3, 0.71980655), (4, 0.05556093), (5, 0.056286633)]",3
2023-08-24,角度,"[(0, 0.08333745), (1, 0.08333734), (2, 0.08333734), (3, 0.083338074), (4, 0.58331263), (5, 0.08333715)]",4
2023-08-24,角度 皮肤,"[(0, 0.055559687), (1, 0.05555959), (2, 0.055559576), (3, 0.055560235), (4, 0.7222015), (5, 0.05555942)]",4
2023-08-24,可爱,"[(0, 0.08335085), (1, 0.08335035), (2, 0.08335031), (3, 0.08335339), (4, 0.08335229), (5, 0.58324283)]",5
2023-08-24,蓝色,"[(0, 0.08334166), (1, 0.08334139), (2, 0.08334139), (3, 0.582682), (4, 0.08334239), (5, 0.08395118)]",3
2023-08-24,鱼头 人身,"[(0, 0.05556417), (1, 0.7221783), (2, 0.055563916), (3, 0.05556525), (4, 0.05556482), (5, 0.055563614)]",1
2023-08-24,启蒙 时间 理解 尊重,"[(0, 0.033735096), (1, 0.03362394), (2, 0.83180046), (3, 0.034081794), (4, 0.033338778), (5, 0.033419915)]",2
2023-08-24,个性 自主 眼睛 走路 大树 附和,"[(0, 0.023825953), (1, 0.023813749), (2, 0.023920907), (3, 0.023814345), (4, 0.02381415), (5, 0.8808109)]",5
2023-08-24,落下,"[(0, 0.083348006), (1, 0.08334753), (2, 0.58325845), (3, 0.08334999), (4, 0.08334909), (5, 0.08334693)]",2
2023-08-24,晚安 回关,"[(0, 0.05556432), (1, 0.055564083), (2, 0.72217745), (3, 0.055565413), (4, 0.05556498), (5, 0.055563755)]",2
2023-08-24,感兴趣 开通 超话 社区 超话 社区 旗下 兴趣 社区 小伙伴 交流,"[(0, 0.01390307), (1, 0.013908604), (2, 0.013951526), (3, 0.013980093), (4, 0.93035156), (5, 0.013905134)]",4
2023-08-24,好像 放射性物质 海水 冷却 核污染 用人 命换,"[(0, 0.020924276), (1, 0.8953517), (2, 0.020850608), (3, 0.021047514), (4, 0.02083577), (5, 0.020990131)]",1
2023-08-24,抵制 抵制 抵制,"[(0, 0.041667655), (1, 0.04166763), (2, 0.041667625), (3, 0.7916618), (4, 0.041667726), (5, 0.04166759)]",3
