Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重,Topic15-主题词,Topic15-权重
专业,0.003,感觉,0.003,评价,0.003,阳台,0.003,位置,0.003,对面,0.003,民宿,0.003,零食,0.003,惬意,0.004,很棒,0.003,帮忙,0.003,公寓,0.002,朋友,0.003,房东,0.003,图片,0.003,主人,0.002
下午茶,0.003,一楼,0.002,车子,0.003,坡子,0.003,早餐,0.003,优越,0.003,硬件,0.003,店长,0.003,江景,0.004,宽敞,0.003,效果,0.003,挺好,0.002,烧烤,0.003,优美,0.003,热心,0.003,人群,0.002
放松,0.003,地铁站,0.002,步行,0.003,小吃,0.003,回复,0.002,房型,0.003,感谢,0.003,确实,0.003,图片,0.004,电话,0.003,用心,0.003,喝茶,0.002,交通,0.003,宽敞,0.003,适合,0.003,告诉,0.002
视野,0.003,正好,0.002,卫生间,0.003,外卖,0.003,麻将桌,0.002,前台,0.003,老板娘,0.003,整体,0.003,很棒,0.004,赠送,0.003,好评,0.003,楼层,0.002,精致,0.002,布局,0.003,总体,0.003,著名景点,0.002
厨房,0.003,总体,0.002,看着,0.003,湘菜,0.003,挂不住,0.002,配套,0.003,回复,0.003,入住,0.003,围炉,0.004,失望,0.003,细节,0.003,宗街,0.002,夸夸,0.002,完善,0.003,停车,0.003,打坐,0.002
品质,0.003,房子,0.002,适合,0.003,程序,0.003,地段,0.002,态度,0.003,品茶,0.003,舒适,0.003,适合,0.004,两张床,0.003,交通,0.003,氛围,0.002,诗意,0.002,愉快,0.003,床头柜,0.003,陷落,0.002
细致,0.003,不用,0.002,好看,0.003,泡澡,0.003,卖点,0.002,很软,0.003,客厅,0.003,装修,0.003,颜值,0.004,洗衣机,0.003,地理位置,0.003,惬意,0.002,放心,0.002,女朋友,0.003,萝卜,0.003,溜达,0.002
打卡,0.003,冰箱,0.002,吃饭,0.003,队伍,0.003,位于,0.002,浴缸,0.003,惊喜,0.003,贴心,0.003,繁华,0.004,超赞,0.003,很棒,0.003,还给,0.002,到达,0.002,品牌,0.003,投影,0.003,幕布,0.002
水果,0.003,超好,0.002,愉快,0.003,交通,0.003,离坡子,0.002,好看,0.003,步行,0.003,出差,0.003,满意,0.004,首选,0.003,时间,0.003,景点,0.002,拍摄,0.002,江景,0.003,价格,0.003,解放,0.002
靠近,0.003,照片,0.002,出差,0.003,洗衣机,0.003,打麻将,0.002,挺大,0.003,员工,0.003,设施,0.003,舒适,0.004,相符,0.003,距离,0.002,投影,0.002,浓厚,0.002,小朋友,0.003,老板娘,0.003,信息,0.002
机会,0.003,完美,0.002,很漂亮,0.003,冬瓜,0.003,太太,0.002,推荐,0.003,坐在,0.003,绿荫,0.003,卫生间,0.004,窗户,0.003,酒吧,0.002,优越,0.002,兄弟,0.002,适合,0.003,前台,0.003,萝卜,0.002
好评,0.003,投影仪,0.002,打卡,0.003,超大,0.003,早饭,0.002,选择,0.003,空空,0.003,煮茶,0.003,煮茶,0.004,客厅,0.003,坡子,0.002,用品,0.002,电动车,0.002,氛围,0.003,服务态度,0.003,洗完,0.002
住宿,0.003,友好,0.002,选择,0.003,价格,0.003,墙面,0.002,出行,0.003,介绍,0.003,到位,0.002,城景,0.004,泳池,0.003,回复,0.002,马桶,0.002,地铁,0.002,建议,0.003,空间,0.003,调好,0.002
程序,0.003,电影,0.002,效果,0.003,冰箱,0.003,被子,0.002,不行,0.002,帮忙,0.003,客服,0.002,确实,0.004,出去玩,0.003,外卖,0.002,好评,0.002,餐食,0.002,拍照,0.003,牛奶,0.003,发呆,0.002
耐心,0.003,餐厅,0.002,好评,0.003,牛奶,0.003,耳塞,0.002,洗漱,0.002,味道,0.003,住房,0.002,推荐,0.004,选择,0.003,超赞,0.002,打卡,0.002,水压,0.002,团建,0.003,卫生间,0.003,麻烦,0.002
姐妹,0.003,位于,0.002,对面,0.003,住客,0.003,性价比,0.002,休息,0.002,大门,0.003,连住,0.002,隔音,0.004,老板娘,0.003,小朋友,0.002,房东,0.002,算是,0.002,泡浴,0.003,开心,0.003,打动,0.002
开心,0.003,中心,0.002,环境优美,0.003,隔音,0.003,还好,0.002,灯光,0.002,确实,0.003,老街,0.002,发现,0.004,房东,0.003,房东,0.002,地方,0.002,基础设施,0.002,环境优美,0.003,到位,0.003,超高,0.002
位置,0.003,质量,0.002,马桶,0.003,院子,0.003,临近,0.002,梳子,0.002,房型,0.003,休息,0.002,拍照,0.004,服务态度,0.003,喝茶,0.002,体验,0.002,跃动,0.002,打卡,0.003,管家,0.003,独特,0.002
麻将桌,0.002,泳池,0.002,友好,0.003,围炉,0.003,庭院,0.002,一楼,0.002,景色,0.003,精致,0.002,出行,0.004,出门,0.003,桔子,0.002,到位,0.002,书院,0.002,很棒,0.003,热闹,0.003,巨好,0.002
样子,0.002,院子,0.002,广场,0.003,店长,0.003,速度,0.002,电热毯,0.002,阳台,0.003,浴室,0.002,整体,0.004,提供,0.003,味道,0.002,院子,0.002,鱼池,0.002,帮忙,0.003,很好,0.003,差劲,0.002
餐厅,0.002,居住,0.002,夜景,0.003,重点,0.003,幸运,0.002,找到,0.002,景点,0.003,好好看,0.002,楼层,0.004,公寓,0.003,光线,0.002,小吃,0.002,马路,0.002,景点,0.003,选择,0.003,一楼,0.002
聚会,0.002,周到,0.002,出门,0.003,早餐,0.003,一条街,0.002,退房,0.002,烤面包,0.003,博物馆,0.002,泳池,0.004,简单,0.003,泡池,0.002,到达,0.002,充电器,0.002,可爱,0.003,控制,0.002,被子,0.002
浪漫,0.002,住宿,0.002,蜘蛛,0.003,马桶,0.003,消息,0.002,餐馆,0.002,停车,0.003,舒适度,0.002,喜欢,0.004,地方,0.003,冰箱,0.002,细节,0.002,位居,0.002,面积,0.003,声音,0.002,场所,0.002
扫码,0.002,便利,0.002,优美,0.003,前台,0.003,后花园,0.002,人员,0.002,出差,0.003,送餐,0.002,性价比,0.004,投影,0.003,放松,0.002,前台,0.002,客服,0.002,开心,0.002,心思,0.002,美食,0.002
清洁,0.002,景点,0.002,便捷,0.003,步行,0.003,鸟叫声,0.002,回答,0.002,下午茶,0.003,全景,0.002,挺大,0.004,布局,0.002,解决,0.002,餐厅,0.002,信赖,0.002,值得,0.002,学会,0.002,泡上,0.002
游船,0.002,惬意,0.002,商圈,0.003,朋友,0.003,空调,0.002,预定,0.002,院子,0.003,夫妇,0.002,心情,0.002,地铁站,0.002,图片,0.002,质量,0.002,原因,0.002,来住,0.002,水品,0.002,新风,0.002
离开,0.002,氛围,0.002,大学城,0.003,房间内,0.003,地理位置,0.002,建议,0.002,选择,0.003,温柔,0.002,细看,0.002,沟通,0.002,浴缸,0.002,心静,0.002,品位,0.002,清新,0.002,耐心,0.002,小孩子,0.002
想到,0.002,用心,0.002,投影,0.003,退房,0.003,细节,0.002,控制,0.002,泳池,0.003,欣赏,0.002,介绍,0.002,提前,0.002,夜景,0.002,合适,0.002,灵感,0.002,回复,0.002,先进,0.002,森林,0.002
年轻,0.002,出行,0.002,小吃,0.003,空调,0.003,提供,0.002,电梯,0.002,挺好,0.003,外套,0.002,奶茶,0.002,走路,0.002,对面,0.002,写字楼,0.002,房间内,0.002,临睡前,0.002,小家,0.002,足够,0.002
清新,0.002,服务态度,0.002,景区,0.003,转身,0.001,看吧,0.002,围炉,0.002,老街,0.003,发现,0.002,解决,0.002,清新,0.002,空间,0.002,房费,0.002,小吃,0.002,告知,0.002,匹配,0.002,抵达,0.002
手工,0.002,接待,0.002,停车场,0.003,旧楼,0.001,投影仪,0.002,布局合理,0.002,整体,0.003,帽子,0.002,烟雨,0.002,行李箱,0.002,停车,0.002,照顾,0.002,毗邻,0.002,餐食,0.002,需求,0.002,质感,0.002
电脑,0.002,布置,0.002,空气,0.003,简洁,0.001,宵夜,0.002,只能,0.002,房子,0.003,评价,0.002,住宿,0.002,氛围,0.002,行李,0.002,家庭,0.002,宗街,0.002,给赞,0.002,街市,0.002,悬空,0.002
智能,0.002,咖啡厅,0.002,很棒,0.003,纸巾,0.001,惊喜,0.002,别致,0.002,浴室,0.003,预订,0.002,装备,0.002,度假,0.002,江景,0.002,很漂亮,0.002,光顾,0.002,聚会,0.002,年轻,0.002,明亮,0.002
客厅,0.002,玻璃房,0.002,满意,0.003,智能,0.001,当家,0.002,出门,0.002,热闹,0.003,区域,0.002,折腾,0.002,店长,0.002,总体,0.002,机会,0.002,电视,0.002,小众,0.002,厕所,0.002,开好,0.002
通风,0.002,柠檬,0.002,环境卫生,0.003,外地人,0.001,携程,0.002,暖和,0.002,照片,0.003,烟霞,0.002,衣服,0.002,烦恼,0.002,老板,0.002,地铁口,0.002,清新,0.002,球球,0.002,问能,0.002,不算,0.002
收藏夹,0.002,聚会,0.002,团建,0.002,休息,0.001,送来,0.002,景色,0.002,煮茶,0.003,看得出,0.002,柠檬,0.002,超高,0.002,前台,0.002,热心,0.002,空调,0.002,解放,0.002,功夫,0.002,体现,0.002
保证,0.002,放松,0.002,下午茶,0.002,城景,0.001,划算,0.002,热心,0.002,地点,0.003,完美,0.002,换洗,0.002,采光,0.002,设施,0.002,效率高,0.002,电驴,0.002,评所,0.002,充电,0.002,好看,0.002
卧室,0.002,装饰,0.002,管家,0.002,同事,0.001,楼梯,0.002,马路,0.002,小时,0.003,优点,0.002,好比,0.002,卫生间,0.002,惬意,0.002,吃喝,0.002,大方,0.002,包括,0.002,动嘴,0.002,欧式,0.002
天气,0.002,回复,0.002,客服,0.002,配置,0.001,小吃,0.002,驻店,0.002,拍照,0.003,配置,0.002,姐妹,0.002,狗狗,0.002,吃饭,0.002,精致,0.002,潮宗,0.002,灯光,0.002,友好,0.002,油脂,0.002
是用,0.002,好评,0.002,女生,0.001,办公桌,0.001,光影,0.002,合适,0.002,学校,0.003,花草,0.002,纱帘,0.002,退房,0.002,面积,0.002,声音,0.002,智能,0.002,空调,0.002,爆炸,0.002,来住,0.002
食材,0.002,萝卜,0.002,细节,0.001,分离,0.001,前台,0.002,耐心,0.002,适合,0.003,超大,0.002,可惜,0.002,洗漱,0.002,可爱,0.002,超出,0.002,烦恼,0.002,理解,0.002,精致,0.002,私密,0.002
靠窗,0.002,小吃街,0.002,房间内,0.001,周到,0.001,姐妹,0.002,停车,0.002,宽敞,0.003,店里,0.002,住惯,0.002,加油,0.002,木质,0.001,老板娘,0.002,住房,0.002,零差,0.002,名宿,0.002,有大,0.002
前院,0.002,感到,0.002,记得,0.001,疑问,0.001,弟弟,0.002,机会,0.002,好闻,0.003,可惜,0.002,带我去,0.002,压抑,0.002,实在,0.001,攻略,0.002,艺术,0.002,游泳池,0.002,耳塞,0.002,睡觉,0.002
操作,0.002,打车,0.002,道理,0.001,调色,0.001,介绍,0.002,大床,0.002,很好,0.003,行程,0.002,宗街,0.002,超值,0.002,到达,0.001,采光,0.002,有序,0.002,还养,0.002,风景,0.002,客服,0.002
户型,0.002,期待,0.002,遗憾,0.001,还养,0.001,落地窗,0.002,质量,0.002,住房,0.002,沐浴,0.002,加热,0.002,下楼,0.002,超好,0.001,小院,0.002,丢掉,0.002,地台,0.002,氛围,0.002,鹅绒,0.002
零食,0.002,游玩,0.002,权益,0.001,小时,0.001,超市,0.002,差点,0.002,消毒柜,0.001,泡泡浴,0.002,方式,0.002,质量,0.002,步行街,0.001,住宿,0.002,挑不出,0.002,失望,0.002,环境卫生,0.002,出门,0.002
