内容,主题概率,主题类型
不怎么样 真空包装,"[(0, 0.030308094), (1, 0.03031144), (2, 0.030308524), (3, 0.69690734), (4, 0.030308094), (5, 0.03030815), (6, 0.030308187), (7, 0.030312276), (8, 0.030308835), (9, 0.030308094), (10, 0.030310966)]",3
大米 一点 香味 味道不好,"[(0, 0.24703355), (1, 0.018183129), (2, 0.018183341), (3, 0.01818268), (4, 0.018184287), (5, 0.58931804), (6, 0.018182905), (7, 0.018183198), (8, 0.01818285), (9, 0.018183088), (10, 0.018182974)]",5
收到 物流 很快 值得 购买,"[(0, 0.0151530495), (1, 0.015152816), (2, 0.40938488), (3, 0.01515292), (4, 0.015152418), (5, 0.015152273), (6, 0.015152068), (7, 0.0151521815), (8, 0.015151936), (9, 0.45424345), (10, 0.015152019)]",9
后续 追评,"[(0, 0.03031786), (1, 0.030317951), (2, 0.03031786), (3, 0.03031786), (4, 0.030318232), (5, 0.03031786), (6, 0.03031786), (7, 0.030317886), (8, 0.6968186), (9, 0.03031786), (10, 0.030320207)]",8
回来 评价,"[(0, 0.030307077), (1, 0.030306306), (2, 0.030304126), (3, 0.030304428), (4, 0.030308876), (5, 0.3715533), (6, 0.03030388), (7, 0.35569772), (8, 0.03030615), (9, 0.030303987), (10, 0.030304093)]",5
过在 评价,"[(0, 0.030338), (1, 0.030339075), (2, 0.03033537), (3, 0.030335328), (4, 0.030340215), (5, 0.030335326), (6, 0.030335234), (7, 0.3611194), (8, 0.030337488), (9, 0.36584923), (10, 0.030335363)]",9
打开 评价,"[(0, 0.030306885), (1, 0.03030633), (2, 0.030304322), (3, 0.030303964), (4, 0.030304), (5, 0.030303402), (6, 0.030306878), (7, 0.69694954), (8, 0.03030721), (9, 0.030303808), (10, 0.030303651)]",7
质量 看着,"[(0, 0.03030615), (1, 0.030303631), (2, 0.030304978), (3, 0.030303542), (4, 0.030304907), (5, 0.030304167), (6, 0.69694775), (7, 0.030304966), (8, 0.03030956), (9, 0.030306788), (10, 0.030303517)]",6
拆开 追评,"[(0, 0.030305589), (1, 0.030305456), (2, 0.030305365), (3, 0.030305365), (4, 0.030305753), (5, 0.030305365), (6, 0.030305365), (7, 0.030305393), (8, 0.6969452), (9, 0.030305365), (10, 0.030305747)]",8
买完 降价 亏了 好几块,"[(0, 0.018202612), (1, 0.018202612), (2, 0.018203048), (3, 0.018202612), (4, 0.018202612), (5, 0.01820297), (6, 0.018203227), (7, 0.8179705), (8, 0.018202612), (9, 0.018203521), (10, 0.01820369)]",7
