,电影语言,上映时间,电影类型,热门主演,电影导演,电影持续时间,想看人数,总票房（单位万）
3542,1,0,3,0,0,132,175936,19600.0
3544,0,1,2,0,0,99,27820,2953.8
3549,0,2,4,0,0,110,17680,124600.0
3560,1,0,3,0,0,126,69642,45199.99999999999
3562,0,1,2,0,0,88,1170,14.2
3564,1,0,6,1,0,129,767,226.1
3571,0,1,4,0,0,78,7076,754.1
3574,0,0,7,0,0,98,171654,15900.0
3577,0,0,2,0,0,102,94926,30900.0
3583,0,0,0,0,0,89,3465,18.0
3602,0,0,2,0,0,124,58291,118600.0
3610,0,1,3,0,0,147,433283,105900.0
3618,1,1,2,0,0,125,15342,317.6
3619,0,0,0,0,0,104,4635,497.9
3621,1,0,0,0,0,104,199916,36700.0
3629,0,1,3,1,1,128,405780,132900.0
3631,1,0,3,1,0,110,10709,33800.0
3635,0,0,4,0,0,91,1978,32.9
3642,0,0,4,0,1,87,7154,58.0
3644,0,2,8,0,0,124,48500,11100.000000000002
3652,0,0,3,1,0,112,29778,3490.9
3653,0,1,2,0,0,96,3646,31.5
3667,0,0,2,0,0,129,20782,19500.0
3676,1,0,3,0,1,157,39344,2788.5
3683,0,2,2,0,0,125,60896,12200.0
3687,0,0,2,0,0,103,4119,2830.3
3691,0,1,4,0,0,95,1118,13.9
3694,0,0,2,0,0,85,202,1.9
3699,1,0,3,0,0,99,46755,11200.000000000002
3702,0,0,0,0,0,94,609,0.8283
3714,0,1,2,0,0,93,4346,12.3
3734,0,0,2,0,0,144,6364,709.0
3742,0,0,6,0,0,81,14845,473.5
3751,0,1,0,0,0,99,61355,2715.2
3753,0,2,4,0,0,136,4468547,452300.0
3754,0,0,2,0,0,88,397,1.2
3761,0,1,2,0,0,90,893,23.7
3762,0,0,7,0,0,91,12389,3.4
3773,1,1,0,0,0,104,13924,1349.5
3780,0,0,2,0,0,100,1111,100.6
3783,0,0,7,0,0,100,6385,7670.4
3787,1,0,2,0,0,123,82759,10500.0
3794,0,0,7,0,1,93,189728,3224.8
3796,0,0,2,0,0,100,365,2.5
3801,1,0,0,0,0,108,30832,12700.0
3802,0,1,0,0,0,90,8784,253.7
3812,0,0,2,0,0,93,376,0.2608
3817,0,0,2,0,0,89,831,27.0
3822,0,2,6,0,0,94,17265,230.4
3827,0,1,2,0,0,86,531,249.3
3831,0,0,0,0,0,94,1528,38.4
3834,0,0,7,0,0,88,1695,23.9
3836,1,1,4,0,0,97,144949,25299.999999999996
3854,0,2,0,0,0,102,14364,1725.7
3862,0,2,2,1,0,125,351174,51500.00000000001
3870,0,0,2,0,0,102,33201,1777.0
3878,0,1,0,0,0,88,301,100.6
3880,0,1,2,0,0,113,4009,87.7
3886,0,0,2,0,0,85,16,21.2
3893,1,0,4,0,1,88,14966,1578.8
3894,0,1,2,0,0,90,1628,0.3074
3900,0,2,2,0,0,96,154934,60800.0
3908,1,0,0,1,0,111,82697,6474.5
3915,0,0,1,1,0,109,39809,9923.6
3920,0,1,3,1,0,99,371844,67900.0
3934,0,0,2,0,0,104,4303,36.2
3943,0,1,7,1,0,98,1791,22.1
3958,0,0,2,0,0,101,499,1547.4
3972,0,1,4,0,0,87,774,2.3
3976,0,0,4,0,0,91,27610,531.6
3977,0,0,2,0,0,100,1003,2.6
3993,0,2,0,0,0,78,33087,5326.3
3997,0,0,0,0,0,85,7139,235.6
4001,0,2,9,0,0,125,252299,468700.0
4003,0,0,1,0,0,88,1854,4355.2
4004,0,2,3,1,1,121,310427,131400.0
4005,0,1,2,0,0,87,1633,0.3277
4013,1,1,2,0,0,97,28385,3162.7
4014,0,2,2,0,0,120,634,1.0
4016,0,1,4,0,0,113,1030331,30000.0
4020,0,0,7,0,0,88,2085,24.1
4022,0,0,2,0,0,144,376069,54900.0
4029,1,0,3,0,0,122,172381,89600.00000000001
4032,0,0,2,0,0,90,183,7.4
4033,1,0,0,0,0,94,27193,1098.4
4046,0,0,2,0,0,107,97935,10000.0
4065,0,0,4,0,0,90,14530,335.0
4070,0,1,2,0,0,92,15,2.0
4082,0,1,2,0,0,110,279509,7833.6
4085,0,0,2,0,0,102,1119,14.1
4099,0,0,0,0,0,95,539,580.4
4100,0,1,4,0,0,114,128147,25200.0
4101,0,0,0,0,0,88,17874,4100.6
4106,0,0,4,0,0,90,3614,467.4
4107,0,0,2,0,0,120,23799,3298.0
4120,1,0,9,1,0,124,91,6576.5
4122,0,2,7,0,0,95,878,13.8
4125,0,0,0,0,0,110,14309,1172.0
4135,0,2,0,0,0,86,21190,667.3
4137,0,0,0,0,0,97,55777,31200.0
4140,0,1,0,0,0,83,15883,7684.2
4141,0,2,0,0,0,90,135,10100.0
4143,0,1,0,0,0,85,32245,2939.8
4150,0,0,2,0,0,104,57412,3129.3
4159,0,1,4,0,1,84,11655,981.8
4161,0,0,0,0,0,98,5864,131.3
4167,0,0,4,0,0,90,36441,1306.9
4172,0,1,4,1,0,99,42015,20299.999999999996
4175,1,2,3,0,0,133,49,67200.0
4177,0,2,2,0,0,85,1012,12.4
4178,0,0,0,0,0,90,4027,324.4
4180,0,1,3,0,0,95,13451,315.6
4181,1,2,0,1,0,95,336766,100000.0
4194,0,0,2,0,0,90,3148,2518.6
4195,0,0,0,0,0,95,404,1.0
4201,1,0,3,1,0,151,341744,61800.0
4202,0,1,0,0,0,90,1940,3544.9
4209,0,1,7,0,0,90,39177,4085.0
4214,0,1,0,0,0,87,15939,145.1
4222,0,2,2,0,0,86,55,12.0
4228,0,1,7,1,0,183,15,10400.0
4232,0,1,2,0,0,98,830,110.3
4234,0,0,0,0,0,80,6856,1580.9
4242,1,1,0,0,0,83,1,1506.6
4243,0,0,0,0,0,101,53,32.4
4264,0,0,7,0,0,99,143737,1624.4
4265,0,1,2,0,0,92,51,5.1
4268,0,0,2,0,0,95,794,107.4
4272,1,1,2,0,0,86,46878,1041.4
4285,0,2,0,0,0,95,468,376.6
4311,0,1,2,0,0,137,215617,58300.0
4317,0,0,0,0,0,99,824,543.1
4322,0,1,0,0,0,100,5137,5034.6
4324,0,1,9,0,0,129,5289,329.3
4326,0,0,6,0,0,86,8767,74.0
4329,0,0,2,0,0,91,683,5385.2
4331,0,1,4,0,0,93,50935,968.9
4350,0,0,2,0,0,95,854,0.6554
4353,1,1,2,0,0,102,8148,516.1
4355,0,2,0,1,0,100,56738,1115.4
4365,1,0,3,0,0,107,77,2747.8
4371,1,0,4,1,0,86,14422,2643.8
4374,0,0,2,0,0,95,16552,150.8
4380,0,0,4,0,0,84,20283,556.5
4397,1,0,2,0,0,111,16927,2093.1
4398,0,0,2,0,0,100,1220,1.5
4407,0,1,2,1,0,137,425701,50400.0
4413,0,0,2,0,0,116,114525,53900.0
4420,0,2,4,0,0,97,2588,7.0
4427,1,2,3,0,0,144,19,9271.0
4441,0,0,2,0,0,96,673,89.4
4445,0,0,3,0,0,102,2126,33100.0
4446,0,0,2,1,0,100,29674,3616.8
4455,0,0,8,1,0,105,146662,24300.000000000004
4463,0,2,2,0,0,108,9497,133.8
4468,0,0,2,0,0,100,16511,4026.7
4488,1,0,2,0,0,102,8419,670.9
4489,0,0,4,0,0,105,22543,127000.0
4491,0,0,4,0,0,95,3507,263.3
4496,0,1,0,0,0,87,5327,307.8
4509,1,1,4,1,0,97,48419,14000.0
4511,0,0,7,0,0,90,1196,50.3
4513,0,0,0,0,0,90,0,5.9
4517,0,0,0,0,0,101,337146,40500.0
4522,0,2,4,0,0,90,74,33.5
4528,0,2,2,0,0,137,73098,4740.9
4534,0,0,4,1,0,88,146663,12300.0
4535,1,0,3,1,0,109,92251,43400.0
4536,0,0,6,0,0,93,6081,45.2
4538,1,0,6,0,0,116,19523,3556.5
4546,0,0,4,0,0,111,436760,54700.0
4550,0,0,0,0,0,83,2107,300.8
4554,0,0,3,0,0,82,158,0.1016
4557,1,0,2,1,0,106,123410,97600.0
4562,0,2,5,0,0,120,537583,27300.0
4566,0,1,0,0,0,98,10936,631.4
4568,1,2,2,0,0,109,62080,2390.4
4571,0,0,2,0,0,127,482535,86000.0
4578,0,2,0,0,0,86,8312,1653.8
4589,0,0,2,0,0,82,45,0.105
4595,0,1,0,0,0,80,47729,15800.0
4597,0,1,2,0,0,112,123622,5467.5
4601,0,1,4,0,0,105,132333,3051.1
4613,0,0,7,0,0,93,559,26.0
4620,0,1,0,0,0,95,13464,195.1
4623,1,0,3,0,0,123,118081,28900.0
4625,0,1,4,1,0,126,513937,63700.0
4627,0,1,0,0,0,92,2706,321.3
4628,0,0,2,0,0,94,1630,6.0
4640,0,1,0,0,0,80,9547,5261.4
4666,0,1,2,0,0,98,237013,14200.0
4679,0,0,0,0,0,109,294,56.9
4682,1,0,2,1,0,90,17,393.2
4690,0,1,0,0,0,88,0,182.2
4696,0,1,2,0,0,147,518898,311000.0
4701,0,1,0,0,0,90,1,403.1
4702,0,0,2,1,0,84,52621,3313.2
4705,1,1,0,1,0,90,15124,1720.6
4708,0,0,2,0,0,91,392,2.7
4712,0,0,2,0,0,90,211,8.0
4713,0,0,0,0,0,120,7465,346.5
4716,0,0,4,0,0,89,609,208.2
4720,0,2,3,0,0,98,10765,90.6
4725,1,0,0,0,0,107,15887,1843.8
4727,0,2,2,0,0,102,1055,1.7
4729,0,2,2,0,0,95,651,704.3
4739,0,0,4,0,0,96,4890,17.1
4745,0,2,7,0,0,95,686,5.4
4750,0,0,0,0,0,83,2404,187.0
4768,1,1,2,0,0,113,488795,23199.999999999996
4771,0,0,0,0,0,88,14524,132.8
4774,1,1,3,1,1,154,539,106999.99999999999
4777,0,0,2,0,0,99,1469,26.5
4779,0,1,2,0,0,92,3233,27.5
4781,0,1,2,0,0,88,1139,0.5539
4799,0,0,0,0,0,93,4953,247.1
4802,0,0,2,0,0,108,3981,8675.2
4811,0,2,7,1,0,97,11591,152.5
4818,0,2,9,0,0,192,1451318,169800.0
4820,0,1,2,0,1,140,19,0.134
4823,0,2,2,0,0,93,10952,93.7
4833,0,0,2,0,0,100,10617,841.4
4843,0,0,4,0,0,110,668983,223700.0
4846,1,0,2,1,0,134,283239,66200.0
4851,0,0,6,0,0,90,1274,27.2
4860,0,0,0,1,0,111,37411,760.3
4863,1,0,4,0,0,87,15294,364.8
4864,0,1,2,0,0,95,1608,63.9
4867,0,0,4,0,0,118,92224,6704.3
4869,1,0,0,0,0,107,6773,198.6
4876,0,1,0,0,0,85,50009,9330.4
4883,0,2,4,0,0,102,7202,66.9
4885,0,0,2,0,0,96,1825,35.4
4887,0,1,4,0,0,0,0,37.4
4896,1,0,3,0,0,92,2006,324.9
4899,0,1,0,0,0,109,4097,3469.1
4902,0,0,0,0,0,86,14998,488.5
4907,0,0,2,0,0,101,38545,3502.0
4909,0,0,4,0,0,90,7365,183.6
4921,0,0,2,0,0,176,1009175,577500.0
4927,1,0,0,0,0,90,2844,82.5
4932,0,0,2,0,0,89,218,0.5543
4939,0,0,6,0,0,95,39804,1515.9
4944,1,1,4,0,0,75,2475,6.9
4951,1,1,4,1,0,120,68347,3121.2
4970,1,0,0,1,0,100,67419,3164.7
4976,0,2,7,1,0,99,70781,46800.0
4980,0,0,5,0,0,120,13617,49.0
4997,0,0,4,0,0,114,28452,3024.3
5004,0,0,2,0,0,110,68582,662.2
5005,0,2,2,1,0,98,3473,21.8
5011,0,0,0,0,0,139,13,0.6491
5013,0,0,0,0,0,90,239,40.2
5014,0,2,3,0,0,156,162779,15000.0
5017,1,0,2,0,0,99,12752,802.5
5019,0,2,2,0,0,96,33737,1934.0
5025,1,0,3,0,0,98,3266,387.5
5033,1,0,3,1,0,105,224073,11000.000000000002
5048,0,2,0,0,0,0,13,14.2
5052,0,0,2,0,0,97,9481,188.9
5055,1,2,6,0,0,86,842,215.3
5059,1,2,3,0,0,103,24548,17200.0
5060,1,0,4,0,0,86,8357,488.2
5067,0,1,2,0,0,113,2060,73.2
5070,0,2,0,0,0,95,312,3.2
5071,0,1,1,0,0,76,5125,6195.9
5072,1,0,0,0,0,137,14608,32500.0
5084,0,1,9,0,0,107,221124,12300.0
5089,1,2,4,0,0,86,45277,6256.0
5095,0,1,0,0,0,93,22327,8761.3
5107,0,0,0,0,0,105,7648,10300.0
5124,1,0,0,0,0,79,23824,282.0
5131,1,0,3,1,0,118,35692,6099.9
5141,0,0,2,0,0,100,61697,399.1
5143,1,0,2,0,0,115,35518,6499.0
5149,0,1,2,0,0,90,1079,108.3
5151,1,1,0,0,0,94,13449,1548.9
5155,0,2,7,0,0,107,567089,40300.0
5159,1,0,4,1,0,110,17297,21500.0
5163,1,2,4,0,0,119,128925,28600.0
5167,1,0,5,0,0,98,42,8047.1
5168,0,2,5,0,0,98,9538,38.4
5178,1,0,1,0,0,101,4206,2114.6
5179,0,2,2,0,0,88,291,9.4
5181,0,0,2,1,0,106,15297,453.9
5183,0,0,6,0,0,89,2551,20.9
5186,0,0,4,0,0,90,963,21.0
5191,0,0,2,0,0,103,35,23199.999999999996
5209,0,0,2,1,0,87,68229,3449.4
5210,1,2,4,0,0,90,9515,1059.9
5216,0,1,2,0,0,88,18819,482.8
5217,1,0,3,0,0,112,14,1270.0
5219,0,1,0,0,0,97,2901,177.1
5221,0,0,0,0,0,99,1482,2245.8
5223,0,2,0,0,0,90,24482,2219.8
5224,0,0,3,0,0,119,8547,12500.0
5233,0,1,2,0,0,117,451954,220700.0
5240,0,2,4,0,0,93,613748,339099.99999999994
5245,0,0,2,0,0,86,8422,1039.4
5268,0,0,0,0,0,85,8871,409.5
5278,0,0,4,0,0,85,2535,1810.3
5281,0,2,0,0,0,83,9109,631.9
5285,0,1,2,0,0,108,5103,105.8
5287,0,0,0,0,0,96,12337,581.0
5288,0,0,7,0,0,97,25746,2946.2
5291,0,2,2,0,0,96,627,180.2
5295,0,0,7,0,0,116,424137,30100.0
5298,0,0,2,0,0,95,19036,3741.5
5306,0,0,0,1,0,115,730115,18500.0
5309,0,2,4,0,0,91,195705,31300.0
5312,0,0,0,0,0,123,93914,14200.0
5316,0,0,4,0,0,88,13379,1903.9
5319,0,0,5,0,1,143,347734,19400.0
5320,0,0,2,0,0,127,76471,2170.7
5323,1,1,9,1,0,113,15804,40599.99999999999
5359,1,0,6,0,0,87,22938,7446.9
5366,0,0,0,0,0,92,3312,302.9
5371,0,1,2,1,0,91,27552,10100.0
5374,0,0,7,0,0,103,225688,9257.3
5377,0,1,2,0,0,100,0,13.5
5378,0,0,2,0,0,139,54532,5025.3
5383,1,0,3,1,0,150,267812,54100.0
5385,0,2,2,0,0,88,4851,368.2
5399,0,0,2,0,0,100,406,39.7
5400,0,0,0,0,0,89,3956,273.7
5402,0,0,4,0,0,101,12137,546.9
5403,0,0,2,0,0,103,48488,4388.6
5404,1,0,4,0,0,105,13105,4199.4
5411,1,2,3,0,0,116,21657,451.5
5412,0,0,7,0,0,93,52038,468.8
5417,0,0,5,0,0,125,177525,18500.0
5440,0,1,1,0,0,76,2437,38.1
5445,1,0,0,0,0,96,11285,685.1
5446,0,1,2,0,0,88,1080,45.8
5448,0,0,2,0,0,100,8986,290.9
5453,0,0,2,0,0,117,267851,68100.0
5458,0,0,0,0,0,114,1076,114.0
5467,1,0,3,1,0,117,10766,31400.0
5471,0,0,2,0,0,105,1999,1675.4
5478,0,0,4,0,0,88,117,0.4262
5485,0,2,4,1,0,88,128961,36300.0
5486,0,1,3,0,0,90,217,45.0
5487,0,1,0,1,0,93,25405,1646.9
5488,0,0,2,0,0,92,43345,6327.7
5492,0,1,0,0,0,93,55649,1928.0
5495,0,1,4,0,0,97,6002,63.9
5507,0,2,4,1,0,94,12552,6370.1
5513,1,0,4,0,0,117,17127,3744.9
5515,0,1,3,0,0,145,190045,18500.0
5517,1,0,3,0,0,115,6844,25299.999999999996
5518,0,0,4,0,0,109,121762,26100.0
5522,0,0,2,0,0,92,12,0.0492
5524,0,0,0,0,0,102,42378,2235.0
5534,1,0,0,1,0,118,153830,49700.0
5536,0,1,4,0,0,116,258979,48400.0
5548,0,2,4,0,0,90,1456,13.3
5549,0,0,3,0,0,90,0,11.9
5553,1,0,3,1,0,139,44,14900.0
5565,0,0,2,0,0,105,16048,953.6
5571,1,0,0,0,0,94,14973,17.8
5575,0,1,2,0,0,92,2,0.06
5579,0,2,2,0,0,86,2842,33.0
5582,0,0,5,0,0,88,346,1.2
5589,0,0,2,0,1,115,12,14400.0
5594,1,0,3,0,0,111,9,2385.0
5597,1,2,3,1,0,114,169967,114900.0
5603,0,0,4,0,0,94,1,24300.000000000004
5604,0,0,2,0,0,105,3,0.075
5607,0,2,2,0,0,128,609753,54200.0
5611,0,0,2,0,0,116,10073,132.3
5617,0,0,3,0,1,113,11,12000.0
5619,0,2,0,0,0,85,667,9.7
5630,1,1,0,0,1,116,142095,31100.0
5642,0,2,2,1,0,118,439726,112100.0
5644,0,0,0,0,0,92,61,9.4
5648,0,2,4,0,0,93,7776,806.2
5651,1,0,4,0,0,97,28015,2242.9
5663,0,1,0,0,0,86,4424,256.8
5671,0,0,0,0,0,96,1059,6.2
5682,0,0,6,0,0,88,12203,9.2
5686,0,1,4,0,0,89,21393,485.7
5706,0,0,0,0,0,90,0,0.3305
5709,0,1,2,0,0,90,217,366.0
5717,0,0,2,0,0,90,316,26.1
5733,1,0,0,0,1,96,7609,334.2
5738,0,0,0,0,0,90,6252,606.6
5739,0,2,2,0,0,94,6072,112.0
5747,0,2,4,1,0,106,20409,5398.3
5754,0,2,0,0,0,97,5373,44.6
5760,0,0,3,0,0,94,3067,9.1
5763,1,0,1,0,0,124,6652,1744.8
5770,0,0,0,0,0,93,1,0.235
5774,0,0,3,0,1,135,9408,1584.4
5776,0,2,0,0,0,86,6469,307.2
5780,0,1,2,0,0,93,572,104.3
5781,0,0,4,0,0,108,63295,12400.0
5784,0,0,2,0,0,114,42651,8020.2
5786,0,1,2,0,0,45,39,0.0225
5794,0,2,4,0,0,108,20250,1272.1
5795,1,1,0,0,0,94,53317,19700.0
5796,0,1,0,1,0,108,75198,10100.0
5801,0,2,5,0,0,130,500948,103500.0
5805,0,0,0,0,0,88,23,626.9
5819,0,0,0,0,0,82,46215,1400.6
5821,1,0,0,1,0,115,76220,1724.5
5830,0,0,0,0,0,113,403,47.9
5831,0,1,0,0,0,86,16415,217.7
5832,0,0,2,0,0,140,334379,86700.0
5833,0,1,4,1,0,113,54563,2248.4
5839,0,2,4,1,0,128,1162302,541300.0
5846,1,0,3,0,0,99,251371,110900.0
5848,1,2,4,0,0,96,23509,6126.2
5860,0,2,0,0,0,96,9877,29400.0
5877,1,0,7,0,0,96,36139,1114.5
5883,0,0,2,0,0,90,503,0.009
5885,0,0,2,0,0,129,9248,254.0
5887,0,1,0,0,0,110,228442,2025.4
5894,0,0,0,0,0,88,25,2075.7
5896,0,0,0,0,0,92,2268,11.0
5900,1,0,2,1,1,180,35494,7455.0
5903,0,0,4,0,1,86,2361,99.8
5911,0,0,0,0,0,94,3530,492.0
5927,0,2,0,0,0,82,13047,422.9
5938,0,2,4,0,1,100,43,4301.2
5945,0,0,4,0,0,108,55669,4689.7
5946,0,1,2,0,0,108,760,467.2
5952,0,0,0,0,0,83,21375,226.6
5961,0,0,3,0,1,158,19131,5739.7
5968,0,1,4,0,0,91,19165,4331.0
5971,0,1,4,0,0,85,2477,7546.0
5977,0,0,0,0,0,97,5160,582.4
5989,0,0,2,0,0,89,583,0.057
5990,1,0,2,0,0,150,49155,10200.0
5995,0,0,2,0,0,113,5581,21.8
6011,0,0,2,0,0,110,1687,61.2
6022,1,0,4,0,0,92,8731,5467.1
6029,0,1,1,0,0,119,676537,85100.0
6034,0,1,0,0,0,81,9078,103.5
6035,0,0,4,0,0,113,7297,13600.0
6036,0,1,3,0,0,88,24,3450.0
6040,0,0,2,0,0,109,70,10.3
6041,0,2,2,0,0,137,198900,90100.0
6042,0,1,3,1,0,90,4694,53.7
6046,0,1,2,0,0,95,881,2.1
6047,0,0,7,0,0,135,0,0.3109
6051,0,2,4,0,0,124,511658,64800.0
6054,0,1,3,0,1,102,36958,7082.1
6059,0,0,3,0,0,120,41088,7697.6
6060,0,0,0,0,0,94,13517,392.3
6061,0,2,2,1,0,110,55279,6306.8
6073,0,0,3,0,0,115,76665,31900.0
6077,0,2,7,1,0,129,218729,53000.0
6078,0,1,2,0,0,98,19449,3041.0
6083,0,1,4,0,0,85,10113,881.2
6086,0,2,0,0,0,91,29669,52100.0
6091,0,0,2,0,0,93,5,1.1
6097,1,1,2,0,0,109,26752,4554.5
6104,1,1,3,1,0,143,7780,39400.0
6113,0,0,0,0,0,102,44009,382.0
6116,1,2,2,1,0,140,1,350.0
6127,0,0,2,0,0,90,185,5.9
6141,0,2,2,0,0,129,6023,74.7
6150,0,1,4,0,0,88,25561,1290.9
6152,0,2,7,0,0,104,25054,149.3
6158,0,1,0,0,0,100,3502,10000.0
6159,0,0,2,0,0,102,230,19.0
6162,0,1,0,0,0,122,323124,352299.99999999994
6164,0,0,7,0,0,88,1442,383.0
6168,0,0,4,0,0,95,2301,22.5
6171,1,0,2,0,0,117,104752,23500.0
6172,0,1,0,0,0,110,13853,803.2
6173,0,2,7,0,0,123,7139,2440.2
6183,0,0,2,0,0,117,13,3600.0
6190,0,2,4,0,0,122,81946,17300.0
6191,0,1,3,0,0,164,185124,34900.0
6201,1,0,9,0,0,124,33361,2286.1
6207,0,0,0,0,0,97,273,19.9
6208,0,2,2,0,1,132,45227,15900.0
6210,1,1,0,0,0,99,12475,100.9
6216,0,0,0,0,0,90,5176,386.7
6219,0,0,7,0,0,92,57353,1270.4
6222,0,0,2,0,0,106,451,781.0
6227,0,0,2,0,0,108,90,151.8
6235,0,0,2,0,0,90,845,36.4
6239,1,0,0,1,0,112,41757,14700.0
6251,0,0,0,0,0,97,26417,177.9
6268,0,2,4,0,1,122,89402,23500.0
6280,0,0,0,0,0,111,291597,21400.0
6281,0,0,2,0,0,119,9089,1370.1
6286,0,2,0,0,0,120,12283,1587.8
6297,0,2,4,0,0,98,46451,3927.5
6307,1,0,4,0,0,94,49611,2584.0
6308,0,0,0,0,0,105,551,46.0
6309,0,1,3,1,1,124,245645,28400.0
6311,0,0,3,1,0,138,54499,10000.0
6313,0,0,0,0,0,126,360,0.2022
6315,1,0,0,0,0,87,7877,7761.6
6316,0,0,2,0,0,115,7116,326.2
6318,0,2,7,0,0,112,137377,26000.0
6326,0,0,7,0,0,94,354,106.7
6327,0,2,0,0,0,91,3991,327.0
6328,0,0,2,0,0,90,100,0.5
6335,0,0,7,0,0,122,1752,4.3
6349,0,2,7,1,0,128,25330,1345.1
6370,0,0,6,0,0,81,40826,1509.0
6376,0,1,4,0,0,107,42093,19100.0
6381,1,1,2,0,0,128,4653,91.5
6386,1,0,3,1,0,89,12952,11000.000000000002
6387,0,0,7,1,0,106,26609,22799.999999999996
6389,0,0,0,0,0,76,2390,74.7
6392,0,2,4,0,0,86,1757,3.4
6393,1,0,0,1,0,101,45576,14800.0
6395,0,2,2,0,0,90,804,3.0
6407,0,2,0,0,1,124,5,21000.0
6413,1,2,3,0,1,123,85619,22200.000000000004
6415,0,0,0,0,0,85,17092,5370.1
6419,0,0,4,0,0,107,113423,4374.1
6420,0,0,0,1,0,95,159825,12500.0
6422,0,1,0,0,0,75,2617,618.8
6423,0,0,2,0,0,98,18,0.5834
6426,1,0,4,1,0,100,19648,1693.9
6434,0,1,2,0,0,98,273560,8563.9
6459,0,2,0,0,0,38,10093,189.1
6471,0,0,2,0,0,98,92066,3603.1
6474,0,1,0,0,0,95,67641,8149.8
6476,0,0,2,0,0,95,666,10.4
6479,1,1,3,1,0,124,104682,44600.0
6483,0,0,0,0,0,104,14546,146.1
6484,0,1,2,0,0,92,64211,4064.7
6488,0,0,2,0,0,93,37658,1545.9
6490,0,0,4,1,0,113,167499,29900.0
6491,0,1,0,0,1,136,60,64900.0
6492,0,0,4,0,0,92,13261,67.5
6494,0,2,2,0,0,91,332957,62700.0
6497,0,0,2,0,0,110,19607,5036.2
6498,0,0,0,1,0,80,9223,205.1
6510,0,0,0,0,0,71,36,3.3
6513,0,0,2,0,0,99,11545,107.5
6519,0,1,6,0,0,90,143821,1460.8
6523,1,0,3,0,0,126,11628,2325.7
6525,0,0,2,0,0,106,63662,10600.0
6530,0,0,4,0,0,92,3979,611.6
6535,1,0,9,1,1,151,61210,45599.99999999999
6553,1,0,3,1,0,142,1280573,139200.0
6561,0,1,2,1,0,111,12939,1564.6
6565,0,2,2,1,0,101,14,10500.0
6566,0,0,7,0,0,129,1872258,101199.99999999999
6587,0,2,0,0,0,95,4475,24700.000000000004
6591,1,0,4,1,0,90,34691,7422.7
6596,1,0,0,1,0,88,4519,1133.1
6603,0,2,4,0,0,120,207744,119800.0
6617,0,2,4,0,0,109,555717,262700.0
6621,0,2,2,0,0,87,221,0.6804
6622,0,0,2,0,0,98,14963,320.3
6628,1,0,3,0,0,138,69771,12300.0
6630,0,1,3,0,0,132,194088,50900.0
6632,0,0,3,0,0,101,83270,15700.0
6634,0,0,0,0,0,85,184768,1758.8
6636,0,1,2,0,0,89,2278,37.3
6650,1,0,5,0,1,146,12,12000.0
6651,0,2,7,0,0,118,44420,31300.0
6654,0,2,4,0,0,108,145534,16000.0
6655,1,1,3,1,0,130,78488,70700.0
6657,0,0,2,0,0,113,170997,20200.0
6660,0,1,4,0,0,97,88996,3741.5
6663,0,0,2,0,0,99,54258,5101.2
6664,0,0,2,0,0,100,50,67.6
6665,0,1,4,0,0,106,30,2534.0
6679,1,0,3,0,0,125,48694,28300.0
6682,0,0,2,0,0,120,24136,916.1
6683,0,0,2,0,0,100,33394,6781.3
6690,0,0,7,0,0,105,74297,1771.7
6691,0,2,7,0,0,101,23227,2374.0
6692,0,1,0,0,0,84,4,10.5
6695,0,0,0,0,0,85,2422,231.3
6715,0,0,0,0,0,136,56200,2651.2
6718,0,1,7,0,0,114,56474,26400.0
6720,0,1,4,0,0,139,561,118.3
6723,0,0,2,1,0,100,2438,376.7
6724,1,0,0,1,0,102,40195,2062.2
6730,1,0,4,1,0,101,2265,6388.8
6749,0,1,0,0,0,98,1268,252.8
6750,1,1,2,0,0,133,16047,3543.4
6754,1,0,4,0,0,96,6047,7508.7
6758,0,0,3,0,0,86,309,3.5
6759,0,2,4,1,0,95,3,17000.0
6760,0,0,2,0,0,109,3772,24800.0
6761,0,1,3,0,0,93,4414,796.9
6764,0,0,2,0,0,101,49,5.1
6766,1,0,0,1,0,97,53255,1614.0
6767,0,1,2,1,0,122,144007,3064.3
6769,0,1,0,0,0,127,183914,55500.0
6770,1,0,0,1,0,90,125226,4178.4
6787,0,1,0,0,0,85,11680,280.6
6789,0,0,2,0,0,108,5396,41.3
6801,0,0,2,0,0,96,43734,1792.8
6802,0,0,2,0,0,137,319663,159300.0
6804,0,0,0,1,0,105,110692,25499.999999999996
6812,1,2,3,1,0,107,131897,112500.0
6816,0,0,2,0,0,97,1576,6.0
6818,0,1,4,0,0,88,9057,116.5
6823,0,1,2,0,0,97,371,0.5556
6825,0,1,2,0,0,90,1056,148.3
6826,0,2,0,0,0,77,1352,524.1
6828,0,0,2,0,0,100,352,0.607
6830,0,1,2,0,0,90,1500,417.7
6840,0,0,2,0,0,97,4767,293.0
6842,0,1,3,0,0,97,591,0.038
6843,0,0,2,0,0,96,1813,27.5
6846,1,0,9,0,0,97,27656,1427.6
6847,1,2,2,0,0,100,48873,213.0
6848,1,0,2,1,0,118,1639,4693.0
6851,1,0,8,0,0,106,15333,17200.0
6855,0,1,4,0,0,90,2123,26.2
6856,1,1,4,1,0,90,250810,103699.99999999999
6862,1,0,4,0,0,90,8810,1207.8
6881,0,0,2,0,0,90,9000,63.0
6884,0,2,4,0,0,86,11538,638.1
6910,0,1,7,1,0,102,297453,13500.0
6931,1,0,7,1,0,113,386510,28800.0
