Source,Target,Type,Weight
毕业,一年,Undirected,10
毕业,每天,Undirected,11
毕业,工作,Undirected,27
毕业,人生,Undirected,11
毕业,生活,Undirected,13
毕业,不敢,Undirected,10
毕业,想要,Undirected,10
毕业,朋友,Undirected,13
毕业,担心,Undirected,10
毕业,结果,Undirected,10
毕业,不能,Undirected,17
毕业,能力,Undirected,10
毕业,不想,Undirected,11
毕业,比较,Undirected,12
毕业,办法,Undirected,10
毕业,有点,Undirected,12
毕业,工资,Undirected,10
毕业,经历,Undirected,13
毕业,父母,Undirected,12
毕业,老师,Undirected,10
别人,大学,Undirected,17
别人,觉得,Undirected,52
别人,失败,Undirected,17
别人,没有,Undirected,66
别人,家里,Undirected,18
别人,专业,Undirected,13
别人,无法,Undirected,22
别人,需要,Undirected,28
别人,学生,Undirected,11
别人,家庭,Undirected,19
别人,学校,Undirected,19
别人,压力,Undirected,27
别人,喜欢,Undirected,33
别人,最近,Undirected,17
别人,学习,Undirected,27
别人,问题,Undirected,37
别人,选择,Undirected,25
别人,改变,Undirected,22
别人,以后,Undirected,16
别人,环境,Undirected,20
别人,现在,Undirected,50
别人,一年,Undirected,16
别人,每天,Undirected,26
别人,抑郁,Undirected,15
别人,工作,Undirected,50
别人,人生,Undirected,23
别人,有时候,Undirected,19
别人,生活,Undirected,49
别人,状态,Undirected,25
别人,不敢,Undirected,27
别人,说话,Undirected,21
别人,紧张,Undirected,17
别人,想要,Undirected,23
别人,感到,Undirected,23
别人,考试,Undirected,11
别人,妈妈,Undirected,15
别人,晚上,Undirected,14
别人,睡觉,Undirected,14
别人,身体,Undirected,20
别人,朋友,Undirected,37
别人,不行,Undirected,12
别人,烦恼,Undirected,11
别人,困难,Undirected,14
别人,担心,Undirected,24
别人,压抑,Undirected,11
别人,情绪,Undirected,23
别人,结果,Undirected,26
别人,经常,Undirected,26
别人,总是,Undirected,28
别人,不能,Undirected,33
别人,准备,Undirected,12
别人,吃饭,Undirected,14
别人,领导,Undirected,16
别人,公司,Undirected,20
别人,回家,Undirected,15
别人,怎么办,Undirected,14
别人,能力,Undirected,26
别人,面对,Undirected,19
别人,未来,Undirected,20
别人,决定,Undirected,18
别人,失眠,Undirected,13
别人,不想,Undirected,34
别人,如何,Undirected,21
别人,比较,Undirected,25
别人,办法,Undirected,20
别人,地方,Undirected,15
别人,同事,Undirected,16
别人,有点,Undirected,16
别人,工资,Undirected,11
别人,内心,Undirected,15
别人,房子,Undirected,11
别人,长期,Undirected,10
别人,经历,Undirected,24
别人,上班,Undirected,12
别人,在家,Undirected,13
别人,父母,Undirected,17
别人,老师,Undirected,17
别人,爸爸,Undirected,10
别人,严重,Undirected,18
别人,解决,Undirected,17
别人,关系,Undirected,15
别人,害怕,Undirected,25
别人,失去,Undirected,17
别人,心情,Undirected,11
别人,影响,Undirected,20
别人,表现,Undirected,14
别人,今年,Undirected,11
大学,觉得,Undirected,20
大学,没有,Undirected,33
大学,家里,Undirected,14
大学,专业,Undirected,11
大学,需要,Undirected,14
大学,学生,Undirected,13
大学,学校,Undirected,16
大学,压力,Undirected,15
大学,喜欢,Undirected,18
大学,学习,Undirected,16
大学,问题,Undirected,20
大学,选择,Undirected,16
大学,改变,Undirected,10
大学,环境,Undirected,14
大学,现在,Undirected,27
大学,一年,Undirected,10
大学,每天,Undirected,12
大学,工作,Undirected,24
大学,生活,Undirected,16
大学,状态,Undirected,10
大学,想要,Undirected,12
大学,考试,Undirected,10
