时间,博主,内容,点赞,转发,评论,分词
"
                        2022年06月26日 10:20
                        ",观玉,"
 至今吃的最贵的还是钟薛高和沈阳故宫，剩下的随便拿 ",1, , 1,最贵 钟薛高 沈阳 故宫 剩下 随便
"
                        2022年06月26日 10:13
                        ",恋芽学姐,"
 能不能合理控制一下价格啊 有一次跳完舞 我寻思着去超市买个雪糕解热 我跳过了钟薛高 跳过了梦龙 跳过了哈根达斯 我在角落里挑了一个特别不起眼的杨梅味得雪糕 好家伙结果 一结账 12块 逗我玩呢 关键还不好吃啊 就像那个稀释了的杨梅汁冻出来的味道一样啊 ​ ",赞, , 评论,控制 价格 完舞 寻思 着去 超市 雪糕 解热 钟薛高 哈根达斯 角落里 特别 不起眼 杨梅 雪糕 好家伙 结账 逗我 关键 好吃 稀释 杨梅汁 味道
"
                        2022年06月26日 09:59
                        ",琳夏尹势度,"
 笑死我了哈雪糕刺客/ :钟薛高 ",赞, , 评论,雪糕 刺客 钟薛高
"
                        2022年06月26日 09:57
                        ",和我听橘子海,"
 《贵 钟薛高》 ​ ",赞, , 1,钟薛高
"
                        2022年06月26日 09:55
                        ",绛紫酱锵锵,"
 钟薛高+梅酒。搭配可以换成威士忌🥃，夏日奇遇：冰与火之歌 人生就是一分甜 二分冷静 三分摩金徽 四分酩酊佯狂 ​ ",赞, , 1,钟薛高 梅酒 搭配 换成 威士忌 夏日 奇遇 人生 一分 二分 冷静 三分 摩金徽 四分 酩酊 佯狂
"
                        2022年06月26日 09:05
                        ",第五空间飞狼,"
 啦，又抓娃了，什么时候我才能戒掉这个，太贵了，真浪费钱，但是真的好玩呀！抓起来的一瞬间好爽，啊… 贵族冰糕（钟薛高）真好吃，回味无穷，好浓郁的感觉 在厕所旁边吃火锅，真是别有一番滋味呀！ ​ ",1, , 评论,戒掉 太贵 浪费 真的 好玩 一瞬间 好爽 贵族 冰糕 钟薛高 好吃 回味无穷 浓郁 感觉 厕所 旁边 吃火锅 一番滋味
"
                        2022年06月26日 08:23
                        ",盐桔哇哈哈,"
 昨天我还拦住了一个☝️穿校服的小女孩拿钟薛高 听到钟薛高17块钱一个 她向我投来了崇敬的目光 我拂袖而去，深藏功与名 ​ ",154, , 6,昨天 拦住 校服 小女孩 钟薛高 听到 钟薛高 块钱 投来 崇敬 目光 拂袖而去 深藏
"
                        2022年06月26日 07:44
                        ",卜卜绝不吃零食,"
 哈操/ :自己的通缉令/ :这个 / :钟薛高 ",赞, , 评论,哈操 通缉令 钟薛高
"
                        2022年06月26日 07:40
                        ",爱不爱画画呀,"
 钟薛高，难吃的要死 ",2, , 评论,钟薛高 难吃 要死
"
                        2022年06月26日 03:32
                        ",Jovial_TVXQ,"
 哈评论笑死/ :这个 / :钟薛高 ",赞, , 评论,评论 钟薛高
"
                        2022年06月26日 03:29
                        ",Jovial_TVXQ,"
 ？/ :这个 / :钟薛高 ",赞, , 评论,钟薛高
"
                        2022年06月26日 02:45
                        ",肉脸蛋子爱好者-,"
 哈/ :自己的通缉令/ :这个 / :钟薛高 ",赞, , 评论,通缉令 钟薛高
"
                        2022年06月26日 02:32
                        ",欧泡噗子,"
 / :掉个大彩电出来！/ : 这个 / :钟薛高 ",赞, , 评论,彩电 钟薛高
"
                        2022年06月26日 01:57
                        ",报警抓我现在立刻马上,"
 钟薛高 雪糕刺客能不能学着点 钱包堪忧啊 ​ ",赞, , 评论,钟薛高 雪糕 刺客 学着点 钱包 堪忧
"
                        2022年06月26日 01:41
                        ",澹下序,"
 钟薛高 谁请我吃钟薛高 ​ ",1, , 评论,钟薛高 钟薛高
"
                        2022年06月26日 01:28
                        ",无风无雪有月,"
 钟薛高今年这么出圈我才知道有点贵 我姐都是买一箱放在家的，去年夏天我去一次炫一根 姐，对不起🙊 ​ ",赞, , 6,钟薛高 出圈 一箱 放在 去年 夏天 一根 对不起
"
                        2022年06月26日 01:08
                        ",俄罗斯田园猫换新号了,"
 掉个大彩电出来！/ : 这个 / :钟薛高 ",24, , 评论,彩电 钟薛高
"
                        2022年06月26日 00:42
                        ",东霸丫,"
 一块自不量力的小冰块居然想要跟“钟薛高”比？ ​ ",赞, , 评论,一块 自不量力 冰块 想要 钟薛高
"
                        2022年06月26日 00:34
                        ",一碗奶茶芝士南瓜粥,"
 我之前觉得三四块钱的“随便”有点贵！八块钱一小盒的“八喜”好贵，自从我遇见了“钟薛高”！他说它就那个价格你爱要不要 ❗现在你告诉我东北的雪糕便宜得按框买！这叫我情何以堪啊… ​ ",1, , 评论,三四 块钱 随便 八块钱 一小 八喜 遇见 钟薛高 价格 告诉 东北 雪糕 便宜 框买 何以堪
"
                        2022年06月26日 00:27
                        ",咖喱__Lee,"
 哈这个梗过不去了/ :钟薛高 ",赞, , 评论,过不去 钟薛高
"
                        2022年06月26日 00:27
                        ",糯米是只小花喵,"
 哈/ :这个 / :钟薛高 ",1, , 评论,钟薛高
"
                        2022年06月26日 00:25
                        ",飞吧肥肥沉迷工作,"
 今天去冻品店买冰淇淋，我选了好几个冰淇淋，结算：36元。某人选了他爱的钟薛高（白眼.）。结账的时候问多少钱，老板刷到钟薛高的时候笑着说“你这两抵她那一袋（我选的那袋）”说归说笑归笑，老板一点没停下他算钱的手 ​ ",1, , 评论,冻品 冰淇淋 好几个 冰淇淋 结算 人选 钟薛高 白眼 结账 多少钱 老板 刷到 钟薛高 两抵 一袋 老板 一点 停下 算钱
"
                        2022年06月26日 00:05
                        ",我是一只醋鱼,"
 哈刺杀/ :钟薛高 ",赞, , 评论,刺杀 钟薛高
"
                        2022年06月26日 00:03
                        ",少年听雨歌楼上1678,"
 东北雪糕好吃不贵！真实惠！ 鳄鱼头、糯米糍、方糕都是我的最爱，谁能想到回到南方连雪糕都吃不起，只要自己不认识的牌子，随便都是10元起步… 尤其是网红雪糕“钟薛高”，又贵还用料差，虚假营销被中消协点名。 请超过一块钱的雪糕滚出中国！ ​ ",1, , 评论,东北 雪糕 好吃 实惠 鳄鱼 糯米 方糕 最爱 想到 回到 南方 雪糕 吃不起 牌子 随便 起步 雪糕 钟薛高 用料 虚假 营销 中消协 点名 超过 一块钱 雪糕 滚出 中国
"
                        2022年06月25日 23:59
                        ",掉了马甲的了了_,"
 关于一些好吃的 ①沪小胖：龙虾确实不错 贵了 ②顺丰来的宝贝杨梅 听说一盒价值八十 ③嘉善路永嘉路口的熟食铺，每次经过都排队，味道确实不错（买了荤的杂拌菜让老板跟凉皮拌在一起，美滋，就是他每次都忘记我说过不要花生米（老板还卖看着很有食欲的大白馒头 ④钟薛高：口味和包装一样高贵 谢师 ​ ",9, , 4,好吃 小胖 龙虾 确实 不错 顺丰 来的 宝贝 杨梅 听说 一盒 价值 八十 嘉善 永嘉 路口 熟食 每次 排队 味道 确实 不错 杂拌 老板 凉皮 美滋 每次 忘记 花生米 老板 看着 食欲 白馒头 钟薛高 口味 包装 高贵 谢师
"
                        2022年06月25日 23:51
                        ",妖妖幺陆柒,"
 不是最贵的 但却是性价比最低 最亏的 钟薛高 价不配味 又贵又难吃 第一次吃那个丝绒可口感跟梦龙比简直一个天一个地还比人贵一倍 甚至还没四块五的五羊甜筒巧克力味香 吃完直接拉肚子 我有这钱我都能炫一根梦龙加一根明治了 我当初就是冤大头才想着去试火爆全网的雪糕 他到底是怎么火起来的… ",赞, , 4,最贵 却是 性价比 最低 最亏 钟薛高 不配 难吃 第一次 丝绒 口感 梦龙 一个天 一倍 四块 五羊 甜筒 巧克力 味香 拉肚子 一根 梦龙 一根 明治 当初 冤大头 想着 火爆 全网 雪糕
"
                        2022年06月25日 23:34
                        ",布鲁斯好听吗,"
 哇 想要这个包/ :这个 / :钟薛高 ",1, , 评论,想要 钟薛高
"
                        2022年06月25日 23:31
                        ",不吹雪了,"
 我很需要这个/ :这个 / :钟薛高 ",赞, , 评论,钟薛高
"
                        2022年06月25日 23:31
                        ",抓雨森,"
 五爱社区也有 啦❗ 一应俱全 小伙伴们快来 ​ ",4, , 评论,社区 一应俱全 小伙伴 快来
"
                        2022年06月25日 23:29
                        ",gzz你工人爷爷来了,"
 好！/ :这个 / :钟薛高 ",赞, , 1,钟薛高
"
                        2022年06月25日 23:21
                        ",一个谁也不知道看不懂的记录号,"
 老李的冰箱啥条件，一打开都是钟薛高，俺怀孕的时候在南京18一只，俺都舍不得吃，哈 ​ ",1, , 1,老李 冰箱 条件 打开 钟薛高 怀孕 南京 一只 舍不得
"
                        2022年06月25日 23:20
                        ",要内啡肽不要多巴胺-曦,"
 也就宏宝莱和德氏稍便宜点，连中街大果都涨价到2元了，更别说什么绮炫、钟薛高，该贵还是贵。 ",赞, , 评论,宝莱 和德氏 便宜 中街 大果 涨价 绮炫 钟薛高
"
                        2022年06月25日 23:12
                        ",鹿bia唧,"
 / :给你点了/ :钟薛高 ",赞, , 评论,钟薛高
"
                        2022年06月27日 22:37
                        ",周子舒的小桌子,"
 夏日第一根钟薛高 ​ ",赞, , 评论,夏日 第一根 钟薛高
"
                        2022年06月27日 22:11
                        ",用户5829269801,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 如果事情无法改变，那就改变自己；如果无法说服他人，那就想法说服自己。如果山过不来，那人就过去！ ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 事情 改变 改变 说服 想法 说服 过不来 那人
"
                        2022年06月27日 22:03
                        ",胖猫剧综,"
 钟薛高~叠高~钟薛高可太会了，拥有全家福系列仿佛拥有了整个夏天，一次让我得到大的满足~ ​ ",1, , 评论,钟薛高 叠高 钟薛高 拥有 全家福 系列 仿佛 拥有 夏天
"
                        2022年06月27日 21:55
                        ",阳光玫瑰和无籽红提哪个更甜呢,"
 钟薛高，给我永久去世 牛油果芒果，芒果没之前甜 ​ ",3, , 3,钟薛高 永久 去世 牛油果 芒果 芒果
"
                        2022年06月27日 21:44
                        ",两杯西柚,"
 我的第一支钟薛高 是草莓🍓白巧的 17块 还是现在大家太有钱了，吃个雪糕都要这么贵 本来今天心情很差，现在终于变好了，开心😁 不过我还是很躁，静不下心来 今天吃了好多冰棒，要长胖，不知道会不会拉肚 ​ ",赞, , 1,第一支 钟薛高 草莓 白巧 太有钱 雪糕 本来 心情 终于 变好 开心 很躁 心来 好多 冰棒 长胖 拉肚
"
                        2022年06月27日 21:33
                        ",吟游诗人XOne,"
 钟薛高，除了贵还报吃 ​ ",赞, , 评论,钟薛高 报吃
"
                        2022年06月27日 21:32
                        ",骆好好先森,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 在选择前，有一张真诚坚定的脸；在选择后，有一颗绝不改变的心。 ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 选择 一张 真诚 坚定 选择 一颗 改变
"
                        2022年06月27日 21:25
                        ",小河入戏水,"
 钟薛高的服务我愿称之为雪糕届海底捞，没想到吃个雪糕还有这么齐全的售后！爱了 ​ ",赞, , 评论,钟薛高 服务 称之为 雪糕 海底 没想到 雪糕 齐全 售后
"
                        2022年06月27日 21:23
                        ",用户6443942814,"
 今天到了桔子洲，回家的途中看到冰柜摊位，哇，此刻好想吃冰淇淋呵。 选了一款包装好看的，摊主告诉我这款冰淇淋二十元一支，我说，好吧就拿它。 还好，没踩雷，味道是我吃过最好的一种。吃着想要不要再来一支，实在是味道太好了～ 这款冰淇淋原来是在电梯里看到的“钟薛高” 呵！ ​ ",赞, , 评论,桔子 回家 途中 冰柜 摊位 此刻 冰淇淋 一款 包装 好看 摊主 告诉 这款 冰淇淋 二十元 一支 还好 味道 一种 想要 一支 实在 味道 太好了 冰淇淋 电梯 钟薛高
"
                        2022年06月27日 21:22
                        ",手机用户3036165623,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 很伟大的生活里，有一颗风雨无阻的心，有一份执着坚决的果敢，年老的生命里有道很绚烂的彩虹，也有不曾忘怀的伤 ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 生活 一颗 一份 执着 果敢 年老 生命 绚烂 彩虹 忘怀
"
                        2022年06月27日 21:20
                        ",善思外,"
 钟薛高这个牌子的服务没的说，我之前带宝去他们快闪店，他们工作人员还给宝配了专门的宝座椅 ​ ",赞, , 评论,钟薛高 牌子 服务 没的说 闪店 工作人员 还给 座椅
"
                        2022年06月27日 21:18
                        ",我就是女王a,"
 / :喝到眷茶了！没想到钟薛高在本土卖的这么便宜，明天美拿下，胖东来不知道是什么东西，明天也可能可以拿下！/ :讲真，饮食、游玩两大项目，河南绝对是中国最被低估的省份。我近些年吃过最鲜嫩的鱼，最冰甜的西瓜，都是在开封。荆芥茶饮也是河南独一家，风味很别致，就 ",赞, , 评论,喝到 眷茶 没想到 钟薛高 本土 便宜 明天 拿下 东来 东西 明天 拿下 饮食 游玩 项目 河南 中国 低估 省份 近些年 鲜嫩 最冰甜的 西瓜 开封 荆芥 茶饮 河南 一家 风味 别致
"
                        2022年06月27日 20:57
                        ",载纳语,"
 看到这位老师给学生买的是钟薛高！他们家的客服很温柔，前阵子我买了一箱送朋友，还帮我写了个小卡片，真挺贴心的 ​ ",赞, , 评论,这位 老师 学生 钟薛高 客服 温柔 阵子 一箱 朋友 卡片 真挺 贴心
"
                        2022年06月27日 20:53
                        ",半睡半醒半睡,"
 夏日的第一根钟薛高，喜欢这股红茶味，清新爽口，回味无穷 能给我寄一箱吗 ​ ",赞, , 评论,夏日 第一根 钟薛高 喜欢 红茶 清新 爽口 回味无穷 一箱
"
                        2022年06月27日 20:52
                        ",陈佳楠阿,"
 三天测评了 三个比较期待的口味，总结来说上面的冰化了以后比较好吃，下面的奶绝子 总的来说有点一般 ​ ",3, , 3,三天 测评 三个 期待 口味 冰化 好吃 绝子
"
                        2022年06月27日 20:50
                        ",今年一定要去北方滑雪,"
 薛高忠实粉丝就是我 ​ ",赞, , 评论,薛高 忠实 粉丝
"
                        2022年06月27日 20:36
                        ",电商品牌报,"
 钟薛高也推出过6元的冰淇淋，官方曾宣布成本40元。茅台冰淇淋有两个口味售价同样是6元，我们估算成本应该不超过10元。 这样对比看还蛮有意思的，新消费和「」的距离还有很长的路要走。 ​ ",赞, , 评论,钟薛高 推出 冰淇淋 官方 成本 茅台 冰淇淋 两个 口味 售价 估算 成本 超过 蛮有意思 消费 距离
"
                        2022年06月27日 20:35
                        ",Pawaiii,"
 这个夏天，实现了钟薛高自由，夏日的乐趣又多了一点 ​ ",赞, , 评论,夏天 钟薛高 自由 夏日 乐趣 一点
"
                        2022年06月27日 20:34
                        ",鸿小狸YY,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 每天改变一点，时间久了，就成了好习惯。每天进步一点，时间久了，就是一种成功 ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 改变 一点 时间 习惯 一点 时间 一种 成功
"
                        2022年06月27日 20:25
                        ",良大赵,"
 今天中午刚吃的钟薛高 12 ",赞, , 1,中午 钟薛高
"
                        2022年06月27日 20:23
                        ",Cannidy_W,"
 钟薛高这两个味道不太行 芭乐部分还算清爽 但是和椰子不太搭 咖啡味的有点太苦了 还是玫瑰和巧克力的好吃！ ​ ",赞, , 评论,钟薛高 两个 味道 太行 芭乐 清爽 椰子 咖啡 太苦 玫瑰 巧克力 好吃
"
                        2022年06月27日 20:23
                        ",之之谦谦,"
 以为钟薛高是薛开的 ​ ",赞, , 评论,钟薛高 薛开
"
                        2022年06月27日 20:21
                        ",自言自语的茫茫,"
 钟薛高这个红茶芝士口味好吃的，我更喜欢上面的红茶，一点微的苦加上奶味醇香，可以不要下面这个白色的吗 ​ ",赞, , 评论,钟薛高 红茶 芝士 口味 好吃 喜欢 红茶 一点 奶味 醇香 白色
"
                        2022年06月27日 20:13
                        ",香香小熊仔,"
 钟薛高？我家小区没有卖的诶，还挺好奇的 ​ ",4, , 29,钟薛高 我家 小区 好奇
"
                        2022年06月27日 20:02
                        ",种草小蛋,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 在工作中从完善到创新，是证明自我的价值，是自我进步的过程，是说明自我有信心，有潜质迎接挑战的勇气。 ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 在工作中 完善 创新 证明 自我 价值 自我 过程 自我 信心 潜质 迎接挑战 勇气
"
                        2022年06月27日 20:00
                        ",adoubuchixiangcai,"
 肚子胖，生活旺 ​ ",赞, , 评论,肚子 生活
"
                        2022年06月27日 19:59
                        ",adoubuchixiangcai,"
 美味长相叙 ​ ",赞, , 1,美味 长相
"
                        2022年06月27日 19:57
                        ",一条海鲈鱼62456858,"
 丝绒可味道很好吃～ 搞不懂国外哈根达斯也好几十块，为什么这么好吃的国产品牌就会招人喷？ 我觉得钟薛高这个口味儿值这个价格。毕竟一杯奶茶现在都要30多了～ ​ ",赞, , 评论,丝绒 味道 好吃 搞不懂 国外 哈根达斯 好几十块 好吃 国产品牌 招人 钟薛高 口味 儿值 价格 一杯 奶茶
"
                        2022年06月27日 19:41
                        ",脏仔,"
 猎人一般往会以猎物的身份出现。 —钟薛高 ​ ",4, , 3,猎人 猎物 身份 钟薛高
"
                        2022年06月27日 19:39
                        ",小马优选-微信号396699089群接龙,"
 钟薛高 吃了就忘不了 不是价格 而是品质 125元12支哦！真香 ​ ",1, , 2,钟薛高 忘不了 价格 品质 真香
"
                        2022年06月27日 19:35
                        ",爱看剧的小王童稚,"
 这也能叫雪糕刺客？ ​ ",2, , 2,雪糕 刺客
"
                        2022年06月27日 19:15
                        ",叶萌啦啦,"
 钟薛高 我的最爱 夏天必备 不允许你们没有吃过他 ",赞, , 评论,钟薛高 最爱 夏天 必备
"
                        2022年06月27日 19:03
                        ",根本难不倒他--,"
 钟薛高，没觉得很好吃耶 ​ ",赞, , 1,钟薛高 好吃
"
                        2022年06月27日 19:01
                        ",关酱miraitowa_,"
 钟薛高这么贵迈，我家这边蛮便宜，不过真的好吃😋 ",赞, , 评论,钟薛高 贵迈 我家 便宜 真的 好吃
"
                        2022年06月27日 18:59
                        ",桃子也要打工,"
 你说的啊，你得负责，借你吉言[成人礼] ​ ",赞, , 1,负责 吉言 成人礼
"
                        2022年06月27日 18:50
                        ",小陈好吧,"
 巧克力雪糕是巧克力雪糕 钟薛高是钟薛高（浅👅） ​ ",赞, , 评论,巧克力 雪糕 巧克力 雪糕 钟薛高 钟薛高
"
                        2022年06月27日 18:47
                        ",豆腐皮不放豆芽,"
 笑死/ :这个 / :钟薛高 ",赞, , 评论,钟薛高
"
                        2022年06月27日 18:27
                        ",Lily-M-Slytherin,"
 一边骂女性一边赚女性的钱。同理还有钟薛高。 ",1, , 4,女性 女性 同理 钟薛高
"
                        2022年06月27日 18:27
                        ",--gao---,"
 没想到这个夏天高温的天气，总算实现了雪糕自由 ​ ",赞, , 1,没想到 夏天 高温 天气 总算 雪糕 自由
"
                        2022年06月27日 18:07
                        ",柔情似水似小乔,"
 小伙子年纪轻就爱吃 ​ ",赞, , 评论,小伙子 年纪
"
                        2022年06月27日 17:24
                        ",GodotBen,"
 618买的钟薛高终于收到货了，都是季节限定的口味，杨梅奶冰、杏子奶冰、开心果柚子冰，最喜欢的是开心果柚子冰啦，柚子味儿超级浓好清爽。 ​ ",331, , 271,钟薛高 终于 收到 季节 限定 口味 杨梅 奶冰 杏子 奶冰 开心果 柚子 喜欢 开心果 柚子 柚子 味儿 超级 浓好 清爽
"
                        2022年06月27日 17:17
                        ",Ari_Y,"
 钟薛高，其实会融化的啦 ​ ",赞, , 评论,钟薛高 融化
"
                        2022年06月27日 17:17
                        ",平淡无奇5521,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 应对失败和波折，一笑而过是一种悲观自信，然后重振旗鼓，这是一种勇气心。应对曲解和仇恨，一笑而过是一种安然宽容，然后继续本性，这是一种达观心。 ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 应对 失败 波折 一笑而过 一种 悲观 自信 重振旗鼓 一种 勇气 应对 曲解 仇恨 一笑而过 一种 安然 宽容 本性 一种 达观
"
                        2022年06月27日 17:05
                        ",Zaishang默然,"
 钟薛高—丝绒可雪糕 18/支 ",赞, , 评论,钟薛高 丝绒 雪糕
"
                        2022年06月27日 17:04
                        ",小豆子推荐,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 在希望与失望的决斗中，如果你用勇气与坚决的双手紧握着，胜利必属于希望。 ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 希望 失望 决斗 勇气 双手 紧握着 胜利 希望
"
                        2022年06月27日 17:00
                        ",画一个美丽图,"
 雪糕刺客真的很让我受伤呜，原来钟薛高也有平替，学会了，以后绝对不会吃大亏了 ​ ",赞, , 评论,雪糕 刺客 真的 受伤 钟薛高 平替 学会 吃大亏
"
                        2022年06月27日 16:40
                        ",zzzz呼噜噜,"
 狗子给的惊喜，先从海盐味吃起 ​ ",赞, , 1,狗子 惊喜 海盐
"
                        2022年06月27日 16:33
                        ",鸿小狸YY,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 梦想面前做好自信的自己，自信可以改变未来。每一朵花都有开放的理由，你要始终坚信 ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 梦想 面前 做好 自信 自信 改变 未来 每一朵 花都 开放 理由 始终 坚信
"
                        2022年06月27日 16:32
                        ",丫头宠儿_,"
 钟薛高为什么这么火？说真的，挺普通啊～ ​ ",赞, , 1,钟薛高 说真的
"
                        2022年06月27日 16:27
                        ",安小珀222,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 怀揣理想，驾驶理想之车，向人生高峰攀登，在高峰之上是“会当凌绝顶，一览众山小”的豪情。有理想者，成大事也！ ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 怀揣 理想 驾驶 理想 之车 人生 高峰 攀登 高峰 之上 凌绝顶 一览 众山 豪情 理想
"
                        2022年06月27日 16:22
                        ",斯坦从不熬夜,"
 钟薛高这个米酒玫雪糕竟然不难吃！ ​ ",4, , 8,钟薛高 米酒 雪糕 不难
"
                        2022年06月27日 15:35
                        ",·一只敢敢·,"
 评论笑死/ :掉个大彩电出来！/ : 这个 / :钟薛高 ",赞, , 评论,评论 彩电 钟薛高
"
                        2022年06月27日 15:21
                        ",阵雨剧情,"
 钟薛高代言人都拿不下你？ ",赞, , 1,钟薛高 代言人
"
                        2022年06月27日 15:20
                        ",做我永远的常青树,"
 我叫钟薛高 冰柜刺客 这次的目标是:买雪糕不看牌子的冤种 ​ ",1, , 4,钟薛高 冰柜 刺客 目标 雪糕 牌子 冤种
"
                        2022年06月27日 14:57
                        ",转了几个音,"
 作为一个重度爱椰人士 钟薛高这款我是真的吃不咋来 的椰子水也是 太甜了 堪比糖水 不推荐 还是全家那个可满分好喝 白色包装那款 ​ ",赞, , 评论,重度 爱椰 人士 钟薛高 这款 真的 咋来 椰子 堪比 糖水 推荐 全家 满分 好喝 白色 包装 那款
"
                        2022年06月27日 14:48
                        ",自律智勇白富美,"
 智商糕也太好恰了 减糖和高蛋白的 当饭吃！ ​ ",赞, , 评论,智商 减糖 高蛋白
"
                        2022年06月27日 14:36
                        ",钱多多营养师,"
 我一般都是直接咬 今天北京太闷热了，刚吃完一根 偶尔吃一次行，别贪吃。 今日冰棍份，你安排了吗？ ​ ",2, , 5,北京 闷热 一根 贪吃 今日 冰棍 安排
"
                        2022年06月27日 14:25
                        ",汤马西怎么了,"
 部门领导觉得应该给我们底层员工一点甜头，免得违背了大领导忆苦思甜的主题，遂让我去买一些雪糕给大伙儿，在楼下小卖部没有找到钟薛高之流，就勉强选择了巧乐滋，让我这个很久不再爱吃雪糕的人又体会了一把小时候去冷饮批发部的快乐，路上哼着狂浪，同时想着为啥钟薛高们可以卖这么贵，而巧乐兹十几年 ​ ",1, , 6,部门 领导 底层 员工 一点 甜头 免得 违背 领导 忆苦思甜 主题 雪糕 大伙儿 楼下 小卖部 找到 钟薛高 之流 勉强 选择 巧乐 雪糕 体会 一把 小时候 冷饮 批发部 快乐 路上 狂浪 想着 为啥 钟薛高 巧乐兹 十几年
"
                        2022年06月27日 14:19
                        ",有故事的黄班长,"
 钟薛高这颜色也太适合夏天了吧，搭配我的美甲，简直神了！除了贵了点，没有任何毛病 ​ ",1336, , 272,钟薛高 颜色 适合 夏天 搭配 美甲 毛病
"
                        2022年06月27日 14:11
                        ",ban度,"
 钟薛高！果然是别人家的老师。我要把视频发给我的班主任看！ ",赞, , 评论,钟薛高 老师 视频 发给 班主任
"
                        2022年06月27日 14:11
                        ",词栀夭夭,"
 钟薛高用事实告诉我们， 雪糕市场的韭菜是真好割，茅台也来掺一脚 ​ ",1, , 3,钟薛高 事实 告诉 雪糕 市场 韭菜 真好 茅台 一脚
"
                        2022年06月27日 13:54
                        ",起名废就是本人,"
 贵有贵的道理，便宜的雪糕吃着没感觉，贵的就不一样，吃起来有种上当的感觉。 —来自第一次吃薛钟高，不对是钟薛高，的我。 ​ ",2, , 评论,有贵 道理 便宜 雪糕 感觉 有种 上当 感觉 第一次 薛钟高 钟薛高
"
                        2022年06月27日 13:37
                        ",元宝的宝贝,"
 第一个冰箱贴~ 吃这么久钟薛高终于开窍了 努力集齐… ​ ",赞, , 1,第一个 冰箱 这么久 钟薛高 终于 开窍 努力 集齐
"
                        2022年06月27日 13:01
                        ",阿天吖_,"
 整挺好👌🏻 ​ ",1, , 3,整挺好
"
                        2022年06月27日 12:45
                        ",你的脸像皮球,"
 钟薛高为啥那么贵？ 我带着这个疑问去找答案 有一个答案笑死我 写的是“因为它解暑能力强 你还没吃到口心就凉了半截” 哈 ​ ",赞, , 1,钟薛高 为啥 疑问 答案 答案 解暑 能力 口心 凉了半截
"
                        2022年06月27日 12:45
                        ",用户6679356360,"
 钟薛高，吃过的人请说一下好不好吃。 ​ ",1, , 1,钟薛高 好不好
"
                        2022年06月27日 12:24
                        ",奏耐美食,"
 钟薛高一个都不能少多口味系列5种口味10片雪糕牛奶巧克力冰淇淋 【在售价】154 元 【券后价】18元 - 【立即领券】点击链接即可领券购买： 【立即下单】点击链接立即下单： ​ ",赞, , 1,钟薛高 少多 口味 系列 口味 雪糕 牛奶 巧克力 冰淇淋 售价 券后 领券 点击 链接 即可 领券 购买 下单 点击 链接 下单
"
                        2022年06月27日 12:02
                        ",SMILE老申家的书童,"
 护驾！ ​ ",1, , 5,护驾
