内容,主题概率,主题类型
质量 特别 起球,"[(0, 0.019231103), (1, 0.019231103), (2, 0.019231101), (3, 0.019231424), (4, 0.019231373), (5, 0.76922476), (6, 0.019231305), (7, 0.019231379), (8, 0.019231327), (9, 0.019231148), (10, 0.019231223), (11, 0.019231161), (12, 0.019231586)]",5
不换 退款,"[(0, 0.025641674), (1, 0.025641674), (2, 0.025641674), (3, 0.025641674), (4, 0.025641674), (5, 0.025641674), (6, 0.025641674), (7, 0.025641674), (8, 0.025641674), (9, 0.025641793), (10, 0.6922996), (11, 0.025641778), (12, 0.025641762)]",10
卫衣 发条 裤子 差差,"[(0, 0.015385565), (1, 0.015385293), (2, 0.015385395), (3, 0.015385293), (4, 0.015385547), (5, 0.015385452), (6, 0.015385628), (7, 0.015385385), (8, 0.81537485), (9, 0.015385397), (10, 0.015385293), (11, 0.015385293), (12, 0.015385598)]",8
做工 粗糙 质量 较差 尺码,"[(0, 0.0128206955), (1, 0.012820697), (2, 0.012820703), (3, 0.012820803), (4, 0.012820716), (5, 0.012820766), (6, 0.01282078), (7, 0.84615123), (8, 0.01282072), (9, 0.012820736), (10, 0.012820718), (11, 0.012820698), (12, 0.012820751)]",7
衣服 二个 线头 一截,"[(0, 0.015385081), (1, 0.0153852925), (2, 0.015385443), (3, 0.015385024), (4, 0.015385036), (5, 0.01538533), (6, 0.81537795), (7, 0.015385079), (8, 0.015385096), (9, 0.015385104), (10, 0.015385084), (11, 0.015385215), (12, 0.015385285)]",6
翻新 产品 指定 广东 生产 衣服,"[(0, 0.010989282), (1, 0.86812836), (2, 0.010989307), (3, 0.010989376), (4, 0.0109893065), (5, 0.010989327), (6, 0.01098929), (7, 0.010989291), (8, 0.0109892925), (9, 0.010989294), (10, 0.010989305), (11, 0.010989288), (12, 0.010989326)]",1
纤维,"[(0, 0.03846217), (1, 0.03846217), (2, 0.03846217), (3, 0.03846217), (4, 0.03846217), (5, 0.03846217), (6, 0.03846217), (7, 0.03846217), (8, 0.03846217), (9, 0.03846217), (10, 0.53845394), (11, 0.03846217), (12, 0.03846217)]",10
半月 两处,"[(0, 0.025642205), (1, 0.025642205), (2, 0.025642205), (3, 0.025642205), (4, 0.025642205), (5, 0.025642205), (6, 0.025642205), (7, 0.025642205), (8, 0.6922936), (9, 0.025642205), (10, 0.025642205), (11, 0.025642205), (12, 0.025642205)]",8
字母,"[(0, 0.038463335), (1, 0.038463335), (2, 0.038463335), (3, 0.038463335), (4, 0.038463335), (5, 0.038463335), (6, 0.038463335), (7, 0.038463335), (8, 0.038463335), (9, 0.038463335), (10, 0.038463335), (11, 0.5384391), (12, 0.038464263)]",11
衣服 第一次 一身 染得 衣服 颜色,"[(0, 0.010989502), (1, 0.0109893875), (2, 0.010989389), (3, 0.010989419), (4, 0.010989322), (5, 0.010989441), (6, 0.010989332), (7, 0.010989333), (8, 0.010989337), (9, 0.010989339), (10, 0.01098946), (11, 0.010989485), (12, 0.8681273)]",12
起球,"[(0, 0.03846192), (1, 0.038461916), (2, 0.038462147), (3, 0.03846239), (4, 0.5384546), (5, 0.038462844), (6, 0.038461756), (7, 0.0384618), (8, 0.038462445), (9, 0.038461912), (10, 0.038462147), (11, 0.038461756), (12, 0.038462397)]",4
衣服 两次 起球,"[(0, 0.019230962), (1, 0.01923108), (2, 0.019231107), (3, 0.019231029), (4, 0.019231144), (5, 0.76922756), (6, 0.01923097), (7, 0.019230977), (8, 0.019231064), (9, 0.019231), (10, 0.019231021), (11, 0.019230962), (12, 0.019231137)]",5
舒适 做工 不行,"[(0, 0.019231673), (1, 0.01923152), (2, 0.019231679), (3, 0.019232022), (4, 0.019231834), (5, 0.019231742), (6, 0.31052607), (7, 0.4779247), (8, 0.019232072), (9, 0.019231826), (10, 0.019231547), (11, 0.01923158), (12, 0.019231722)]",7
不好 气球 没说的,"[(0, 0.7692248), (1, 0.019231224), (2, 0.019231271), (3, 0.019231243), (4, 0.019231252), (5, 0.019231232), (6, 0.019231224), (7, 0.019231249), (8, 0.019231305), (9, 0.019231271), (10, 0.019231299), (11, 0.019231265), (12, 0.019231386)]",0
质量 不好 起球 建议 购买,"[(0, 0.012820834), (1, 0.012820814), (2, 0.012820875), (3, 0.012820831), (4, 0.012821246), (5, 0.012820879), (6, 0.012820755), (7, 0.012820952), (8, 0.8461494), (9, 0.012820788), (10, 0.012820836), (11, 0.012820868), (12, 0.0128209265)]",8
半个 起球 离谱 两件,"[(0, 0.0153851565), (1, 0.015385155), (2, 0.015385473), (3, 0.8153781), (4, 0.015385194), (5, 0.015385187), (6, 0.01538505), (7, 0.015385056), (8, 0.015385137), (9, 0.01538507), (10, 0.01538518), (11, 0.01538505), (12, 0.01538513)]",3
不好 穿衣 脱衣 静电,"[(0, 0.015385292), (1, 0.015385155), (2, 0.015385199), (3, 0.015385172), (4, 0.015385183), (5, 0.015385162), (6, 0.015385155), (7, 0.01538518), (8, 0.81537765), (9, 0.0153852), (10, 0.015385227), (11, 0.015385195), (12, 0.015385222)]",8
退货 没动静 客服 信息,"[(0, 0.015384969), (1, 0.015384962), (2, 0.015384999), (3, 0.015385021), (4, 0.015384992), (5, 0.015384991), (6, 0.015384992), (7, 0.015384964), (8, 0.015384962), (9, 0.015384962), (10, 0.015385175), (11, 0.8153799), (12, 0.015385031)]",11
要死 质量 不好 商家 态度,"[(0, 0.012820958), (1, 0.012820835), (2, 0.012820832), (3, 0.0128209805), (4, 0.012821027), (5, 0.012820912), (6, 0.012820865), (7, 0.012821027), (8, 0.012821), (9, 0.8461486), (10, 0.012821031), (11, 0.012820826), (12, 0.01282109)]",9
衣服 破损 衣服 颜色 图片 相差,"[(0, 0.010989602), (1, 0.010989454), (2, 0.010989578), (3, 0.010989467), (4, 0.010989404), (5, 0.86812615), (6, 0.010989394), (7, 0.010989414), (8, 0.010989422), (9, 0.010989414), (10, 0.010989618), (11, 0.010989603), (12, 0.010989504)]",5
肩上 黑色 印记 错误 值得 好评,"[(0, 0.010989367), (1, 0.010989367), (2, 0.010989365), (3, 0.010989365), (4, 0.0109893875), (5, 0.010989363), (6, 0.0109893475), (7, 0.010989364), (8, 0.86812764), (9, 0.010989365), (10, 0.0109893475), (11, 0.010989363), (12, 0.0109893475)]",8
质量 材质 类型,"[(0, 0.019231044), (1, 0.019231044), (2, 0.019231088), (3, 0.0192313), (4, 0.019231189), (5, 0.7692252), (6, 0.019231334), (7, 0.019231627), (8, 0.019231293), (9, 0.019231275), (10, 0.019231211), (11, 0.01923108), (12, 0.019231344)]",5
打开 发现 避雷,"[(0, 0.01923163), (1, 0.019231813), (2, 0.01923163), (3, 0.01923163), (4, 0.019231739), (5, 0.019231709), (6, 0.01923163), (7, 0.01923163), (8, 0.7692191), (9, 0.019231807), (10, 0.01923163), (11, 0.01923163), (12, 0.019232443)]",8
拿到 发现 里边 加绒 呜呜 呜呜 冻死,"[(12, 0.8846111)]",12
收到 晚上 本来 口袋 掉下来 晚上 好不好,"[(5, 0.88460773)]",5
给我发 服务态度,"[(0, 0.0256417), (1, 0.025641639), (2, 0.025641639), (3, 0.025642045), (4, 0.025641639), (5, 0.025641665), (6, 0.025641639), (7, 0.025641691), (8, 0.025641639), (9, 0.025642045), (10, 0.025641639), (11, 0.6922992), (12, 0.02564188)]",11
发货 个货 质检员,"[(0, 0.019231439), (1, 0.019231582), (2, 0.01923163), (3, 0.019231439), (4, 0.019231439), (5, 0.01923181), (6, 0.019231439), (7, 0.019231439), (8, 0.019231439), (9, 0.7692219), (10, 0.019231439), (11, 0.019231562), (12, 0.019231439)]",9
实物 图片 不符 做工 材质,"[(0, 0.012820768), (1, 0.40801445), (2, 0.012820856), (3, 0.012820818), (4, 0.01282086), (5, 0.012820973), (6, 0.012820858), (7, 0.4509558), (8, 0.012820864), (9, 0.012820913), (10, 0.012820898), (11, 0.012821126), (12, 0.012820786)]",7
快递 包装 衣服 打开,"[(0, 0.0153850885), (1, 0.43277884), (2, 0.015385277), (3, 0.015385094), (4, 0.015385131), (5, 0.39798382), (6, 0.015385225), (7, 0.01538533), (8, 0.0153853325), (9, 0.0153852925), (10, 0.015385168), (11, 0.015385196), (12, 0.015385208)]",1
材质 类型 材料 不好 建议,"[(0, 0.012821004), (1, 0.012820914), (2, 0.012821036), (3, 0.012821059), (4, 0.012821054), (5, 0.012821286), (6, 0.012821178), (7, 0.012821234), (8, 0.846147), (9, 0.012821181), (10, 0.012821029), (11, 0.012821059), (12, 0.012820977)]",8
衣服 还给 发货,"[(0, 0.019231215), (1, 0.76922435), (2, 0.01923126), (3, 0.019231224), (4, 0.01923123), (5, 0.019231604), (6, 0.019231247), (7, 0.019231249), (8, 0.019231256), (9, 0.019231394), (10, 0.01923125), (11, 0.019231357), (12, 0.019231344)]",1
产品 不行 发错 尺码 合适 合适,"[(0, 0.010989512), (1, 0.010989551), (2, 0.010989519), (3, 0.4577377), (4, 0.010989685), (5, 0.421377), (6, 0.010989583), (7, 0.010989619), (8, 0.010989625), (9, 0.0109896185), (10, 0.010989523), (11, 0.010989487), (12, 0.010989573)]",3
质量 衣服 帽子 太小,"[(0, 0.015384964), (1, 0.015385228), (2, 0.015385046), (3, 0.015385016), (4, 0.01538501), (5, 0.015385288), (6, 0.015385046), (7, 0.8153789), (8, 0.015385085), (9, 0.015385065), (10, 0.015385058), (11, 0.015385003), (12, 0.015385296)]",7
擦地 衣服 样子,"[(0, 0.0192314), (1, 0.019231535), (2, 0.019231446), (3, 0.019231409), (4, 0.01923153), (5, 0.019231554), (6, 0.019231431), (7, 0.01923187), (8, 0.019231591), (9, 0.019231446), (10, 0.019231437), (11, 0.019231591), (12, 0.7692217)]",12
包装 割破,"[(0, 0.025642067), (1, 0.025642067), (2, 0.025642402), (3, 0.025642067), (4, 0.025642067), (5, 0.025642676), (6, 0.025642445), (7, 0.025642369), (8, 0.025642332), (9, 0.025642067), (10, 0.025642067), (11, 0.6922933), (12, 0.025642067)]",11
便宜 面料 评价 模特,"[(0, 0.015385066), (1, 0.015385066), (2, 0.8153786), (3, 0.015385145), (4, 0.015385135), (5, 0.015385123), (6, 0.015385212), (7, 0.015385095), (8, 0.015385091), (9, 0.015385066), (10, 0.015385195), (11, 0.015385095), (12, 0.015385066)]",2
质量 对得起 价格 对不起 牌子,"[(0, 0.012820805), (1, 0.012820804), (2, 0.012820777), (3, 0.012820906), (4, 0.012820833), (5, 0.012820798), (6, 0.0128208855), (7, 0.84615004), (8, 0.012820844), (9, 0.012820882), (10, 0.0128208175), (11, 0.012820795), (12, 0.012820829)]",7
面料 一般般 顺滑,"[(0, 0.019231219), (1, 0.019231219), (2, 0.019231295), (3, 0.019231295), (4, 0.019231312), (5, 0.019231336), (6, 0.76922476), (7, 0.019231245), (8, 0.019231342), (9, 0.019231219), (10, 0.019231342), (11, 0.019231245), (12, 0.019231219)]",6
发货 掉色,"[(0, 0.025641536), (1, 0.025641708), (2, 0.025641536), (3, 0.025641536), (4, 0.025641946), (5, 0.6922991), (6, 0.025641536), (7, 0.025642615), (8, 0.025641665), (9, 0.025641866), (10, 0.0256417), (11, 0.025641683), (12, 0.025641536)]",5
太薄 图片 质感 松松垮垮 一点 好看 感觉 三十块 做工 不值 再也,"[(4, 0.9230731)]",4
衣服 图片,"[(0, 0.025641203), (1, 0.025641564), (2, 0.025641382), (3, 0.025641218), (4, 0.02564137), (5, 0.6923035), (6, 0.025641259), (7, 0.025641412), (8, 0.025641466), (9, 0.025641382), (10, 0.025641363), (11, 0.025641456), (12, 0.025641471)]",5
衣服 味道 色感,"[(0, 0.019231122), (1, 0.019231599), (2, 0.019231243), (3, 0.019231144), (4, 0.01923116), (5, 0.019231524), (6, 0.019231204), (7, 0.019231213), (8, 0.019231232), (9, 0.76922464), (10, 0.019231217), (11, 0.019231183), (12, 0.019231468)]",9
衣服 单薄 图片 尺码 合适 尺码,"[(0, 0.01098912), (1, 0.010989181), (2, 0.0109891705), (3, 0.010989276), (4, 0.010989148), (5, 0.8681298), (6, 0.010989224), (7, 0.010989238), (8, 0.010989172), (9, 0.010989211), (10, 0.010989157), (11, 0.010989152), (12, 0.0109891845)]",5
质量 过段时间 下会 起球,"[(0, 0.015385039), (1, 0.015385037), (2, 0.015385051), (3, 0.015385151), (4, 0.015385197), (5, 0.015385198), (6, 0.015385055), (7, 0.015385148), (8, 0.81537867), (9, 0.015385057), (10, 0.015385103), (11, 0.015385007), (12, 0.015385297)]",8
衣服 气球 两天,"[(0, 0.019231414), (1, 0.01923135), (2, 0.01923126), (3, 0.019231223), (4, 0.019231228), (5, 0.019231368), (6, 0.019231245), (7, 0.019231316), (8, 0.019231256), (9, 0.01923126), (10, 0.019231439), (11, 0.019231237), (12, 0.7692244)]",12
两次 起球 衣服 京东 京东 商品,"[(0, 0.010989281), (1, 0.010989276), (2, 0.010989376), (3, 0.010989327), (4, 0.01098936), (5, 0.8681282), (6, 0.010989236), (7, 0.010989248), (8, 0.0109895235), (9, 0.010989276), (10, 0.010989289), (11, 0.010989355), (12, 0.010989278)]",5
李宁 衣服 发过来,"[(0, 0.01923114), (1, 0.7692257), (2, 0.01923113), (3, 0.019231094), (4, 0.0192311), (5, 0.019231234), (6, 0.019231174), (7, 0.019231118), (8, 0.01923123), (9, 0.01923113), (10, 0.019231252), (11, 0.019231226), (12, 0.01923149)]",1
这款 鞋子 整体 版型 喜欢 鞋子 搭配 拿到 平时 衣服 挺不错 感觉 平时 一点,"[(0, 0.9384586)]",0
口袋 开线 口袋 加固 还好 卫衣 感觉 质量 不好 线头,"[(0, 0.91608125)]",0
穿着 起球 五十块 质量,"[(0, 0.015384896), (1, 0.01538503), (2, 0.015384989), (3, 0.81537974), (4, 0.015385304), (5, 0.0153850755), (6, 0.015384913), (7, 0.015385046), (8, 0.015385098), (9, 0.015384914), (10, 0.0153849665), (11, 0.015384888), (12, 0.015385097)]",3
价格 性价比 不行 不值 几天 降价,"[(0, 0.010989325), (1, 0.010989314), (2, 0.010989436), (3, 0.010989496), (4, 0.010989563), (5, 0.010989358), (6, 0.010989308), (7, 0.8681272), (8, 0.010989512), (9, 0.010989439), (10, 0.010989313), (11, 0.010989341), (12, 0.010989379)]",7
衣服 粘毛,"[(0, 0.025642103), (1, 0.025642356), (2, 0.025642894), (3, 0.025642117), (4, 0.02564254), (5, 0.69229263), (6, 0.02564216), (7, 0.025642168), (8, 0.025642179), (9, 0.02564219), (10, 0.02564217), (11, 0.025642145), (12, 0.025642348)]",5
图片 实物 颜色,"[(0, 0.019231385), (1, 0.019231949), (2, 0.019231344), (3, 0.019231282), (4, 0.019231316), (5, 0.019231444), (6, 0.019231396), (7, 0.019231316), (8, 0.019231342), (9, 0.019231282), (10, 0.019231591), (11, 0.76922303), (12, 0.01923128)]",11
材质 粗糙 上当,"[(0, 0.019231182), (1, 0.019231182), (2, 0.01923122), (3, 0.019231219), (4, 0.019231204), (5, 0.019231288), (6, 0.019231226), (7, 0.7692254), (8, 0.019231211), (9, 0.01923122), (10, 0.01923122), (11, 0.019231217), (12, 0.019231182)]",7
推荐 的码 买小 八块钱 运费 大一码 正好 京东 自营 感觉 正规,"[(2, 0.92307466)]",2
掉色 安踏,"[(0, 0.025641972), (1, 0.025641972), (2, 0.025641972), (3, 0.025641972), (4, 0.692295), (5, 0.025642188), (6, 0.025641972), (7, 0.025642749), (8, 0.025642067), (9, 0.025642091), (10, 0.025642091), (11, 0.025641972), (12, 0.025641972)]",4
京东 自营 服务 差劲,"[(0, 0.015385069), (1, 0.015385076), (2, 0.015385337), (3, 0.51326567), (4, 0.01538516), (5, 0.015385133), (6, 0.015384972), (7, 0.015385233), (8, 0.31749797), (9, 0.015384999), (10, 0.015385126), (11, 0.0153851425), (12, 0.015385138)]",3
面料 舒服 尺码 衣服 好多,"[(0, 0.012820982), (1, 0.0128210345), (2, 0.012821207), (3, 0.0128214145), (4, 0.01282108), (5, 0.8461464), (6, 0.0128213065), (7, 0.012821175), (8, 0.0128211165), (9, 0.01282103), (10, 0.012821119), (11, 0.01282112), (12, 0.012821039)]",5
整件 衣服 旧衣服 差差,"[(0, 0.015385527), (1, 0.015385596), (2, 0.015385551), (3, 0.015385532), (4, 0.015385535), (5, 0.8153731), (6, 0.015385544), (7, 0.015385545), (8, 0.0153858345), (9, 0.015385551), (10, 0.015385545), (11, 0.015385539), (12, 0.015385592)]",5
第一次 服务,"[(0, 0.025641518), (1, 0.025641393), (2, 0.025641393), (3, 0.69230217), (4, 0.025641466), (5, 0.02564166), (6, 0.025641393), (7, 0.025641661), (8, 0.025641393), (9, 0.025641393), (10, 0.02564151), (11, 0.025641393), (12, 0.025641613)]",3
第一次 混合 果仁 日期 新鲜 过年 客服 确保 三个 生产日期,"[(3, 0.9160813)]",3
半个 起球 谨慎 购买,"[(0, 0.015385206), (1, 0.4452167), (2, 0.0153852925), (3, 0.015385433), (4, 0.38554537), (5, 0.015385344), (6, 0.015385183), (7, 0.015385236), (8, 0.015385325), (9, 0.015385205), (10, 0.01538524), (11, 0.015385228), (12, 0.015385278)]",1
皮肤 跑步 摩擦 胸部 疼痛 衣服 少许,"[(6, 0.88461167)]",6
第一次 公里 奶头 出血 第一次 迪卡侬 跑步 衣服,"[(5, 0.8974297)]",5
包装 简陋 黑色 吊牌 吊牌 脖子 污渍,"[(8, 0.8846111)]",8
尺码 表买 回家 感觉 换成 折腾 几天 快递 本来 打算 拿到 跑步 只能,"[(7, 0.93406373)]",7
尺码 大小 正合适 习惯 宽松 掉色 价格 比较满意 商家 态度 解决 物流,"[(4, 0.9289902)]",4
个货 给钱 龟速,"[(0, 0.019231442), (1, 0.019231442), (2, 0.76922256), (3, 0.019231442), (4, 0.019231442), (5, 0.019231442), (6, 0.019231442), (7, 0.019231442), (8, 0.019231442), (9, 0.0192316), (10, 0.019231442), (11, 0.019231442), (12, 0.019231442)]",2
衣服 质量 起毛 起球 客服 不理,"[(0, 0.010989195), (1, 0.010989243), (2, 0.010989258), (3, 0.010989354), (4, 0.010989306), (5, 0.010989329), (6, 0.010989236), (7, 0.010989223), (8, 0.010989245), (9, 0.010989202), (10, 0.01098924), (11, 0.010989287), (12, 0.8681289)]",12
衣服 没标 卖不出去 残次品 图片 不符,"[(0, 0.010989299), (1, 0.010989493), (2, 0.010989382), (3, 0.010989305), (4, 0.010989364), (5, 0.010989545), (6, 0.010989321), (7, 0.010989379), (8, 0.010989401), (9, 0.8681273), (10, 0.0109893745), (11, 0.01098945), (12, 0.010989409)]",9
上身 效果 不好 材质 手贱 试穿 吊牌 给退,"[(2, 0.89743185)]",2
地摊货 区别 线头 穿着 起球,"[(0, 0.012820748), (1, 0.012820822), (2, 0.84615046), (3, 0.012820848), (4, 0.012820894), (5, 0.012820867), (6, 0.012820726), (7, 0.012820737), (8, 0.012820863), (9, 0.012820734), (10, 0.012820765), (11, 0.01282076), (12, 0.012820797)]",2
做工 标志 线头 真货 廉价 感觉,"[(0, 0.010989349), (1, 0.0109892655), (2, 0.0109893475), (3, 0.010989338), (4, 0.010989305), (5, 0.0109893195), (6, 0.0109893195), (7, 0.010989484), (8, 0.010989275), (9, 0.010989296), (10, 0.010989271), (11, 0.8681282), (12, 0.010989254)]",11
衣服 码数 不符 拉链,"[(0, 0.0153853), (1, 0.015386139), (2, 0.015385504), (3, 0.015385305), (4, 0.015385307), (5, 0.81537354), (6, 0.015385316), (7, 0.015385318), (8, 0.01538532), (9, 0.015385784), (10, 0.015385678), (11, 0.015386027), (12, 0.015385498)]",5
衣服 商家 退货 效率 特别,"[(0, 0.012820931), (1, 0.012821171), (2, 0.012820949), (3, 0.012821105), (4, 0.012821176), (5, 0.012821101), (6, 0.012821064), (7, 0.012820944), (8, 0.012820955), (9, 0.012821243), (10, 0.012821294), (11, 0.012821106), (12, 0.846147)]",12
身高体重 体重 尺码 合适 上身 效果 稍微 一点 真的 值得,"[(7, 0.9160806)]",7
京东 第二天 尺码 老爸,"[(0, 0.015384978), (1, 0.015384953), (2, 0.015385062), (3, 0.8153799), (4, 0.015385013), (5, 0.015385129), (6, 0.015384998), (7, 0.01538501), (8, 0.015385089), (9, 0.0153850075), (10, 0.015384951), (11, 0.015384978), (12, 0.015384946)]",3
尺码 合适 款式 类型 商务 材质 类型 保暖 适合 冷天 金融 东西 感觉 做工 还行 价格 适中,"[(9, 0.94871634)]",9
身高体重 厘米 公斤 正合适 尺码 合适 尺码 合适 款式 类型 卫衣 简约 大方 卫衣 材质 类型 涤纶 氨纶 上身 效果 感觉 传上去 保暖 薄厚 程度 厚度 秋天 冬天 厘米 衣服,"[(5, 0.9702221)]",5
起毛 几次 起毛 不值 价钱,"[(0, 0.012820939), (1, 0.012821009), (2, 0.012820974), (3, 0.01282095), (4, 0.8461481), (5, 0.012820939), (6, 0.012820939), (7, 0.01282095), (8, 0.012821126), (9, 0.012821036), (10, 0.012820939), (11, 0.012820948), (12, 0.012821175)]",4
昨天晚上 下单 保价 块钱 保价 差价 块钱,"[(0, 0.88461334)]",0
降价,"[(0, 0.038461853), (1, 0.038462084), (2, 0.038462415), (3, 0.03846241), (4, 0.038462408), (5, 0.03846195), (6, 0.038461853), (7, 0.5384544), (8, 0.038462028), (9, 0.038461853), (10, 0.038462073), (11, 0.038461853), (12, 0.038462784)]",7
衣服 收到 快递 服务 收货,"[(0, 0.012820796), (1, 0.012821043), (2, 0.012821001), (3, 0.012820877), (4, 0.012820873), (5, 0.012821058), (6, 0.012820811), (7, 0.84614915), (8, 0.012820844), (9, 0.012820889), (10, 0.012820863), (11, 0.012820801), (12, 0.012821005)]",7
衣服 收到 有大,"[(0, 0.019231256), (1, 0.019231496), (2, 0.01923189), (3, 0.019231364), (4, 0.019231424), (5, 0.01923152), (6, 0.019231288), (7, 0.019231435), (8, 0.019231299), (9, 0.019231403), (10, 0.019231293), (11, 0.01923128), (12, 0.76922303)]",12
二百块 衣服 包装袋 快递 袋子 衣服 一点 弹力,"[(12, 0.8974326)]",12
廉价 退货 块钱 运费 建议,"[(0, 0.012821034), (1, 0.012820815), (2, 0.012820897), (3, 0.012820852), (4, 0.012820859), (5, 0.012820851), (6, 0.012820815), (7, 0.012820919), (8, 0.012820861), (9, 0.012820815), (10, 0.012820954), (11, 0.8461493), (12, 0.012821033)]",11
质量 不值 价格 薄厚 程度 太薄 材质 类型 涤纶 质量,"[(4, 0.5371184), (5, 0.38595545)]",4
衣服,"[(0, 0.03846164), (1, 0.0384626), (2, 0.03846197), (3, 0.0384617), (4, 0.03846174), (5, 0.5384564), (6, 0.038461864), (7, 0.038461886), (8, 0.03846194), (9, 0.03846197), (10, 0.038461898), (11, 0.038461808), (12, 0.038462576)]",5
送给 过生日 礼物 牌子 够买 他家 衣服,"[(4, 0.8846084)]",4
面料 做工 纤维,"[(0, 0.019231284), (1, 0.019231139), (2, 0.019231224), (3, 0.019231573), (4, 0.019231373), (5, 0.019231355), (6, 0.019231688), (7, 0.019232275), (8, 0.019231165), (9, 0.019231278), (10, 0.76922303), (11, 0.01923148), (12, 0.019231139)]",10
这款 卫衣 配套 裤子 面料 舒服 身后 特别 有型 继承 迪桑特 做工 出厂 控好 对得起 价格,"[(6, 0.9456995)]",6
迪桑特 指甲 给我发 残次品 气死我了 试穿 衣服,"[(5, 0.8846069)]",5
棒球 日进斗金 皮肤 材质 码数 质量 京东 自营 保证,"[(10, 0.9076877)]",10
做工 面料 真的 感觉 牌子 品质,"[(0, 0.010989262), (1, 0.010989221), (2, 0.010989334), (3, 0.010989394), (4, 0.010989419), (5, 0.010989339), (6, 0.010989421), (7, 0.8681282), (8, 0.010989281), (9, 0.010989237), (10, 0.010989385), (11, 0.010989323), (12, 0.010989213)]",7
衣服 手里 很丝 衣服 质量,"[(0, 0.012820955), (1, 0.012821044), (2, 0.012820973), (3, 0.012821012), (4, 0.012820992), (5, 0.8461478), (6, 0.012821007), (7, 0.012821089), (8, 0.012821041), (9, 0.012821003), (10, 0.012821014), (11, 0.012820959), (12, 0.012821183)]",5
东西 京东 物流 准时,"[(0, 0.015385136), (1, 0.5656475), (2, 0.015385282), (3, 0.015385228), (4, 0.26511574), (5, 0.0153852245), (6, 0.015384992), (7, 0.015385031), (8, 0.015385439), (9, 0.015385111), (10, 0.015385093), (11, 0.015385158), (12, 0.0153850345)]",1
没想到 李宁 衣服 大年初一 初三 两天 大片 球球 心情,"[(12, 0.90768886)]",12
想买慎 衣服 掉色 起球 第二次 起球 商家 反馈 迟迟 解决问题 态度,"[(4, 0.92307377)]",4
年前 衣裤 过年 两三天 起球 东西 太次 客服 现象 没人管 购物 体验,"[(5, 0.4967497), (7, 0.43815443)]",5
辣鸡 衣服 一颗 不想 一回 起球 超级 客服 态度 敷衍 明明 李宁 面料 偏整 没用 衣服 第一回 买卫 起球,"[(10, 0.9538445)]",10
几天 起球 特别 一两次 起球 程度 说穿 出门 粘毛,"[(5, 0.9076879)]",5
掉色 掉色,"[(0, 0.02564117), (1, 0.02564117), (2, 0.02564117), (3, 0.02564117), (4, 0.025641503), (5, 0.025641335), (6, 0.02564117), (7, 0.6923052), (8, 0.025641242), (9, 0.02564126), (10, 0.02564126), (11, 0.02564117), (12, 0.02564117)]",7
质量 不行 一点 洗掉 手洗 地方 起球,"[(12, 0.8846113)]",12
长辈 穿着 合适 样子,"[(0, 0.0153850885), (1, 0.015385302), (2, 0.01538519), (3, 0.015385416), (4, 0.015385212), (5, 0.015385374), (6, 0.015385273), (7, 0.015385538), (8, 0.8153768), (9, 0.015385253), (10, 0.015385129), (11, 0.015385215), (12, 0.015385236)]",8
产品 服务 产品 预期 京东,"[(0, 0.012820751), (1, 0.012820773), (2, 0.012820792), (3, 0.84615093), (4, 0.012820832), (5, 0.012820802), (6, 0.012820698), (7, 0.0128207505), (8, 0.012820798), (9, 0.012820719), (10, 0.0128207505), (11, 0.012820729), (12, 0.012820714)]",3
京东 物流 超快 衣服,"[(0, 0.015385139), (1, 0.26988345), (2, 0.0153853325), (3, 0.015385213), (4, 0.015385325), (5, 0.015385442), (6, 0.01538508), (7, 0.015385107), (8, 0.015385477), (9, 0.015385174), (10, 0.015385112), (11, 0.5608789), (12, 0.015385222)]",11
牌子 做工 质量,"[(0, 0.019230895), (1, 0.019230876), (2, 0.019230863), (3, 0.019231027), (4, 0.01923095), (5, 0.019230941), (6, 0.019230962), (7, 0.76922876), (8, 0.019230943), (9, 0.019230913), (10, 0.019230932), (11, 0.019230902), (12, 0.019231005)]",7
衣服 质量,"[(0, 0.02564113), (1, 0.025641423), (2, 0.0256412), (3, 0.025641272), (4, 0.025641223), (5, 0.025641557), (6, 0.025641272), (7, 0.025641467), (8, 0.025641361), (9, 0.025641268), (10, 0.02564129), (11, 0.025641153), (12, 0.6923044)]",12
京东 好评 好评 模版 喜欢 京东 上买 东西 京东 会员 京东 东西 特别 评论 超过 拿到 更多 京豆 只能 模版 东西 不好 评价 京东 自营 物流 真快 快递 送达 热情 售后,"[(4, 0.9711526)]",4
想象 衣服 宽松 穿着 搭配 衣服,"[(0, 0.010989292), (1, 0.86812866), (2, 0.010989263), (3, 0.010989243), (4, 0.010989258), (5, 0.010989315), (6, 0.010989473), (7, 0.010989242), (8, 0.010989255), (9, 0.01098924), (10, 0.010989236), (11, 0.010989237), (12, 0.010989285)]",1
衣服 客服 服务,"[(0, 0.0192312), (1, 0.019231154), (2, 0.01923126), (3, 0.019231584), (4, 0.019231204), (5, 0.7692249), (6, 0.019231211), (7, 0.019231362), (8, 0.019231072), (9, 0.019231075), (10, 0.019231273), (11, 0.019231474), (12, 0.019231284)]",5
