,word,values
934,indian,97
935,architecture,97
936,dope,96
937,secret,96
938,actual,96
939,deal,96
940,linked,95
941,mobile,95
942,drip,95
943,peek,95
944,expand,95
945,asset,95
946,tiktok,95
947,option,95
948,pair,95
949,lauren,95
950,esports,94
951,board,94
952,aisneaks,94
953,runways,94
954,lens,94
955,filters,94
956,literally,94
957,review,93
958,benefits,93
959,gender,93
960,betting,93
961,altava,93
962,speaks,93
963,screen,93
964,august,93
965,spent,92
966,pants,92
967,addition,92
968,color,92
969,moves,92
970,hair,92
971,shoot,92
972,revenue,92
973,officially,92
974,names,92
975,eye,92
976,running,92
977,reallife,92
978,casual,92
979,mall,92
980,agency,92
981,agree,91
982,tweet,91
983,american,91
984,sector,91
985,realtime,91
986,icon,91
987,premiere,91
988,giveaway,90
989,credit,90
990,society,90
991,identities,90
992,spot,90
993,breaking,90
994,guide,90
995,browser,90
996,vote,89
997,futuristic,89
998,passion,89
999,goal,89
1000,sought,89
1001,strategy,89
1002,guests,89
1003,wave,89
1004,knowledge,89
1005,editor,89
1006,streaming,89
1007,topic,89
1008,stylish,88
1009,established,88
1010,fantasy,88
1011,pink,88
1012,lives,88
1013,epic,88
1014,scene,88
1015,minutes,88
1016,wore,88
1017,decorated,88
1018,italian,88
1019,advisors,88
1020,bof,87
1021,entry,87
1022,block,87
1023,reduce,87
1024,loved,87
1025,pioneering,87
1026,sessions,87
1027,classes,87
1028,card,87
1029,explores,87
1030,bad,86
1031,user,86
1032,topics,86
1033,partnering,86
1034,pioneer,86
1035,boundaries,86
1036,female,86
1037,spoke,86
1038,hub,86
1039,reveal,86
1040,management,86
1041,site,86
1042,shipping,86
1043,shift,85
1044,multiple,85
1045,driving,85
1046,embrace,85
1047,dedicated,85
1048,highly,85
1049,raises,85
1050,fashiontech,85
1051,match,85
1052,lyx,85
1053,advice,84
1054,introduce,84
1055,networking,84
1056,rock,84
1057,bigger,84
1058,wide,84
1059,participants,84
1060,period,84
1061,collaborations,84
1062,craft,84
1063,modest,84
1064,retailer,84
1065,glam,84
1066,lockdown,84
1067,japanese,83
1068,haute,83
1069,silver,83
1070,carbon,83
