评论,fenci,情感分类,主题概率,主题类型
安装系统后，感觉速度很快，其内存质量很好，与双通道内存速度相当。的芯片组也没说的那么差。所带的驱动盘是傻瓜式，直接安装就行了。机器运行比较安静，能够满足大多数人的需求。,安装 系统 感觉 速度 很快 内存 质量 双通道 内存 速度 芯片组 没说的 所带 驱动 傻瓜式 安装 就行了 机器运行 安静 需求,pos,"[(0, 0.9566787)]",0
性价比比较高，机子的外观不错，性能也还行吧。主要是自带的系统太慢了，装要花很多时间的。,性价比 机子 外观 不错 性能 还行 自带 系统 太慢 装要 时间,pos,"[(2, 0.29273245), (3, 0.22388247), (4, 0.4227488)]",4
1、屏的外观比较漂亮，比我这前买的那个好看。,外观 漂亮 前买 好看,pos,"[(0, 0.018189222), (1, 0.81810635), (2, 0.018189305), (3, 0.018189099), (4, 0.018189767), (5, 0.018188983), (6, 0.018189358), (7, 0.018189248), (8, 0.018189387), (9, 0.018189343), (10, 0.018189933)]",1
(1)这款笔记本外观感觉挺漂亮的，分量吗，对我来说不算沉。,笔记本 外观 感觉 漂亮 分量 不算,pos,"[(0, 0.87004673), (1, 0.0129956445), (2, 0.012995073), (3, 0.012994792), (4, 0.012995574), (5, 0.012994609), (6, 0.012995128), (7, 0.012995344), (8, 0.012995166), (9, 0.012996181), (10, 0.01299576)]",0
买机器送的移动硬盘2寸250的，没开封，想卖出，感兴趣短息联系，北京13901019711,机器 移动硬盘 开封 卖出 感兴趣 短息 北京,pos,"[(0, 0.011383277), (1, 0.011382922), (2, 0.011383135), (3, 0.011384653), (4, 0.011383159), (5, 0.011382982), (6, 0.011383812), (7, 0.011383051), (8, 0.8861663), (9, 0.01138351), (10, 0.0113832345)]",8
的安装很方便，比以前买的一款华硕的方便多了，上次在网上找了好久！,安装 一款 华硕 上次 网上 好久,pos,"[(0, 0.34613124), (1, 0.01299437), (2, 0.012992747), (3, 0.012994073), (4, 0.012993348), (5, 0.012993423), (6, 0.53692836), (7, 0.01299234), (8, 0.0129931765), (9, 0.012993109), (10, 0.012993796)]",6
外观漂亮 磨砂键盘手感舒服 配置也不差外观漂亮 磨砂键盘手感舒服 配置也不差,外观 漂亮 磨砂 键盘 手感 舒服 配置 外观 漂亮 磨砂 键盘 手感 舒服 配置,pos,"[(1, 0.9393866)]",1
外观满意，配置还可以！ 无线网卡驱动自带的可以安装啊，谁说不能装的！,外观 满意 配置 无线 网卡 驱动 自带 安装,pos,"[(0, 0.010102021), (1, 0.010102119), (2, 0.010101855), (3, 0.010101717), (4, 0.89898056), (5, 0.010102195), (6, 0.010102516), (7, 0.010101535), (8, 0.010101828), (9, 0.010101635), (10, 0.010102048)]",4
"4499的时候买入的,3470的独立256的显卡,还带了个的接口,而且还带的接口",买入 独立 显卡 接口 接口,pos,"[(0, 0.0151602775), (1, 0.015162591), (2, 0.015160606), (3, 0.84838927), (4, 0.015161315), (5, 0.015161937), (6, 0.015161078), (7, 0.015160139), (8, 0.015161282), (9, 0.015160587), (10, 0.015160882)]",3
外壳很漂亮，钢琴漆，很有质感。键盘也很舒服。拍照，速度。。。。各种，我都觉得不错，最重要的是，老公很喜欢。(∩_∩)~华硕这款还是挺称心的。,外壳 很漂亮 钢琴漆 质感 键盘 舒服 拍照 速度 不错 老公 喜欢 华硕 称心,pos,"[(3, 0.79367393), (7, 0.14784256)]",3
造型外观不错，实际到货是320硬盘的，带 操作系统，送的包质量也不错,造型 外观 不错 到货 硬盘 操作系统 质量 不错,pos,"[(0, 0.010104446), (1, 0.0101027135), (2, 0.01010264), (3, 0.010102987), (4, 0.010102945), (5, 0.010103113), (6, 0.010103658), (7, 0.010103252), (8, 0.89896894), (9, 0.010102574), (10, 0.010102791)]",8
华硕品牌我喜欢，已经买过几台了。这台是帮朋友买的。性价比不错，但是刚抢购4999返现400=4599货还没有发到，价格就4499了，很是郁闷。产品质量是厂家的问题，可价格质量是京东的问题啊！我觉得京东应该退我100元！！！,华硕 品牌 喜欢 几台 朋友 性价比 不错 抢购 返现 发到 价格 郁闷 产品质量 厂家 价格 质量 京东 京东,pos,"[(3, 0.95212805)]",3
外壳漂亮，而且实物是320，比介绍的250 大，价格实惠，还带高清接口。,外壳 漂亮 实物 介绍 价格 实惠 高清 接口,pos,"[(0, 0.010102311), (1, 0.8989722), (2, 0.010102272), (3, 0.010102679), (4, 0.010102796), (5, 0.010104847), (6, 0.010102389), (7, 0.010102683), (8, 0.010102839), (9, 0.010102231), (10, 0.010102666)]",1
外观漂亮 磨砂键盘手感舒服 配置也不差 还有高清接口 不仅送了包 还送了华硕的鼠标 希望京东能够标明下带的东西  早知道有鼠标我就不多卖那个的鼠标了,外观 漂亮 磨砂 键盘 手感 舒服 配置 高清 接口 华硕 鼠标 希望 京东 标明 下带 东西 鼠标 鼠标,pos,"[(1, 0.9521394)]",1
还是很不错的，没什么毛病。用起来也不错。外观和图片基本没什么出入。,不错 没什么 毛病 不错 外观 图片 没什么 出入,pos,"[(0, 0.010105868), (1, 0.8989401), (2, 0.010105968), (3, 0.010105742), (4, 0.010106498), (5, 0.010105545), (6, 0.010106415), (7, 0.010106077), (8, 0.010106222), (9, 0.010105979), (10, 0.010105597)]",1
华硕品质，价格合理，质优价廉，外观美丽，配置较强，是大众消费者可以承受的，只是在此价位再装有操作系统就更超值了。赞一个,华硕 品质 价格合理 质优价廉 外观 美丽 配置 大众 消费者 承受 价位 装有 操作系统 超值,pos,"[(5, 0.939341)]",5
便携，性能佳，价格合理。京东送的赠品也很实用。总之很超值。,便携 性能 价格合理 京东 赠品 实用 超值,pos,"[(0, 0.011367655), (1, 0.40007868), (2, 0.011368263), (3, 0.011367791), (4, 0.011367439), (5, 0.011367453), (6, 0.011367496), (7, 0.23195945), (8, 0.011367624), (9, 0.011367234), (10, 0.27702093)]",1
机器拿回来后就装系统，驱动直接用附带的装就可以了，全部驱动附带的那个盘里面都有，都装好了，现在正在上网呢,机器 回来 系统 驱动 附带 装就 驱动 附带 装好 上网,pos,"[(4, 0.91729444)]",4
买的时候价格4499，比较合算。安装系统后速度很快，驱动盘安装是傻瓜式的，很不错。安装的是1版的驱动，2版好像是为系统准备的。,价格 合算 安装 系统 速度 很快 驱动 安装 傻瓜式 不错 安装 驱动 好像 系统,pos,"[(4, 0.939371)]",4
外观比起同学们的银灰色的要好看的多，  ，其实对于现在大多数随机，自己装系统更好一些，避免了一些不必要的麻烦,外观 同学 银灰色 要好看 随机 系统 更好 不必要 麻烦,pos,"[(2, 0.81373566), (4, 0.104386605)]",2
配置不错，性价比挺高的。重量也很轻，自带 和 两种驱动光盘。,配置 不错 性价比 重量 很轻 自带 两种 驱动 光盘,pos,"[(4, 0.9090233)]",4
五一刚买的，驱动是傻瓜式的，一下全部搞定，但是因为自己没有注意，有很多没有用的软件一并安装了，,五一 驱动 傻瓜式 一下全部 搞定 软件 一并 安装,pos,"[(0, 0.010112626), (1, 0.6170005), (2, 0.010111995), (3, 0.010112242), (4, 0.29199004), (5, 0.010112442), (6, 0.010112212), (7, 0.010111875), (8, 0.010111843), (9, 0.0101118395), (10, 0.010112377)]",1
轻便！要是没有赠的东西我都不买它！还是京东想得周到！没听到过风扇的声音！小键盘灯的设计还是很有意思的！,轻便 东西 京东 周到 没听到过 风扇 声音 小键盘 设计 有意思,pos,"[(4, 0.6636151), (7, 0.2619587)]",4
机子还不错，没发现什么，就是4599特价时买下了。隔了1天现在便宜了100元，心里很不舒服，,机子 不错 发现 特价 买下 便宜 舒服,pos,"[(0, 0.0113682365), (1, 0.011368235), (2, 0.01136856), (3, 0.88631433), (4, 0.011368503), (5, 0.011368712), (6, 0.0113695245), (7, 0.01136813), (8, 0.011368362), (9, 0.011368281), (10, 0.011369095)]",3
自带驱动光盘，光盘上有和驱动，还是傻瓜式的自动安装。安装完成后，完全可以正常使用。,自带 驱动 光盘 光盘 上有 驱动 傻瓜式 自动 安装 安装,pos,"[(4, 0.9172995)]",4
4599特价时买下了。隔了10天现在便宜了100元。当时还考虑了541更高1点，虽然总线才1，人家是2，显卡人家是128，这个是64，但是相信这个品牌，而且主要是普通办公游戏,特价 买下 便宜 总线 显卡 品牌 办公 游戏,pos,"[(0, 0.010108811), (1, 0.010108965), (2, 0.010108619), (3, 0.7554979), (4, 0.010109685), (5, 0.010109527), (6, 0.010110098), (7, 0.15351735), (8, 0.0101094255), (9, 0.010109574), (10, 0.010110096)]",3
京东的订单处理速度有所提高。这次的服务还不错,京东 订单 处理速度 有所提高 服务 不错,pos,"[(0, 0.013002491), (1, 0.013003094), (2, 0.013002022), (3, 0.013003171), (4, 0.013002559), (5, 0.013002788), (6, 0.013002319), (7, 0.33125913), (8, 0.5517156), (9, 0.013002351), (10, 0.01300444)]",8
发货速度快，商城订单信息跟踪很及时，商品很好，刚拿到货的时候感觉华硕真的比其它品牌包装要好很多，双重的箱子；性能都很不错元能买到3470的独显，还是酷睿 2，感觉超值了……,发货 速度 商城 订单 信息 跟踪 商品 拿到 感觉 华硕 真的 品牌 包装 双重 箱子 性能 不错 买到 独显 感觉 超值,pos,"[(0, 0.958646)]",0
很不错的，3699，超值，的板子也没有大家想的那么差。一般使用足够了。,不错 超值 板子 足够,pos,"[(0, 0.81812334), (1, 0.018187722), (2, 0.018187921), (3, 0.018187158), (4, 0.018187078), (5, 0.018187108), (6, 0.018188061), (7, 0.018187413), (8, 0.018189631), (9, 0.018187115), (10, 0.01818744)]",0
"东西总体不错.是320硬盘.带摄像头,罗技带工鼠标,接口",东西 总体 不错 硬盘 摄像头 罗技 带工 鼠标 接口,pos,"[(3, 0.90904117)]",3
"低价4599,表面烤漆工艺好，整体配置不错，独显256带有高清接口，自带喇叭声音不错，另有附送鼠标及包包",低价 表面 烤漆 工艺 整体 配置 不错 独显 带有 高清 接口 自带 喇叭 声音 不错 附送 鼠标 包包,pos,"[(4, 0.9521279)]",4
同类笔记本中算是配置比较实用的，外观简洁大方，有高清接口，用-测试内存为现代2  800,同类 笔记本 算是 配置 实用 外观 简洁 大方 高清 接口 测试 内存,pos,"[(1, 0.2760945), (10, 0.6609487)]",10
小巧轻便，竟然比我的61还轻，做工一贯的好。屏幕比61亮，分辨率也高。,小巧 轻便 做工 一贯 屏幕 分辨率,pos,"[(0, 0.0129931355), (1, 0.012994889), (2, 0.012993384), (3, 0.55213505), (4, 0.012994037), (5, 0.012992993), (6, 0.012993944), (7, 0.012992718), (8, 0.33092204), (9, 0.012993149), (10, 0.012994663)]",3
这次买的是新的系列，以前没用过，运行速度还不错，外观很漂亮，屏幕比以前的好多了,系列 没用过 运行 速度 不错 外观 很漂亮 屏幕 好多,pos,"[(3, 0.90907407)]",3
发热量不大，键盘手感不错，笔记本的客服很专业，外观很漂亮，至少比市面上的价格低300-600元左右,发热量 键盘 手感 不错 笔记本 客服 专业 外观 很漂亮 至少 市面上 价格低,pos,"[(0, 0.4649063), (3, 0.47211403)]",3
这个价位，能买到品牌的本本，很不错了，大厂做工，散热好，屏幕效果不错,价位 买到 品牌 本本 不错 大厂 做工 散热 屏幕 效果 不错,pos,"[(3, 0.92422897)]",3
屏幕15的，宽屏16：10看电影不错内存一个键盘我就不说了，的键盘是世界公认手感和质量最好的硬盘250，我一般是下载的480的格式的电影，一部电影也就1左右，哈哈，这个硬盘装了一百多部电影是绰绰有余的是双核的1主频，虽然是比较低端的赛扬系列，但是只要不是运算大型的专业软件什么的，同酷睿、奔腾的差距是基本区分不出来的,屏幕 电影 不错 内存 键盘 键盘 世界 公认 手感 质量 硬盘 下载 格式 电影 一部 电影 硬盘 一百多部 电影 绰绰有余 双核 主频 低端 赛扬 系列 运算 大型 专业 软件 奔腾 差距 区分,pos,"[(4, 0.97242326)]",4
17点下单，第二天9点多就收到货，发货速度赞一个。,下单 第二天 收到 发货 速度,pos,"[(0, 0.8484704), (1, 0.01515261), (2, 0.015152489), (3, 0.015152943), (4, 0.015153168), (5, 0.01515312), (6, 0.015153384), (7, 0.015154121), (8, 0.015153134), (9, 0.015152245), (10, 0.015152394)]",0
我很喜欢的一款，可惜自己刚买了其他的，刚给妹妹买了200，差点不想给她了,喜欢 一款 可惜 妹妹 差点 不想,pos,"[(0, 0.013002145), (1, 0.013002613), (2, 0.01300212), (3, 0.86997765), (4, 0.013002639), (5, 0.013001951), (6, 0.013002238), (7, 0.013002468), (8, 0.013002246), (9, 0.013001988), (10, 0.013001949)]",3
做工很好（除了钢琴烤漆不喜欢之外都很喜欢），性价比很高。给老爸上网用的，老人家需要宽屏本，这个配置很适合他用。拿到手感觉比预想的要好。,做工 钢琴 烤漆 喜欢 之外 喜欢 性价比 老爸 上网 老人家 屏本 配置 适合 拿到 感觉 预想,pos,"[(4, 0.22101212), (8, 0.73080957)]",8
算起来 在京东买的笔记本也有7八台了  这台配置又有所提升 性能提升的同时保证了 非常高的性价比 散热优良 而且是完美屏 公司同事也非常满意 很大气 用起来键盘绝对舒服,京东 笔记本 八台 配置 提升 性能 提升 保证 性价比 散热 优良 完美 公司 同事 满意 很大 键盘 舒服,pos,"[(6, 0.95213366)]",6
平时只用来工作，上上网，挺不错的，没有冗余的功能，样子也比较正式！,平时 工作 上上网 挺不错 冗余 功能 样子 正式,pos,"[(0, 0.01010915), (1, 0.010109553), (2, 0.21287197), (3, 0.010109487), (4, 0.010109787), (5, 0.010109454), (6, 0.010109438), (7, 0.6961415), (8, 0.010109506), (9, 0.010110703), (10, 0.010109433)]",7
屏幕大确实感觉不错。看片打游戏的感觉很爽。散热也还可以，开了一整天也不是很热。散热声音不大。去中关村鼎好，海龙等看了看，这里价格比他们还便宜一点儿。,屏幕 确实 感觉 不错 打游戏 感觉 很爽 散热 一整天 散热 声音 中关村 鼎好 海龙 价格比 便宜 一点儿,pos,"[(6, 0.94943345)]",6
"东西就是这个样子,换换就有意想不到的结果,谁要下的驱动找我,我这里有",东西 样子 换换 意想不到 驱动,pos,"[(0, 0.015171269), (1, 0.0151718175), (2, 0.01517221), (3, 0.015172719), (4, 0.7547983), (5, 0.0151716685), (6, 0.0151713155), (7, 0.10865419), (8, 0.015172376), (9, 0.01517286), (10, 0.015171331)]",4
1 跟我以前的31 比起来键盘键要松，但好像更容易敲 更省力,键盘 键要 好像 省力,pos,"[(0, 0.018208027), (1, 0.018208385), (2, 0.018207977), (3, 0.018208075), (4, 0.81792086), (5, 0.01820758), (6, 0.018208036), (7, 0.018207602), (8, 0.018207856), (9, 0.018207623), (10, 0.018207937)]",4
3799的本本，完美屏，键盘好，散热优良，做工精细，正版系统使用方便，附带无线上网卡，可以随时漫游，,本本 完美 键盘 散热 优良 做工 精细 正版 系统 使用方便 附带 无线 上网卡 漫游,pos,"[(2, 0.06033986), (8, 0.885051)]",8
4以内的本本，完美屏，键盘好，散热优良。送的14的包，刚好装下本本。,以内 本本 完美 键盘 散热 优良 本本,pos,"[(0, 0.011367052), (1, 0.8863253), (2, 0.011367423), (3, 0.0113675725), (4, 0.011367935), (5, 0.011367003), (6, 0.011368236), (7, 0.0113669215), (8, 0.011367698), (9, 0.011367025), (10, 0.011367832)]",1
外观继承了的风格 配置也不低 4000下的最好选择了 屏幕够大 看电影也足够,外观 继承 风格 配置 选择 屏幕 电影 足够,pos,"[(0, 0.010105955), (1, 0.0101052625), (2, 0.0101053165), (3, 0.010105404), (4, 0.22624081), (5, 0.010105573), (6, 0.010105377), (7, 0.01010508), (8, 0.01010592), (9, 0.010105105), (10, 0.6828102)]",10
配置合理，赠品丰厚，大品牌，值得信赖！装上赠送的1内存，2跑起来速度还是不错的！,配置 赠品 丰厚 品牌 值得 信赖 赠送 内存 速度 不错,pos,"[(0, 0.9173103)]",0
外观继承了的风格 配置也不低 4000下的最好选择了 屏幕够大 看电影也足够  京东比国美还便宜了100多 价格优势很大,外观 继承 风格 配置 选择 屏幕 电影 足够 京东 国美 便宜 价格优势 很大,pos,"[(2, 0.11816466), (4, 0.246579), (10, 0.5832305)]",10
品牌效应，做笔记本最牛的就是；内存大硬盘大，硬指标高；系统，不用自己重新去装系统；屏幕大，看电影玩游戏视觉效果好；还送一包，不用再花钱买包，这包少说也值一两百吧！,品牌效应 笔记本 内存 大硬盘 硬指标 系统 不用 系统 屏幕 电影 玩游戏 视觉效果 一包 不用 花钱买 包少 一两百,pos,"[(3, 0.949446)]",3
这款手提不错，就是系统不能分区，手提到手使用了还原键，现在黑屏了，怎么办啊？,手提 不错 系统 分区 手提 到手 还原 黑屏,pos,"[(0, 0.01010989), (1, 0.010107283), (2, 0.010108376), (3, 0.29815727), (4, 0.0101082), (5, 0.61087114), (6, 0.010107621), (7, 0.010107613), (8, 0.010107458), (9, 0.010107105), (10, 0.010108059)]",5
家用非常有面子，做工非常不错，牌子的质量保持一致，非常满意。,家用 面子 做工 不错 牌子 质量 保持一致 满意,pos,"[(0, 0.010105425), (1, 0.010105378), (2, 0.786729), (3, 0.010104737), (4, 0.010104915), (5, 0.010104738), (6, 0.12232402), (7, 0.010105164), (8, 0.010105162), (9, 0.010104569), (10, 0.010106853)]",2
突出性价比。。非常的好。。开始对有些担心，发现2内存的搭配下，性能很不错，起码跑非常的优秀。很大的硬盘，，很喜欢的机器。,性价比 担心 发现 内存 搭配 性能 不错 起码 优秀 很大 硬盘 喜欢 机器,pos,"[(3, 0.66199493), (4, 0.2795341)]",3
"电脑是给别人买的.但联想的东西应该没问题,我自己家里就有一台,挺好的.",电脑 联想 东西 家里 一台,pos,"[(0, 0.015156583), (1, 0.015157081), (2, 0.015156166), (3, 0.46393684), (4, 0.015156426), (5, 0.015157013), (6, 0.39965087), (7, 0.015158109), (8, 0.015157229), (9, 0.015156259), (10, 0.015157372)]",3
有 ，也有读卡器，买来的时候没有坏点，这点不错。京东的包装也不错，可以避免运输过程中对机子的伤害。总体来说还是满意的。,读卡器 买来 坏点 不错 京东 包装 不错 运输 过程 机子 伤害 总体 满意,pos,"[(0, 0.17309037), (8, 0.7684267)]",8
的本本我用的最多，也是感觉最好的本本。其他厂商的用坏过不少，老款的一些现在还有几个基本成了垃圾。,本本 我用 最多 感觉 本本 厂商 用坏 老款 几个 垃圾,pos,"[(1, 0.9172967)]",1
性能好，配置算是中等偏上，对大多数用户来所足够了。外观低调不失大气，买回家当台式机放在家里也不错。屏幕大，中老年人在家里上上网之类的也很舒服。,性能 配置 算是 中等偏上 用户 足够 外观 低调 不失 大气 回家 台式机 放在 家里 不错 屏幕 中老年人 家里 上上网 舒服,pos,"[(5, 0.7200236), (6, 0.13434689), (10, 0.110974185)]",5
用的还可以，可惜不能帮忙装内存条。而且我同学的第二个盘双击就可以备份，我的不行,可惜 帮忙 内存条 同学 第二个 双击 备份 不行,pos,"[(0, 0.010119382), (1, 0.010119218), (2, 0.010122637), (3, 0.0101204375), (4, 0.010119667), (5, 0.010119234), (6, 0.010119497), (7, 0.010122338), (8, 0.89879), (9, 0.010128479), (10, 0.010119094)]",8
系列不用多说，而且还赠送1内存，,系列 不用 赠送 内存,pos,"[(0, 0.018186176), (1, 0.018186115), (2, 0.01818605), (3, 0.8181349), (4, 0.018186728), (5, 0.018186176), (6, 0.018186113), (7, 0.018185582), (8, 0.018188048), (9, 0.018185666), (10, 0.018188436)]",3
一个月内买了2台，总体来说还算不错，买完后立刻安装了，实在是难使...,一个月 总体 不错 买完 安装 实在,pos,"[(0, 0.013001796), (1, 0.013000982), (2, 0.013000904), (3, 0.013002059), (4, 0.0130015), (5, 0.29406103), (6, 0.5889237), (7, 0.0130008785), (8, 0.013001133), (9, 0.013001196), (10, 0.013004873)]",6
的性能没得说了吧，地球人都知道的，偶就是冲来的，呵呵。同学送了50元的东券，挺划算的,性能 没得说 地球 冲来 同学 东券 划算,pos,"[(0, 0.011377243), (1, 0.01137879), (2, 0.011378123), (3, 0.011378217), (4, 0.01137813), (5, 0.01137773), (6, 0.011377471), (7, 0.01137749), (8, 0.011377711), (9, 0.8862213), (10, 0.011377856)]",9
刚帮朋友买了一个就涨了100元，急用，虽然涨钱了还是只好定了；,朋友 急用 涨钱 只好,pos,"[(0, 0.01822368), (1, 0.018225938), (2, 0.018222593), (3, 0.01822401), (4, 0.018222904), (5, 0.018223226), (6, 0.018223347), (7, 0.018223329), (8, 0.018223094), (9, 0.8177649), (10, 0.018223032)]",9
质量很好，散热很好，3-4小时，温热。系统不用重新装，参考联想中的提问解答，可以屏蔽掉很多功能，提高速度，最终效果和开机速度差不多，2标配+1赠送的内存，也够用了。注意在关闭启动项的时候，侦测震动的那个功能不要关，那个是保护硬盘的。卖咖啡不要装，试用版不要装。硬盘用第三方软件分，否则只能释放出89。原装鼠标相当好，就是小了点。,质量 散热 小时 温热 系统 不用 参考 联想 提问 解答 屏蔽掉 功能 提高 速度 最终 效果 开机 速度 标配 赠送 内存 够用 关闭 启动项 侦测 震动 功能 保护 硬盘 咖啡 试用版 硬盘 第三方 软件 只能 释放 原装 鼠标,pos,"[(6, 0.108574115), (10, 0.8704299)]",10
质量没问题，买来到现在十几天了，没什么毛病出现。正版操作系统、正版杀毒软件、正版软件，打算不换系统了，就用了，运行还不错。,质量 来到 十几天 没什么 毛病 正版 操作系统 正版 杀毒软件 正版软件 打算 系统 就用 运行 不错,pos,"[(2, 0.9431391)]",2
品牌号召力是非常好的，联想收购了 部门后把商务机的研发全放在品牌上了。专业的就是好！,品牌 号召力 联想 收购 部门 商务 研发 放在 品牌 专业,pos,"[(6, 0.9172607)]",6
总是系列的，系统的稳定性比较好，散热也做得不错，界面很漂亮。,系列 系统 稳定性 散热 不错 界面 很漂亮,pos,"[(0, 0.011367149), (1, 0.011367433), (2, 0.01136718), (3, 0.011367701), (4, 0.011367674), (5, 0.011367065), (6, 0.61466646), (7, 0.011367277), (8, 0.28302783), (9, 0.01136706), (10, 0.011367173)]",6
头天晚上看中，没想到第二天活动送了那么多东西！,头天 晚上 看中 没想到 第二天 活动 东西,pos,"[(0, 0.011369339), (1, 0.01136998), (2, 0.32197797), (3, 0.011369941), (4, 0.0113688), (5, 0.14631057), (6, 0.011369591), (7, 0.44075447), (8, 0.011368787), (9, 0.011371255), (10, 0.01136929)]",7
屏，送货也快。差不多一天半就到货了，而且赶上这次送包和100元抵价卷，不错不错,送货 到货 赶上 送包 抵价 不错 不错,pos,"[(0, 0.011380564), (1, 0.011380097), (2, 0.011379589), (3, 0.3506791), (4, 0.011379606), (5, 0.19096896), (6, 0.011380435), (7, 0.3673121), (8, 0.011380128), (9, 0.011379821), (10, 0.011379576)]",7
之前用的是60.只喜欢小黑。很轻，几乎没有噪音，连硬盘转的声音都几乎听不见。配置主流，用相关软件测试了，温度在今天这么热的天气也只有39。做工很精细，外表没的说，让人有一种爱不释手的感觉。确实是一款难得的笔记本。,喜欢 小黑 噪音 硬盘 声音 听不见 配置 主流 相关 软件测试 温度 天气 做工 精细 外表 没的说 一种 爱不释手 感觉 确实 一款 笔记本,pos,"[(0, 0.34289306), (2, 0.6215105)]",2
散热非常好，连续用四五个小时都不会发烫。换了系统后，感觉速度快了很多,散热 连续 四五个 小时 发烫 系统 感觉 速度,pos,"[(0, 0.0101107685), (1, 0.010109988), (2, 0.010110032), (3, 0.010110774), (4, 0.010109952), (5, 0.010109543), (6, 0.89889836), (7, 0.010110162), (8, 0.010110951), (9, 0.010109304), (10, 0.010110131)]",6
完美屏，送货速度不错。,完美 送货 速度 不错,pos,"[(0, 0.8181624), (1, 0.018183429), (2, 0.018183023), (3, 0.018184034), (4, 0.018184202), (5, 0.018183133), (6, 0.01818365), (7, 0.01818425), (8, 0.018184517), (9, 0.01818319), (10, 0.018184211)]",0
拿到的是完美屏，速度也很快，因为原来笔记本就是所以用着也挺顺手。准备过几天改成。显卡是集成的，不过因为我不玩游戏，所以无所谓了。之前看了很多地方，价格都比京东上贵一些，所以这个价格我觉得还好,拿到 完美 速度 很快 笔记本 顺手 几天 改成 显卡 集成 玩游戏 无所谓 地方 价格 京东 上贵 价格 还好,pos,"[(10, 0.9521252)]",10
"价格比中关村便宜，电池容量真不错，看电影在6个小时左右，外形比较喜欢，个人觉得比10好看，屏幕色彩不错 不足： 显卡真是不行，看电影时如果有其他操作 画面也会卡一下，不过毕竟是上网本，可以容忍 总结： 虽然只有10寸，但屏幕字体清晰，丝毫感觉不到屏幕很小，总体很轻快，携带方便，在中关村转了一天没发现比这再便宜的价格了,值得购买",价格比 中关村 便宜 电池容量 真不错 电影 小时 外形 喜欢 好看 屏幕 色彩 不错 显卡 不行 电影 操作 画面 上网 容忍 屏幕 字体 清晰 丝毫 感觉 不到 屏幕 很小 总体 轻快 携带方便 中关村 发现 便宜 价格 值得 购买,pos,"[(0, 0.77970815), (10, 0.19874592)]",0
最大的优点就是电池待机时间相对来说比较长！做工十分精致，很小很轻便，携带方便！风扇声音很小，功能也比较齐全，速度与其他上网本横向比较相对较快！,优点 电池 待机时间 相对来说 做工 精致 很小 轻便 携带方便 风扇 声音 很小 功能 齐全 速度 上网 横向,pos,"[(10, 0.9494738)]",10
电池使用时间长，上次带在火车上，看了7个多小时的电影，最后人实在熬不住了，电池还是有电。,电池 时间 上次 火车 小时 电影 实在 熬不住 电池,pos,"[(10, 0.9090355)]",10
样子还好，送老婆的，她很喜欢，系统运行还流畅，给她看看网络电影可以了,样子 还好 老婆 喜欢 系统 运行 流畅 网络 电影,pos,"[(3, 0.52983147), (4, 0.38832533)]",3
轻便，电池使用时间长，速度也可以，看码率5以下的264，720视频质量尚可。其他功能不错。,轻便 电池 时间 速度 码率 视频 质量 尚可 功能 不错,pos,"[(2, 0.6128141), (3, 0.31276572)]",2
电池续航不错.,电池 续航 不错,pos,"[(0, 0.022729242), (1, 0.022729222), (2, 0.022729188), (3, 0.022730708), (4, 0.022730771), (5, 0.02273146), (6, 0.77269936), (7, 0.02272935), (8, 0.022730177), (9, 0.022729851), (10, 0.022730673)]",6
电脑的优点在于持续时间长久的电池，正常使用6个小时足够,电脑 优点 持续时间 长久 电池 小时 足够,pos,"[(0, 0.011374932), (1, 0.01137495), (2, 0.011375388), (3, 0.01137535), (4, 0.011375096), (5, 0.011374883), (6, 0.8862476), (7, 0.011374681), (8, 0.011375723), (9, 0.011374816), (10, 0.011376579)]",6
续航能力强！,续航 能力,pos,"[(0, 0.030308003), (1, 0.030308198), (2, 0.03030781), (3, 0.03031329), (4, 0.030310456), (5, 0.6969015), (6, 0.030308587), (7, 0.030307299), (8, 0.030308457), (9, 0.030318504), (10, 0.030307943)]",5
电池好，屏幕好,电池 屏幕,pos,"[(0, 0.030306792), (1, 0.03030551), (2, 0.030304274), (3, 0.030310377), (4, 0.03030695), (5, 0.03030872), (6, 0.03030831), (7, 0.030304682), (8, 0.030307084), (9, 0.030305792), (10, 0.69693154)]",10
价格比中关村便宜，电池容量真不错，看电影在6个小时左右，外形比较喜欢，个人觉得比10好看，屏幕色彩不错,价格比 中关村 便宜 电池容量 真不错 电影 小时 外形 喜欢 好看 屏幕 色彩 不错,pos,"[(0, 0.93504155)]",0
轻巧，外观和图片一样的，我喜欢,轻巧 外观 图片 喜欢,pos,"[(0, 0.018185215), (1, 0.018185781), (2, 0.018185504), (3, 0.32655048), (4, 0.50978196), (5, 0.018184807), (6, 0.018185068), (7, 0.018185113), (8, 0.018185396), (9, 0.018184923), (10, 0.018185716)]",4
点： 全黑外观适合男人用，看着有质感，做工还是不错的，键盘、电池、风扇这些都很满意,全黑 外观 适合 男人 看着 质感 做工 不错 键盘 电池 风扇 满意,pos,"[(10, 0.93005484)]",10
很轻，几乎没有噪音，连硬盘转的声音都几乎听不见。配置主流，用相关软件测试了，温度在今天这么热的天气也只有39。做工很精细，外表没的说，让人有一种爱不释手的感觉。确实是一款难得的笔记本。,噪音 硬盘 声音 听不见 配置 主流 相关 软件测试 温度 天气 做工 精细 外表 没的说 一种 爱不释手 感觉 确实 一款 笔记本,pos,"[(0, 0.35306436), (2, 0.607949)]",2
