评论内容,fenci,主题概率,主题类型
性价比很高的一家店，在潮宗古街里，寻找一份宁静,性价比 很高 潮宗 寻找,"[(0, 0.014288535), (1, 0.014288536), (2, 0.0142885465), (3, 0.014288536), (4, 0.014288548), (5, 0.014288642), (6, 0.014288593), (7, 0.014288568), (8, 0.014288535), (9, 0.014288568), (10, 0.014288536), (11, 0.014288553), (12, 0.014288571), (13, 0.81424874)]",13
第三次入住了，服务很贴心，房间也很简洁温馨,入住 贴心 房间 简洁,"[(0, 0.0142867705), (1, 0.014286741), (2, 0.014286732), (3, 0.014286759), (4, 0.014286808), (5, 0.01428678), (6, 0.014286762), (7, 0.014286741), (8, 0.014286757), (9, 0.014286755), (10, 0.014286819), (11, 0.014286743), (12, 0.014286752), (13, 0.8142721)]",13
设施：好 卫生：好 环境：好 服务：好，都很好,设施 卫生 环境,"[(0, 0.017857289), (1, 0.017857388), (2, 0.017857304), (3, 0.017857289), (4, 0.017857265), (5, 0.01785728), (6, 0.01785726), (7, 0.017857281), (8, 0.017857302), (9, 0.017857293), (10, 0.017857267), (11, 0.76785517), (12, 0.017857358), (13, 0.01785729)]",11
房间很干净，管家也很体贴。临走时送了咖啡,房间 干净 管家 体贴 咖啡,"[(0, 0.0119055575), (1, 0.011905619), (2, 0.01190556), (3, 0.011905564), (4, 0.01190556), (5, 0.011905543), (6, 0.011905595), (7, 0.011905567), (8, 0.011905585), (9, 0.0119055705), (10, 0.011905565), (11, 0.011905572), (12, 0.8452276), (13, 0.011905563)]",12
地理位置是方便，小巷里面的民宿。,地理位置 小巷 民宿,"[(0, 0.017857928), (1, 0.017857945), (2, 0.76784706), (3, 0.017857935), (4, 0.017857885), (5, 0.017857937), (6, 0.01785791), (7, 0.017857974), (8, 0.017857915), (9, 0.017857937), (10, 0.017857881), (11, 0.017857945), (12, 0.01785786), (13, 0.017857881)]",2
非常满意哦，离五一广场近！,满意哦,"[(0, 0.03572741), (1, 0.03572741), (2, 0.03572741), (3, 0.5355437), (4, 0.03572741), (5, 0.03572741), (6, 0.03572741), (7, 0.03572741), (8, 0.03572741), (9, 0.03572741), (10, 0.03572741), (11, 0.03572741), (12, 0.03572741), (13, 0.03572741)]",3
服务热情，房间卫生有待提高,热情 房间 卫生 有待 提高,"[(0, 0.0119056), (1, 0.011905685), (2, 0.011905651), (3, 0.011905641), (4, 0.011905614), (5, 0.011905587), (6, 0.01190567), (7, 0.011905673), (8, 0.011905598), (9, 0.011905614), (10, 0.84522676), (11, 0.011905697), (12, 0.01190564), (13, 0.011905591)]",10
服务很赞，环境很好,环境,"[(0, 0.035714507), (1, 0.5357103), (2, 0.03571456), (3, 0.035714585), (4, 0.035714496), (5, 0.035714615), (6, 0.035714537), (7, 0.03571456), (8, 0.035714604), (9, 0.035714585), (10, 0.035714507), (11, 0.035714924), (12, 0.03571467), (13, 0.035714533)]",1
朋友来长要求住得有特色离市中心近出门方便，在网上看到这家院子新开不久，朋友果然喜欢。 环境：新民国风，一楼大厅还有好喝的咖啡，体验感非常好。 卫生：房间超级干净。 设施：床垫不知道什么材质巨舒服，蚕丝被，四件套是长沙有名的梦洁。 强烈推荐，下次朋友来还住这。,朋友 来长 特色 市中心 出门 院子 朋友 喜欢 环境 民国 一楼 大厅 好喝 咖啡 体验 卫生 房间 干净 设施 床垫 材质 舒服 蚕丝被 有名 梦洁 朋友,"[(12, 0.9656054)]",12
卫生：很干净。床品、浴巾可能是因为手洗押金，所以确实干净。 环境：类似别墅家里的客房，温馨，我住的房间有点隔音硬伤，有条件可以住三间带露台的，更隐私也不存在隔音问题。 服务：不是那种很热情的服务，很随意像普通回家的感觉。,卫生 干净 床品 浴巾 押金 确实 干净 环境 类似 别墅 客房 房间 隔音 硬伤 条件 露台 隔音 热情 回家 感觉,"[(7, 0.9557781)]",7
酒店不提供梳子 浴巾需要主动要 有一点灰扣了80的手洗费 我说下楼没老板在 老板要说监控没看到我们 我们急着赶车走了 入住2天下楼几次都找不到人 重的行李需要自己楼梯提上去 外卖需要下楼取 预定做好准备吧,酒店 提供 梳子 浴巾 洗费 下楼 老板 老板 赶车 入住 不到 行李 楼梯 提上去 外卖 下楼 预定 做好,"[(3, 0.95112044)]",3
怎么说呢，设计这个民宿的人大概是不识人间烟火的小仙女，这个氛围感，只能到现场才能感受到！家具不要太好看！质感审美太对胃口了～外加偶遇老板超级可爱的吉娃娃，神仙老板很健谈，反正住着的日子我放弃了去周围闲逛和探索美食，因为这里太美好了，美好的人美好的屋子美好的狗狗和美好的甜品咖啡，对于我这个被工作打击到抑郁的加班狗最适合不过了，希望赶紧再来长沙出差～宝藏民宿！！！,民宿 不识 人间烟火 仙女 氛围 只能 现场 感受 家具 好看 质感 对胃口 外加 偶遇 老板 可爱 神仙 老板 健谈 日子 放弃 了去 闲逛 探索 美食 美好 美好 美好 屋子 美好 狗狗 美好 甜品 咖啡 打击 抑郁 加班 适合 希望 出差 民宿,"[(3, 0.9778869)]",3
环境：看了好久决定入住这家，和以往住的民宿风格不太一样诶，很安逸温馨的感觉～设施齐全 长沙这几天间间隙隙的雨坐在一楼吧台真的很舒服。 服务：如需要浴巾要跟店家说喔，都是消好毒的喔。 卫生：能感觉到店家对卫生的要求，每处细节都很干净整洁。,环境 入住 民宿 风格 感觉 设施 间隙 坐在 一楼 吧台 舒服 浴巾 店家 卫生 感觉 店家 卫生 细节 干净 整洁,"[(0, 0.95577985)]",0
长沙真的太好玩太好吃了 回来这么几天了想起来还是很激动 这次选择住在这家民宿也是最棒的决定 酒店离各个热门景点都是步行可到的距离 从装修风格到老板本人真的是让我们非常非常满意 和老板聊天的过程中也能感受到真的是很用心在做民宿 以后只要还来 一定还会再次光顾的！,好玩 好吃 回来 了想 激动 选择 民宿 酒店 热门 景点 步行 可到 距离 装修 风格 老板 满意 老板 过程 感受 用心 民宿 光顾,"[(2, 0.9613059)]",2
床品很舒服 浴巾很干净带着香味环境：很舒适卫生：很干净 很整洁,床品 舒服 浴巾 干净 香味 环境 舒适 卫生 干净 整洁,"[(11, 0.915579)]",11
干净，精致，温馨，美好 非常值得入住的民宿，也谢谢老板给我们推荐了很多家好吃的,干净 精致 美好 值得 入住 民宿 老板 推荐 好吃,"[(3, 0.9071401)]",3
隐藏在潮宗街一个小院子里，民国风，室内干净，布品配置有细节。,隐藏 宗街 院子 民国 干净 布品 配置 细节,"[(9, 0.8968146)]",9
民宿就在潮宗街里，既处于繁华处，又另有一片静谧 房间收拾的很干净，床品睡着也很舒服,民宿 潮宗 处于 繁华 房间 收拾 干净 床品 睡着 舒服,"[(7, 0.9155745)]",7
店家品味很高，从内部装饰到床品到洗浴用具都很细心，店家也特别温柔，连住三天给了细致周到的照顾。总之非常值得尝试。,店家 品味 装饰 床品 洗浴 用具 细心 店家 温柔 细致 周到 照顾 值得,"[(7, 0.9336653)]",7
四十条评价已有四个差评，每一条都是客人的真实感受，确认过了，丑人多做怪相当准确！咖啡难喝人懒事多，适合接待机器人！,评价 已有 客人 感受 确认 做怪 准确 咖啡 适合 接待 机器人,"[(8, 0.9226081)]",8
没话说，非常好。卫生条件好，服务周到，我们逛街后，回来依然给我们冲咖啡，交通便利。房东小姐姐性格非常爽朗，喜欢！,卫生条件 逛街 回来 咖啡 交通 便利 房东 性格 爽朗 喜欢,"[(13, 0.91557366)]",13
环境十分优美，房间也很干净舒适，赠送的咖啡也很好喝！,环境 优美 房间 干净 舒适 赠送 咖啡 好喝,"[(12, 0.8968221)]",12
老板属于是丑人多作怪，挺爱端着的，咖啡一般。,老板 作怪 咖啡,"[(0, 0.017859438), (1, 0.01785943), (2, 0.017859476), (3, 0.7678269), (4, 0.017859457), (5, 0.017859446), (6, 0.017859427), (7, 0.017859424), (8, 0.01785945), (9, 0.017859457), (10, 0.017859455), (11, 0.017859545), (12, 0.017859573), (13, 0.01785952)]",3
很文艺的一家酒店，力荐,文艺 酒店 力荐,"[(0, 0.017859373), (1, 0.017859332), (2, 0.017859435), (3, 0.017859407), (4, 0.017859349), (5, 0.017859457), (6, 0.017859407), (7, 0.017859466), (8, 0.017859353), (9, 0.017859338), (10, 0.017859433), (11, 0.017859368), (12, 0.017859386), (13, 0.7678279)]",13
房间不错，就是隔音差了点，其他都还好,房间 不错 隔音 还好,"[(0, 0.014286244), (1, 0.014286223), (2, 0.8142784), (3, 0.014286271), (4, 0.014286212), (5, 0.014286264), (6, 0.014286269), (7, 0.014286282), (8, 0.014286319), (9, 0.014286232), (10, 0.014286257), (11, 0.01428632), (12, 0.014286271), (13, 0.014286384)]",2
长沙之旅完美落幕，只因住了这家民宿，地理位置优越，楼下就有美发店跟茶颜悦色跟星巴克跟各种吃的，离很多网红店也都特别近，要我说缺点的话我实在是说不出，亲子出游太适合了，非常够住。以前我基本不太尝试民宿类型，但人多就说想着尝试的方式，结果出乎意料，太赞啦！推荐大家来这家民宿入住。,完美 落幕 民宿 地理位置 优越 网红店 缺点 实在 说不出 亲子 适合 民宿 类型 想着 方式 推荐 民宿 入住,"[(2, 0.95112205)]",2
房间很漂亮，主要地理位置真的挺好的，楼下不远就是步行街，也可以窝在酒店吃吃外卖，很舒服，管家小姐姐很贴心，都很晚了还下地库帮我们拿行李，还有贴心的给我们发周边吃喝玩乐的攻略，长沙真的很好吃！隔音欠佳但能接受，毕竟楼下夜生活很丰富！下次还会再来！,房间 很漂亮 地理位置 步行街 酒店 外卖 舒服 管家 贴心 地库 行李 贴心 攻略 好吃 隔音 欠佳 接受,"[(6, 0.94840974)]",6
入住管家可以直接到房间，十分方便快捷！民宿在华远云玺这里，非常核心的地方，离五一广场都很近，楼下就是太平老街，坡子街！民宿内的生活用品都很到位，连洗脸巾都有准备。,入住 管家 房间 民宿 核心 地方 老街 坡子 民宿 生活用品 到位 洗脸,"[(13, 0.92856467)]",13
周末来长沙玩发现了这家小众神仙民宿，位置就在天心区华远云玺北塔8楼。民宿温馨简洁舒适，设施齐全。地理位置很优越交通便利～五一广场、太平老街、黄兴广场、坡子街、国金中心都很近。我的住的房型是晨雾，有超大的落地窗，可以看到湘江，拍照也超级出片~ 房间还有投影仪 可以看电影 和姐妹一起住人均也不贵，性价比超高，推荐~,发现 神仙 民宿 位置 天心区 民宿 简洁 舒适 设施 地理位置 优越 交通 便利 老街 广场 坡子 国金 中心 房型 晨雾 超大 落地窗 拍照 出片 房间 投影仪 电影 姐妹 不贵 性价比 超高 推荐,"[(10, 0.971859)]",10
超级超级棒 很卫生 很干净 服务态度也特别特别好 给人一种很安心的感觉 很安全 离景点也特别近 去哪哪都方便 来长沙旅游的朋友们可以选择这里哦 真的很不错,卫生 干净 服务态度 安心 感觉 景点 朋友 选择 不错,"[(8, 0.9071389)]",8
民宿位置挺好的，房间也很干净，装修很棒，是我喜欢的风格，附近繁华出行方便。 谁懂这个大露台，啊啊啊啊太好看了吧，平时晚上就可以在露台看江景。 而且民宿工作人员服务态度很好，有问题都能够及时解决，解决问题很专业,民宿 位置 房间 干净 装修 很棒 喜欢 风格 繁华 出行 露台 好看 露台 江景 民宿 工作人员 服务态度 解决 解决问题 专业,"[(7, 0.9557796)]",7
环境：在长沙市中心，优点是离各大景点都很近，缺点就是比较吵，房间隔音比较弱（但每个房间配备了耳塞） 设施：设施都很完备且质量高级，他们家的床真的非常软，躺下就不想起来的程度 服务：管家服务非常到位，到酒店后会来接你到房间，有任何问题微信询问回复都非常快速，很耐心的 总体来说性价比很高，强推配图就是在房间里拍的,环境 中心 优点 景点 缺点 房间 隔音 房间 配备 耳塞 设施 设施 完备 质量 不想 程度 管家 到位 酒店 后会 来接 房间 询问 回复 耐心 总体 性价比 配图 房间,"[(12, 0.9690436)]",12
酒店位置超级好，下面走出去一点点就是瞿记，对面也都是小吃，公交新村粉站，离黄兴路步行街啥的都非常近，很方便下次来还会选择,酒店 位置 对面 小吃 公交 粉站 步行街 选择,"[(0, 0.8968185)]",0
长沙｜这名宿也太好拍了和闺蜜长沙之约，提前过七夕节啦…… 这个名宿真的潮出片，奶油风，浅色系，浅浅入秋一下 七夕和最爱的人一起，沿途的风景都是暖暖的,名宿 闺蜜 提前 名宿 奶油 浅色系 浅浅 入秋 最爱 风景,"[(0, 0.91557485)]",0
无宿酒店我下次还要再去你那儿住！和好朋友来长沙小玩2天之前每次来长沙真的是要为好看好住好拍的酒店抠脑壳找半天啊这次这家 我和朋友表示！都很满意！！！酒店的位置在市中心坡子街华远云玺真的不要太方便好吗？楼下就有我超级爱的瞿记整个长沙热闹好玩好吃的店儿在这周边尽情炫提前抢了一间“白苔”是我和闺蜜我的奶油风格房间里面香香的糯糯的也很干净配套的一次性洗护用品很是贴心啦✌️看着夜景泡着的澡和好闺蜜投影追剧的快乐谁懂啊,无宿 酒店 朋友 好看 酒店 脑壳 朋友 满意 酒店 位置 市中心 坡子 热闹 好玩 好吃 店儿 提前 闺蜜 奶油 风格 房间 干净 配套 洗护 用品 贴心 看着 夜景 闺蜜 投影 追剧 快乐,"[(13, 0.9718585)]",13
房间舒适度挺好，卫生干净整理没有异味，很喜欢，看着就心情舒畅，服务特别好，位置离离广场挺近的，出门游玩特别方便。,房间 舒适度 卫生 干净 整理 异味 喜欢 看着 位置 离离 广场 出门 游玩,"[(0, 0.9336682)]",0
服务：入住管家直接领到房间，态度很好，可以说是宾至如归了！ 环境：环境干净整洁，设施齐全，出行方便，靠近五一广场附近，游玩购物这些都很便捷呀。 下次如果还来长沙还选这家民宿～,入住 管家 领到 房间 态度 环境 环境 干净 整洁 设施 出行 靠近 游玩 购物 便捷 民宿,"[(9, 0.94537526)]",9
房间大大的，四个人行李很多，一点也不拥挤，打扫的也很干净，比想象中好多了！本来这个价格还以为会有什么想不到的问题，结果住着体验感很不错。,房间 行李 拥挤 打扫 干净 想象 价格 体验 不错,"[(13, 0.90713626)]",13
房间仲夏假日很好看，这是一家小众的神仙民宿。拍照出片好看 地理位置好交通方便 装修绝美生活用品一应俱全 管家非常负责,房间 好看 小众 神仙 民宿 拍照 出片 好看 地理位置 交通 装修 绝美 生活用品 管家 负责,"[(2, 0.941959)]",2
非常漂亮的民宿，环境格调非常好，周边环境空气很好，房间很整洁，民宿的整体服务态度非常好，民宿的设计，我很喜欢，很得我心。,漂亮 民宿 环境 格调 空气 房间 整洁 民宿 整体 服务态度 民宿 喜欢 我心,"[(11, 0.9336702)]",11
房间超级惊喜，环境巨巨巨巨好，很干净服务很好管家直接送到，没有费时间找，就在五一广场，出去各个地方玩很方便。,房间 惊喜 环境 干净 管家 送到 费时间 地方,"[(12, 0.89681596)]",12
整体环境不错，出行这些也很方便，她们家是密码锁房间，这点很安全，周边全部都是逛吃喝的地方，位置也很好找。,整体 环境 不错 出行 密码锁 房间 全部都是 吃喝 地方 位置 好找,"[(6, 0.92261547)]",6
房间和图片一样，不照骗。装修风格很喜欢，卫生也很干净，可以放心。交通出行方便。隔音好，下次还会选择这家民宿,房间 图片 照骗 装修 风格 喜欢 卫生 干净 放心 交通 出行 隔音 选择 民宿,"[(7, 0.61501193), (11, 0.3278416)]",7
床软软的很舒服！！环境干净，房间也超好看！！和小姐妹拍照背景🈶 老板人很热情 房间还会配眼罩和耳塞，考虑的很周到！！,软软 舒服 环境 干净 房间 好看 姐妹 拍照 背景 老板 热情 房间 眼罩 耳塞 周到,"[(11, 0.94195753)]",11
民宿位置很好，交通方便，民宿工作人员很友善。房间还配有耳罩和眼罩！！这真的很合我心意！！严重失眠者真的很需要哈哈哈,民宿 位置 交通 民宿 工作人员 友善 房间 配有 耳罩 眼罩 心意 失眠,"[(13, 0.9285619)]",13
环境很好，喜欢拍照的随手拍可以直接出片 去哪都很近，很喜欢 撸到邻居小姐姐的猫咪，太爽了 下次来长沙一定要住回这家哒,环境 喜欢 拍照 出片 喜欢 撸到 邻居 猫咪 要住,"[(5, 0.90713733)]",5
这次来长沙住的宝藏民宿就在五一广场附近 地理位置很好 很方便整体很舒适 环境很好 居家的感觉,民宿 地理位置 整体 舒适 环境 居家 感觉,"[(8, 0.88392323)]",8
交通很便利，休息的很舒服呀！环境也很棒，比我以往住过的民宿都舒服，价值决定价格！玩得很好，下次还来嘿,交通 便利 休息 舒服 环境 很棒 民宿 舒服 价值 价格,"[(13, 0.91558075)]",13
来长沙玩 对比好多家选的这家 体验感很棒啊 工作人员很热情 下次来还来这家,体验 很棒 工作人员 热情,"[(0, 0.014286154), (1, 0.014286281), (2, 0.0142862685), (3, 0.014286251), (4, 0.014286228), (5, 0.014286209), (6, 0.014286343), (7, 0.014286301), (8, 0.014286196), (9, 0.014286251), (10, 0.014286199), (11, 0.014286348), (12, 0.014286199), (13, 0.8142788)]",13
就在五一广场附近！交通很方便！管家很容气，房间很干净，环境很好,交通 管家 容气 房间 干净 环境,"[(0, 0.010204511), (1, 0.010204664), (2, 0.010204513), (3, 0.010204503), (4, 0.010204517), (5, 0.010204506), (6, 0.010204495), (7, 0.010204516), (8, 0.010204516), (9, 0.8673411), (10, 0.010204518), (11, 0.01020454), (12, 0.010204536), (13, 0.01020455)]",9
房间很好看，很有氛围感，嘎嘎出片。工作人员态度也超级好，因为中午赶着去吃饭，还帮忙先放了行李,房间 好看 氛围 出片 工作人员 态度 赶着 吃饭 帮忙 行李,"[(8, 0.9155775)]",8
住的很舒服，服务好，房间设施完善，贴心，干净，在五一，交通便利去哪都方便,舒服 房间 设施 完善 贴心 干净 交通 便利,"[(11, 0.33016607), (13, 0.5745935)]",13
干净、舒适、整洁 很好的体验感 下次还会选择这里！,干净 舒适 整洁 很好 体验 选择,"[(0, 0.010204361), (1, 0.010204351), (2, 0.010204336), (3, 0.86734366), (4, 0.010204311), (5, 0.01020433), (6, 0.01020431), (7, 0.010204329), (8, 0.010204338), (9, 0.010204334), (10, 0.010204344), (11, 0.010204341), (12, 0.010204343), (13, 0.010204334)]",3
环境很棒，实物装修和宣传相符，很出片，交通便利！,环境 很棒 实物 装修 相符 交通 便利,"[(13, 0.88391846)]",13
环境：很好 卫生：干净 服务：挺好,环境 卫生 干净,"[(0, 0.017857278), (1, 0.7678554), (2, 0.017857261), (3, 0.017857285), (4, 0.017857257), (5, 0.017857248), (6, 0.01785723), (7, 0.017857261), (8, 0.017857283), (9, 0.017857289), (10, 0.017857257), (11, 0.017857319), (12, 0.017857324), (13, 0.017857268)]",1
环境好，地理位置好，哪哪都方便，文和友、坡子街出门走几步就到了,环境 地理位置 文和友 坡子 出门,"[(0, 0.011905259), (1, 0.01190529), (2, 0.011905245), (3, 0.011905257), (4, 0.011905218), (5, 0.01190523), (6, 0.011905222), (7, 0.011905237), (8, 0.011905238), (9, 0.8452318), (10, 0.011905233), (11, 0.011905303), (12, 0.011905237), (13, 0.011905244)]",9
视野很好的房间，高楼和山,视野 很好 房间 高楼,"[(0, 0.014286881), (1, 0.014286926), (2, 0.014286976), (3, 0.014286912), (4, 0.014286838), (5, 0.014286971), (6, 0.014286835), (7, 0.0142868515), (8, 0.014286867), (9, 0.014286833), (10, 0.81427044), (11, 0.014286894), (12, 0.014286892), (13, 0.014286887)]",10
第二次住了，真的很喜欢他家！ 地理位置很方便 房间干净卫生,喜欢 地理位置 房间 干净 卫生,"[(0, 0.011904928), (1, 0.011905057), (2, 0.011904906), (3, 0.011904917), (4, 0.011904895), (5, 0.011904873), (6, 0.011904883), (7, 0.011904909), (8, 0.011904923), (9, 0.011904906), (10, 0.011904908), (11, 0.8452361), (12, 0.011904914), (13, 0.011904893)]",11
房间和图片一样～高层的风景真的太赞了～ 因为我们早到了，客服小姐姐先帮我们寄存了行李房间打扫好了还直接帮我们搬上楼了～太感动了～地点非常便利～离步行街超级近的～ 旁边就是坡子街太平街～茶颜超多留下的几乎不用排队～太赞了～,房间 图片 高层 风景 客服 寄存 行李 房间 打扫 感动 地点 便利 步行街 坡子 留下 不用 排队,"[(13, 0.9484057)]",13
各方面都比较好 舒适的体验,舒适 体验,"[(0, 0.6904676), (1, 0.023810001), (2, 0.023810057), (3, 0.023810098), (4, 0.023809997), (5, 0.023810161), (6, 0.02381017), (7, 0.023810206), (8, 0.02381025), (9, 0.02381024), (10, 0.023810836), (11, 0.023810035), (12, 0.02381012), (13, 0.02381023)]",0
出行方便，五一广场，黄兴街太平街，杜埔江阁，步行就可，公交新村粉店，一盏灯等有名吃店步行就到，房间用品干净卫生，一次性用品质好，房间大，安静，房东超级好,出行 步行 公交 粉店 一盏灯 有名 步行 房间 用品 干净 卫生 品质 房间 房东,"[(12, 0.938089)]",12
第一次来长沙，带着三个老人、两个孩子和阿姨一行七人。看了很多攻略和评价，最后选择无宿民宿。一是房间够，二是逛街方便，三是提前沟通所选房间安静。工作人员很细心，提前沟通，房间在南塔，下来接我们到房间。房间很干净，是个小复式，床品和枕头很舒服，老人和孩子都休息的很好。下楼附近有坡子街，太平古街，海信文和友，距离走过去大概15分钟，吃喝打卡非常方便。视野也很不错，客厅的窗户能看到湘江江景。孩子们玩的很开心！连续入住两晚,老人 孩子 攻略 评价 选择 无宿 民宿 房间 逛街 提前 沟通 房间 工作人员 细心 提前 沟通 房间 房间 房间 干净 复式 床品 枕头 舒服 老人 孩子 休息 很好 下楼 坡子 文和友 距离 吃喝 打卡 视野 不错 客厅 窗户 江景 孩子 开心 连续 入住,"[(11, 0.9788943)]",11
楼上装修，电钻不停，马桶晚上不关总水阀会一直不停的自己冲水，而且马桶只要冲水，楼上就会有当当的声音，窗户外会有空调风机滴水滴在铁皮上的声音，但是客服小姐姐服务是不错的,装修 电钻 马桶 不关 水阀 马桶 声音 窗户 外会 空调 风机 水滴 铁皮 声音 客服 不错,"[(9, 0.94537246)]",9
不得不说，这家民宿是提升我在长沙旅游的幸福感，最主要的因素，出去玩的时候很累，但回来的时候真的能让人很放松，环境、卫生、设施都没的说！以后来长沙就认准这家民宿！,民宿 提升 因素 出去玩 回来 放松 环境 卫生 设施 认准 民宿,"[(8, 0.92261285)]",8
看了好多家，最终选了这一家，不错不错。地处五一广场，交通方便，附近也有很多吃的。房间干净，布局也不错，还是个看风景的好地方，下次有机会再来，会再订的。,不错 不错 交通 房间 干净 布局 不错 风景 地方 机会 再订,"[(13, 0.9226139)]",13
很好！整个入住过程愉快的且放心，房间的布局简约清新 各类设施都很齐全，卫生也很细致，周围很多吃的玩的，很不错！推荐！！！,入住 过程 愉快 放心 房间 布局 清新 设施 卫生 细致 不错 推荐,"[(11, 0.92856497)]",11
房间和照片上的一样，真的很漂亮，窗外风景也很美，工作人员的服务态度特别好，一个人旅行的焦虑都缓解好多，下次有机会还会再来这家！,房间 照片 很漂亮 风景 很美 工作人员 服务态度 焦虑 缓解 机会,"[(1, 0.9155788)]",1
跟朋友一起来的 没想到入住管家直接能接到房间 特方便 而且就在五一广场 出去玩也很方便 很好的一次入住体验,朋友 入住 管家 接到 房间 出去玩 很好 入住 体验,"[(0, 0.907138)]",0
很有特色的民宿，房间干净整洁。服务周到，入住管家直接接到房间，方便快捷。酒店位置就在五一广场，出去玩儿很方便。,特色 民宿 房间 干净 整洁 入住 管家 接到 房间 酒店 位置 玩儿,"[(0, 0.28652942), (9, 0.6475335)]",9
环境还不错，住着也很舒心，设施设备完善，有需要能及时提供，出来玩有个舒服点的休息环境真的很重要，有机会再来吧~,环境 不错 舒心 设施 完善 提供 舒服 休息 环境 机会,"[(11, 0.9155781)]",11
还行吧，就是没有大厅，就是一间屋子在公寓里面，给了钥匙就没人管了，需要什么自己弄，适合年轻人吧,还行 大厅 屋子 公寓 钥匙 适合 年轻人,"[(2, 0.8839103)]",2
喜欢这种特色的民宿 装修风格很有格调 很喜欢 比心卫生：卫生很干净 清清爽爽 环境：～ 很多小细节很惊喜设施：很完善 什么都有 没有问前台要 哈哈 服务：没得说 很耐心 出来旅行住到这样的酒店是锦上添花 给沿途的心情都加分,喜欢 特色 民宿 装修 风格 格调 喜欢 卫生 卫生 干净 环境 细节 惊喜 设施 完善 前台 耐心 酒店 心情 加分,"[(7, 0.7278418), (11, 0.23133795)]",7
房间比较小，适合拍照打卡的小姐姐。民宿是没什么服务的，在一栋大厦里，有很多名宿,房间 适合 拍照 打卡 民宿 大厦 名宿,"[(6, 0.88392484)]",6
环境很好，管家直接接到房间 态度很好 位置就在五一广场出门方便,环境 管家 接到 房间 态度 位置 出门,"[(9, 0.8839237)]",9
房间环境很好，很干净，装修的好好看，很适合拍照，交通便利，推荐推荐,房间 环境 干净 装修 好好看 适合 拍照 交通 便利 推荐 推荐,"[(8, 0.3418764), (13, 0.5866908)]",13
各方面体验都很好，超出预期，下次来长沙，还会住这里。,体验 超出,"[(0, 0.02381018), (1, 0.02381012), (2, 0.023810172), (3, 0.023810165), (4, 0.023810131), (5, 0.023810193), (6, 0.023810199), (7, 0.023810247), (8, 0.02381022), (9, 0.6904675), (10, 0.023810213), (11, 0.02381014), (12, 0.02381018), (13, 0.023810335)]",9
很棒 设计感十足 灯光超适合拍照 周边吃游很方便 太喜欢啦,很棒 灯光 适合 拍照 喜欢,"[(0, 0.011905329), (1, 0.8452308), (2, 0.011905343), (3, 0.011905294), (4, 0.011905326), (5, 0.01190528), (6, 0.011905362), (7, 0.011905322), (8, 0.011905343), (9, 0.011905309), (10, 0.011905318), (11, 0.011905344), (12, 0.01190531), (13, 0.011905302)]",1
位置佳，海信广场，坡子街近在咫尺。景观房。,位置 广场 坡子 景观,"[(0, 0.014286765), (1, 0.014286703), (2, 0.01428672), (3, 0.014286847), (4, 0.014286696), (5, 0.014286701), (6, 0.014286713), (7, 0.01428674), (8, 0.014286695), (9, 0.81427246), (10, 0.014286772), (11, 0.014286728), (12, 0.014286729), (13, 0.01428675)]",9
房东很热心，贴心，房间很漂亮,房东 热心 贴心 房间 很漂亮,"[(0, 0.011905341), (1, 0.011905376), (2, 0.011905406), (3, 0.011905384), (4, 0.011905458), (5, 0.011905347), (6, 0.011905402), (7, 0.011905395), (8, 0.011905376), (9, 0.011905343), (10, 0.01190535), (11, 0.01190538), (12, 0.01190536), (13, 0.8452301)]",13
位置不错，睡眠不好的人慎选,位置 不错 睡眠 慎选,"[(0, 0.014286304), (1, 0.014286258), (2, 0.014286273), (3, 0.0142862955), (4, 0.0142862545), (5, 0.014286286), (6, 0.81427824), (7, 0.014286296), (8, 0.014286299), (9, 0.0142862955), (10, 0.014286289), (11, 0.014286316), (12, 0.014286282), (13, 0.014286344)]",6
干净整洁舒适透气可以不错,干净 整洁 舒适 透气 不错,"[(0, 0.011905662), (1, 0.011905636), (2, 0.011905598), (3, 0.8452269), (4, 0.011905607), (5, 0.011905591), (6, 0.011905596), (7, 0.01190561), (8, 0.011905614), (9, 0.01190561), (10, 0.01190562), (11, 0.011905728), (12, 0.011905628), (13, 0.011905632)]",3
房间很满意,房间 满意,"[(0, 0.023809813), (1, 0.023809727), (2, 0.023809748), (3, 0.023809746), (4, 0.6904731), (5, 0.023809675), (6, 0.023809716), (7, 0.023809735), (8, 0.023809792), (9, 0.023809705), (10, 0.02380986), (11, 0.023809768), (12, 0.023809783), (13, 0.023809832)]",4
房间非常干净,房间 干净,"[(0, 0.023809792), (1, 0.023809843), (2, 0.02380973), (3, 0.023809811), (4, 0.023809781), (5, 0.023809673), (6, 0.023809696), (7, 0.023809744), (8, 0.023809798), (9, 0.023809811), (10, 0.69047296), (11, 0.023809815), (12, 0.023809811), (13, 0.023809785)]",10
