Pre-Theme,Theme,Sim,Theme,Next-Theme,Sim,Theme,Next-Theme,Sim
Q1 Topic 14,Q2 Topic 2,0.67,Q2 Topic 11,Q3 Topic 12,0.67,Q3 Topic 10,Q4 Topic 3,0.53
Q1 Topic 14,Q2 Topic 3,0.72,Q2 Topic 11,Q3 Topic 13,0.73,Q3 Topic 10,Q4 Topic 4,0.82
Q1 Topic 14,Q2 Topic 4,0.69,Q2 Topic 12,Q3 Topic 0,0.62,Q3 Topic 10,Q4 Topic 5,0.8
Q1 Topic 14,Q2 Topic 5,0.69,Q2 Topic 12,Q3 Topic 1,0.52,Q3 Topic 10,Q4 Topic 6,0.91
Q1 Topic 14,Q2 Topic 6,0.75,Q2 Topic 12,Q3 Topic 2,0.64,Q3 Topic 10,Q4 Topic 7,0.88
Q1 Topic 14,Q2 Topic 7,0.7,Q2 Topic 12,Q3 Topic 4,0.7,Q3 Topic 10,Q4 Topic 8,0.78
Q1 Topic 14,Q2 Topic 8,0.56,Q2 Topic 12,Q3 Topic 5,0.66,Q3 Topic 10,Q4 Topic 9,0.79
Q1 Topic 14,Q2 Topic 9,0.55,Q2 Topic 12,Q3 Topic 6,0.72,Q3 Topic 10,Q4 Topic 10,0.92
Q1 Topic 14,Q2 Topic 10,0.66,Q2 Topic 12,Q3 Topic 7,0.76,Q3 Topic 10,Q4 Topic 11,0.81
Q1 Topic 14,Q2 Topic 11,0.72,Q2 Topic 12,Q3 Topic 8,0.72,Q3 Topic 10,Q4 Topic 12,0.76
Q1 Topic 14,Q2 Topic 12,0.57,Q2 Topic 12,Q3 Topic 9,0.59,Q3 Topic 10,Q4 Topic 13,0.68
Q1 Topic 15,Q2 Topic 0,0.61,Q2 Topic 12,Q3 Topic 10,0.74,Q3 Topic 10,Q4 Topic 14,0.69
Q1 Topic 15,Q2 Topic 1,0.57,Q2 Topic 12,Q3 Topic 11,0.67,Q3 Topic 10,Q4 Topic 15,0.78
Q1 Topic 15,Q2 Topic 2,0.74,Q2 Topic 12,Q3 Topic 12,0.78,Q3 Topic 11,Q4 Topic 0,0.66
Q1 Topic 15,Q2 Topic 3,0.63,Q2 Topic 12,Q3 Topic 13,0.61,Q3 Topic 11,Q4 Topic 1,0.73
Q1 Topic 15,Q2 Topic 4,0.79,,,,Q3 Topic 11,Q4 Topic 2,0.77
Q1 Topic 15,Q2 Topic 5,0.7,,,,Q3 Topic 11,Q4 Topic 3,0.66
Q1 Topic 15,Q2 Topic 6,0.81,,,,Q3 Topic 11,Q4 Topic 4,0.76
Q1 Topic 15,Q2 Topic 7,0.75,,,,Q3 Topic 11,Q4 Topic 5,0.82
Q1 Topic 15,Q2 Topic 8,0.54,,,,Q3 Topic 11,Q4 Topic 6,0.83
Q1 Topic 15,Q2 Topic 9,0.56,,,,Q3 Topic 11,Q4 Topic 7,0.81
Q1 Topic 15,Q2 Topic 10,0.67,,,,Q3 Topic 11,Q4 Topic 8,0.69
